row_off,col_off,split,block
158800,55580,val,5_1
0,113145,train,0_3
23820,111160,train,0_3
31760,134980,train,1_4
71460,95280,val,2_3
144905,37715,test,4_1
35730,101235,train,1_3
125055,31760,test,4_1
127040,134980,train,4_4
105205,136965,test,3_4
134980,71460,train,4_2
194530,105205,test,6_3
142920,11910,train,4_0
19850,131010,train,0_4
127040,113145,test,4_3
45655,131010,train,1_4
198500,9925,train,6_0
140935,117115,test,4_3
55580,31760,val,1_1
79400,144905,val,2_4
57565,87340,val,1_2
170710,31760,val,5_1
79400,91310,val,2_3
103220,91310,val,3_3
109175,99250,val,3_3
172695,53595,val,5_1
138950,33745,test,4_1
156815,131010,train,5_4
9925,111160,train,0_3
134980,119100,test,4_3
142920,140935,train,4_4
146890,93295,test,4_3
59550,77415,val,1_2
156815,136965,train,5_4
91310,1985,val,3_0
33745,33745,val,1_1
7940,107190,train,0_3
196515,119100,test,6_3
150860,134980,train,5_4
73445,132995,val,2_4
190560,29775,train,6_0
152845,53595,val,5_1
140935,132995,train,4_4
154830,37715,val,5_1
21835,131010,train,0_4
19850,121085,train,0_4
168725,77415,train,5_2
172695,71460,train,5_2
41685,51610,val,1_1
43670,109175,train,1_3
109175,103220,val,3_3
200485,103220,test,6_3
160785,49625,val,5_1
111160,87340,test,3_2
27790,138950,train,0_4
188575,134980,train,6_4
174680,117115,test,5_3
168725,55580,val,5_1
55580,83370,val,1_2
138950,117115,test,4_3
158800,111160,test,5_3
81385,107190,val,2_3
117115,23820,val,3_0
57565,81385,val,1_2
47640,109175,train,1_3
148875,5955,train,4_0
134980,9925,train,4_0
154830,111160,test,5_3
138950,97265,test,4_3
206440,105205,test,6_3
194530,19850,train,6_0
200485,95280,test,6_3
93295,69475,test,3_2
21835,113145,train,0_3
115130,103220,val,3_3
166740,35730,val,5_1
170710,33745,val,5_1
21835,134980,train,0_4
27790,140935,train,0_4
53595,51610,val,1_1
25805,101235,train,0_3
95280,57565,train,3_1
129025,73445,train,4_2
21835,111160,train,0_3
101235,3970,val,3_0
97265,142920,test,3_4
166740,53595,val,5_1
198500,93295,test,6_3
198500,95280,test,6_3
206440,107190,test,6_3
83370,25805,test,2_0
73445,121085,val,2_4
186590,132995,train,6_4
190560,69475,train,6_2
170710,144905,train,5_4
111160,111160,val,3_3
150860,51610,val,5_1
196515,29775,train,6_0
25805,51610,val,0_1
125055,101235,test,4_3
11910,103220,train,0_3
37715,134980,train,1_4
29775,129025,train,0_4
182620,144905,train,6_4
71460,69475,train,2_2
81385,121085,val,2_4
33745,103220,train,1_3
204455,1985,train,6_0
134980,45655,test,4_1
117115,65505,test,3_2
109175,115130,val,3_3
200485,105205,test,6_3
148875,103220,test,4_3
5955,125055,train,0_4
67490,138950,val,2_4
166740,49625,val,5_1
192545,57565,train,6_1
37715,121085,train,1_4
117115,109175,val,3_3
194530,47640,train,6_1
59550,81385,val,1_2
9925,123070,train,0_4
93295,103220,val,3_3
83370,123070,val,2_4
23820,138950,train,0_4
186590,21835,train,6_0
93295,125055,test,3_4
95280,95280,val,3_3
7940,121085,train,0_4
37715,103220,train,1_3
138950,17865,train,4_0
206440,103220,test,6_3
83370,119100,val,2_3
148875,19850,train,4_0
35730,121085,train,1_4
180635,140935,train,6_4
188575,67490,train,6_2
158800,5955,train,5_0
168725,144905,train,5_4
25805,140935,train,0_4
59550,35730,val,1_1
154830,57565,val,5_1
