row_off,col_off,split,block
998,34930,val,0_4
18962,15469,train,2_2
0,32934,val,0_4
29940,15968,test,4_2
41417,4990,test,5_0
9481,36427,val,1_4
2994,36427,val,0_4
22455,19461,val,3_2
43413,11976,train,5_1
50898,16966,train,6_2
27445,21956,val,3_2
6487,30439,val,0_4
48902,25948,train,6_3
39920,33433,train,5_4
0,30938,val,0_4
34930,28942,train,4_3
30439,21457,test,4_2
43912,24950,train,5_3
29441,13972,test,3_1
46407,2994,test,6_0
6986,31437,val,0_4
36926,32934,train,4_4
29441,35429,train,3_4
18463,25449,val,2_3
40419,35429,train,5_4
3992,31936,val,0_4
10978,24950,train,1_3
499,35928,val,0_4
24451,13972,test,3_1
39421,11477,train,5_1
39421,27445,train,5_3
46407,29940,val,6_4
48403,13972,train,6_1
36427,16966,test,4_2
4491,35928,val,0_4
18463,34431,test,2_4
46407,30938,val,6_4
10978,26946,train,1_3
21457,36427,test,2_4
26447,26447,train,3_3
14970,17465,train,2_2
26946,34930,train,3_4
39920,6487,test,5_0
47904,13473,train,6_1
5988,31936,val,0_4
12475,30938,val,1_4
40419,4990,test,5_0
40918,17465,test,5_2
44411,17964,test,5_2
48902,33433,val,6_4
16966,36427,test,2_4
31437,18463,test,4_2
35928,10978,train,4_1
50399,16467,train,6_2
20459,26946,val,2_3
11477,25449,train,1_3
5489,18962,train,0_2
998,29940,val,0_4
43413,11477,train,5_1
49401,8982,train,6_1
24451,17465,val,3_2
8483,24451,train,1_3
24451,17964,val,3_2
6487,26447,train,0_3
21457,35928,test,2_4
3992,30439,val,0_4
34431,4491,test,4_0
30439,16966,test,4_2
4491,24950,train,0_3
30439,15968,test,4_2
29940,35429,train,4_4
5489,31437,val,0_4
47405,35429,val,6_4
6487,33433,val,0_4
14471,19461,train,1_2
2994,26447,train,0_3
50399,18463,train,6_2
29940,15469,test,4_2
43912,20958,test,5_2
28942,20958,val,3_2
15968,27944,val,2_3
998,36427,val,0_4
50898,34930,val,6_4
3493,29940,val,0_4
9980,29940,val,1_4
14471,0,train,1_0
18463,35429,test,2_4
13473,30439,val,1_4
17465,14471,train,2_1
18962,30439,test,2_4
19461,25449,val,2_3
25449,28942,train,3_3
6487,34431,val,0_4
40419,24451,train,5_3
24950,30439,train,3_4
42914,21457,test,5_2
41417,25449,train,5_3
14471,34930,val,1_4
36427,10978,train,4_1
29441,18962,val,3_2
10978,23952,train,1_3
4491,30938,val,0_4
11477,29940,val,1_4
26946,18962,val,3_2
5988,32435,val,0_4
4990,31437,val,0_4
14970,24451,val,2_3
2994,34930,val,0_4
46906,34930,val,6_4
31936,9980,train,4_1
39920,11976,train,5_1
38922,29441,train,5_3
39920,16467,test,5_2
41916,6487,test,5_0
35928,3992,test,4_0
29940,4990,test,4_0
26447,4990,train,3_0
30938,32435,train,4_4
22455,12475,test,3_1
42415,33932,train,5_4
42415,26447,train,5_3
44411,18962,test,5_2
25948,4491,train,3_0
13473,35429,val,1_4
16467,30439,test,2_4
41417,11976,train,5_1
16966,24950,val,2_3
15469,23453,val,2_3
23453,17964,val,3_2
47904,1996,test,6_0
38423,4990,test,5_0
11477,31936,val,1_4
46407,4491,test,6_0
34930,19960,test,4_2
499,34431,val,0_4
28443,34930,train,3_4
36926,11477,train,4_1
45908,3992,test,6_0
44910,4990,test,6_0
51397,14471,train,6_1
49900,32435,val,6_4
15469,17465,train,2_2
32934,4990,test,4_0
35429,30938,train,4_4
38423,18962,test,5_2
37425,36427,train,5_4
37425,2495,test,5_0
49401,34431,val,6_4
34431,2994,test,4_0
40419,5489,test,5_0
7485,31437,val,1_4
4491,19461,train,0_2
32934,3992,test,4_0
36427,1996,test,4_0
499,30938,val,0_4
36926,0,test,4_0
6487,32934,val,0_4
28942,499,train,3_0
2495,26946,train,0_3
13972,18962,train,1_2
33932,2994,test,4_0
30938,17964,test,4_2
14970,22954,val,2_3
51397,10479,train,6_1
51896,8483,train,6_1
9481,34930,val,1_4
24950,16966,val,3_2
27445,34930,train,3_4
20459,22455,val,2_3
40419,5988,test,5_0
49401,25948,train,6_3
49401,11976,train,6_1
15968,11477,train,2_1
37425,18463,test,5_2
28942,30938,train,3_4
18962,25948,val,2_3
6986,34431,val,0_4
14970,18962,train,2_2
30938,28443,train,4_3
998,30439,val,0_4
38922,24451,train,5_3
5988,26447,train,0_3
40918,6487,test,5_0
30938,16467,test,4_2
29441,20459,val,3_2
39421,5988,test,5_0
47405,16966,train,6_2
41417,14970,test,5_2
42415,27445,train,5_3
2994,30439,val,0_4
27944,34431,train,3_4
16966,27445,val,2_3
38922,29940,train,5_4
14970,33433,test,2_4
27944,32934,train,3_4
36926,28443,train,4_3
36427,32934,train,4_4
18962,14970,train,2_2
21956,32934,test,2_4
41417,32934,train,5_4
21457,33932,test,2_4
47904,32934,val,6_4
25948,32934,train,3_4
33932,36427,train,4_4
23952,17465,val,3_2
7485,32435,val,1_4
6487,10479,train,0_1
25449,13473,test,3_1
50898,19960,train,6_2
10479,31936,val,1_4
38423,4491,test,5_0
28443,36427,train,3_4
28942,21956,val,3_2
25948,11477,test,3_1
22954,17465,val,3_2
25948,8483,test,3_1
51896,31437,val,6_4
29940,27944,train,4_3
32435,28443,train,4_3
39920,11477,train,5_1
10479,22954,train,1_3
37924,18962,test,5_2
9481,25948,train,1_3
25449,18463,val,3_2
12974,31936,val,1_4
14970,24950,val,2_3
43413,4491,test,5_0
50399,17465,train,6_2
36427,6986,test,4_0
46906,5988,test,6_0
20459,24950,val,2_3
31936,35928,train,4_4
51397,29940,val,6_4
29441,26946,train,3_3
24950,15968,val,3_2
14970,26946,val,2_3
28443,35928,train,3_4
6986,32934,val,0_4
22455,16966,val,3_2
7984,31437,val,1_4
28443,12475,test,3_1
42415,28942,train,5_3
45409,33932,val,6_4
37425,29940,train,5_4
5988,33433,val,0_4
33433,6986,test,4_0
5489,10479,train,0_1
37924,4491,test,5_0
29441,24950,train,3_3
40918,33433,train,5_4
4990,29940,val,0_4
6986,33932,val,0_4
44910,4491,test,6_0
27445,11477,test,3_1
26946,21956,val,3_2
44411,16467,test,5_2
6986,32435,val,0_4
27944,36427,train,3_4
1996,26946,train,0_3
998,35928,val,0_4
34930,32934,train,4_4
6986,25948,train,0_3
49401,35429,val,6_4
35429,11976,train,4_1
30439,14970,test,4_2
49900,30439,val,6_4
46407,4990,test,6_0
43912,6487,test,5_0
21457,28942,val,2_3
40419,20459,test,5_2
5489,30439,val,0_4
20459,29441,val,2_3
3493,31437,val,0_4
3493,30439,val,0_4
17964,33932,test,2_4
43912,15968,test,5_2
51397,36427,val,6_4
39421,14970,test,5_2
31936,19461,test,4_2
43912,18463,test,5_2
36427,11477,train,4_1
13972,18463,train,1_2
0,34930,val,0_4
47405,11477,train,6_1
11976,31936,val,1_4
31936,499,test,4_0
34930,4990,test,4_0
45409,4491,test,6_0
30938,24950,train,4_3
27944,21457,val,3_2
41417,34431,train,5_4
4491,32435,val,0_4
3493,30938,val,0_4
8982,29940,val,1_4
26447,27944,train,3_3
34431,32934,train,4_4
15469,24950,val,2_3
30938,33433,train,4_4
28443,20958,val,3_2
49401,23952,train,6_3
5988,31437,val,0_4
15469,16966,train,2_2
15968,8982,train,2_1
29940,20459,test,4_2
38922,6487,test,5_0
20459,33932,test,2_4
29940,3992,test,4_0
5988,36427,val,0_4
36427,16467,test,4_2
50399,12974,train,6_1
51896,10978,train,6_1
499,35429,val,0_4
40918,5988,test,5_0
41916,4990,test,5_0
45409,3992,test,6_0
22455,18463,val,3_2
31437,14970,test,4_2
38922,27445,train,5_3
48902,26447,train,6_3
2994,29940,val,0_4
51896,499,test,6_0
22954,15968,val,3_2
20459,27445,val,2_3
38922,20459,test,5_2
50399,32934,val,6_4
7485,30938,val,1_4
1497,24451,train,0_3
26447,21956,val,3_2
4990,32435,val,0_4
1497,30439,val,0_4
3992,34930,val,0_4
32435,6487,test,4_0
47405,33433,val,6_4
1996,30439,val,0_4
38423,9980,train,5_1
4491,31936,val,0_4
37924,4990,test,5_0
11477,32934,val,1_4
15469,28443,val,2_3
39421,32435,train,5_4
43413,4990,test,5_0
26447,15469,val,3_2
12475,1996,train,1_0
19960,25449,val,2_3
998,32934,val,0_4
26447,25948,train,3_3
34431,28942,train,4_3
34431,5988,test,4_0
49900,21457,train,6_2
29940,16467,test,4_2
47405,24950,train,6_3
27445,32934,train,3_4
48403,20459,train,6_2
10978,31437,val,1_4
4990,31936,val,0_4
24451,12974,test,3_1
28443,32934,train,3_4
8483,32435,val,1_4
41916,36427,train,5_4
36427,28942,train,4_3
14970,23952,val,2_3
1497,36427,val,0_4
45908,6986,test,6_0
16467,33433,test,2_4
19461,35429,test,2_4
47904,16966,train,6_2
5489,36427,val,0_4
4491,30439,val,0_4
22455,11477,test,3_1
19960,5988,val,2_0
45908,5988,test,6_0
30938,21457,test,4_2
33433,11477,train,4_1
13473,31936,val,1_4
15968,31437,test,2_4
34431,16467,test,4_2
30439,17465,test,4_2
24451,10978,test,3_1
41916,31437,train,5_4
27445,17964,val,3_2
11477,25948,train,1_3
5489,32435,val,0_4
45908,33433,val,6_4
6487,36427,val,0_4
18962,36427,test,2_4
29940,19960,test,4_2
16966,23952,val,2_3
36427,26447,train,4_3
42415,35429,train,5_4
45908,34431,val,6_4
27944,7984,test,3_1
5489,12475,train,0_1
2495,29940,val,0_4
51896,0,test,6_0
43912,5988,test,5_0
46407,6986,test,6_0
25948,12974,test,3_1
6487,32435,val,0_4
51896,34930,val,6_4
45908,25449,train,6_3
45908,33932,val,6_4
29940,36427,train,4_4
3992,23453,train,0_3
24950,33433,train,3_4
40918,6986,test,5_0
48403,30439,val,6_4
35928,6487,test,4_0
28942,35928,train,3_4
31437,16467,test,4_2
27445,33433,train,3_4
18463,33433,test,2_4
6487,31437,val,0_4
46906,35429,val,6_4
49401,9481,train,6_1
26447,36427,train,3_4
5988,30938,val,0_4
7485,34930,val,1_4
19461,36427,test,2_4
31936,10479,train,4_1
42415,9980,train,5_1
36427,21457,test,4_2
998,34431,val,0_4
6986,33433,val,0_4
39920,18463,test,5_2
7485,35429,val,1_4
26447,34431,train,3_4
27944,20958,val,3_2
35928,33932,train,4_4
42914,29940,train,5_4
41916,35928,train,5_4
39920,32934,train,5_4
31437,15968,test,4_2
39421,29940,train,5_4
22455,17465,val,3_2
20459,25948,val,2_3
0,36427,val,0_4
28443,17964,val,3_2
41916,34930,train,5_4
33932,35429,train,4_4
18962,17465,train,2_2
25449,30439,train,3_4
1996,25948,train,0_3
28942,19960,val,3_2
11477,22455,train,1_3
40419,15968,test,5_2
27944,17465,val,3_2
51896,13972,train,6_1
19461,30938,test,2_4
6487,6986,val,0_0
36926,5489,test,4_0
46407,25449,train,6_3
37924,3493,test,5_0
14970,22455,val,2_3
1497,35928,val,0_4
2994,25948,train,0_3
16966,33433,test,2_4
5489,30938,val,0_4
5988,33932,val,0_4
10978,25449,train,1_3
18463,15968,train,2_2
22954,18463,val,3_2
37425,34930,train,5_4
3992,31437,val,0_4
25948,15968,val,3_2
7485,25948,train,1_3
20459,25449,val,2_3
1996,29940,val,0_4
16467,36427,test,2_4
48403,33433,val,6_4
21457,32934,test,2_4
