row_off,col_off,split,block
35617,4123,train,3_0
35676,11595,train,3_1
35756,21558,train,3_2
35797,26540,train,3_2
35838,31521,val,3_3
35858,34012,val,3_3
35879,36503,val,3_3
35900,38993,val,3_3
35964,46465,val,3_4
35985,48956,val,3_4
36115,63901,val,3_6
36137,66391,val,3_6
36160,68882,val,3_6
38115,4103,train,3_0
38135,6594,train,3_0
38254,21538,train,3_2
38295,26519,train,3_2
38336,31501,val,3_3
38398,38972,val,3_3
38441,43954,val,3_4
38462,46444,val,3_4
38483,48935,val,3_4
38636,66369,val,3_6
40613,4084,train,4_0
40633,6575,train,4_0
40692,14046,val,4_1
40712,16537,val,4_1
40773,24008,train,4_2
40793,26499,train,4_2
41003,51404,val,4_5
41024,53895,val,4_5
41046,56385,val,4_5
41112,63857,test,4_6
41134,66347,test,4_6
41156,68838,test,4_6
43092,1574,train,4_0
43190,14026,val,4_1
43230,19007,val,4_1
43291,26478,train,4_2
43312,28969,train,4_2
43395,38931,train,4_3
43416,41421,train,4_4
43437,43911,train,4_4
43458,46402,train,4_4
43501,51383,val,4_5
43610,63835,test,4_6
43654,68815,test,4_6
45590,1555,train,4_0
45609,4045,train,4_0
45629,6536,train,4_0
45649,9026,train,4_0
45688,14007,val,4_1
45769,23968,train,4_2
45851,33929,train,4_3
45872,36419,train,4_3
45913,41400,train,4_4
45956,46381,train,4_4
45999,51361,val,4_5
46020,53851,val,4_5
46108,63813,test,4_6
46130,66303,test,4_6
48186,13987,val,4_1
48206,16477,val,4_1
48287,26438,train,4_2
48328,31418,train,4_3
48349,33908,train,4_3
48454,46359,train,4_4
48540,56320,val,4_5
48583,61300,test,4_6
48605,63791,test,4_6
48627,66281,test,4_6
48650,68771,test,4_6
50586,1516,train,5_0
50625,6497,train,5_0
50664,11477,val,5_1
50684,13967,val,5_1
50724,18947,val,5_1
50785,26417,train,5_2
50888,38868,test,5_3
50951,46338,train,5_4
50973,48828,train,5_4
51037,56298,val,5_5
53083,1497,train,5_0
53103,3987,train,5_0
53122,6477,train,5_0
53201,16437,val,5_1
53221,18927,val,5_1
53262,23907,train,5_2
53282,26397,train,5_2
53323,31377,test,5_3
53365,36357,test,5_3
53428,43827,train,5_4
53557,58767,val,5_5
53623,66237,train,5_6
53645,68727,train,5_6
55581,1478,train,5_0
55600,3968,train,5_0
55620,6458,train,5_0
55679,13927,val,5_1
55719,18907,val,5_1
55821,31356,test,5_3
55883,38826,test,5_3
55925,43806,train,5_4
55989,51275,val,5_5
56011,53765,val,5_5
56032,56255,val,5_5
56054,58745,val,5_5
56120,66214,train,5_6
58078,1458,train,5_0
