row_off,col_off,split,block
32934,32934,train,4_4
14970,24451,test,2_3
39421,27445,train,5_3
28443,16966,test,3_2
14970,18962,train,2_2
6487,34431,val,0_4
26946,1497,train,3_0
39920,33433,train,5_4
46407,9481,test,6_1
16467,31936,test,2_4
0,29940,val,0_4
19960,25948,test,2_3
45409,33932,train,6_4
21956,35429,test,2_4
37924,11477,train,5_1
39920,7485,train,5_1
16467,24451,test,2_3
44910,11976,test,6_1
29940,16467,test,4_2
14970,23952,test,2_3
4491,25948,train,0_3
3493,31437,val,0_4
43912,33932,train,5_4
27445,7984,val,3_1
9481,25948,train,1_3
47405,16966,test,6_2
39421,36427,train,5_4
46407,35429,train,6_4
30439,14970,test,4_2
2495,35928,val,0_4
17964,36427,test,2_4
20459,9980,train,2_1
13473,17465,train,1_2
25948,34930,train,3_4
40419,16467,test,5_2
30938,33932,train,4_4
34930,36427,train,4_4
42914,29940,train,5_4
42415,21457,test,5_2
30938,36427,train,4_4
23952,16467,test,3_2
30938,16467,test,4_2
44910,9481,test,6_1
6487,32435,val,0_4
6986,34930,val,0_4
7485,35429,val,1_4
10479,1497,train,1_0
2994,29940,val,0_4
3992,31936,val,0_4
41417,36427,train,5_4
42914,34930,train,5_4
31437,16467,test,4_2
43912,16467,test,5_2
4491,25449,train,0_3
43912,34930,train,5_4
35429,17964,test,4_2
49900,8982,test,6_1
40918,6487,train,5_0
5489,36427,val,0_4
43912,25948,train,5_3
46906,34431,train,6_4
0,32435,val,0_4
36427,31437,train,4_4
45908,3992,val,6_0
6487,31437,val,0_4
30439,15469,test,4_2
12974,32435,val,1_4
3493,30938,val,0_4
28443,9980,val,3_1
4990,30439,val,0_4
51896,35928,train,6_4
17465,17465,train,2_2
49401,11976,test,6_1
36926,35429,train,4_4
30938,3493,val,4_0
28443,35928,train,3_4
41916,15968,test,5_2
29940,34431,train,4_4
44411,31437,train,5_4
46407,31437,train,6_4
50898,16467,test,6_2
16966,33433,test,2_4
34930,34431,train,4_4
18463,19461,train,2_2
12475,35429,val,1_4
48902,32934,train,6_4
41417,33932,train,5_4
40419,8483,train,5_1
11477,32934,val,1_4
41417,19960,test,5_2
8483,25449,train,1_3
45409,20459,test,6_2
36427,5988,val,4_0
30439,15968,test,4_2
