row_off,col_off,split,block
67490,101235,test,2_3
43670,47640,test,1_1
59550,99250,val,1_3
186590,17865,test,6_0
119100,63520,val,3_2
77415,101235,test,2_3
170710,33745,test,5_1
136965,31760,train,4_1
1985,0,train,0_0
85355,136965,train,2_4
47640,115130,val,1_3
105205,83370,val,3_2
117115,35730,val,3_1
111160,115130,train,3_3
172695,0,train,5_0
176665,89325,val,5_2
87340,87340,val,2_2
206440,131010,train,6_4
59550,71460,train,1_2
13895,144905,test,0_4
5955,121085,test,0_4
152845,75430,val,5_2
136965,105205,train,4_3
35730,101235,val,1_3
13895,127040,test,0_4
5955,107190,train,0_3
7940,109175,train,0_3
81385,29775,train,2_0
85355,79400,val,2_2
125055,13895,train,4_0
107190,11910,val,3_0
136965,101235,train,4_3
93295,61535,val,3_2
132995,43670,train,4_1
119100,65505,val,3_2
190560,25805,test,6_0
204455,91310,test,6_3
138950,25805,train,4_0
23820,1985,train,0_0
172695,45655,test,5_1
85355,89325,val,2_2
91310,9925,val,3_0
59550,144905,train,1_4
174680,47640,test,5_1
134980,144905,val,4_4
109175,75430,val,3_2
162770,41685,test,5_1
97265,73445,val,3_2
65505,146890,train,2_4
29775,17865,train,0_0
23820,121085,test,0_4
91310,67490,val,3_2
7940,127040,test,0_4
158800,67490,val,5_2
113145,83370,val,3_2
15880,125055,test,0_4
5955,0,train,0_0
134980,101235,train,4_3
208425,97265,test,6_3
83370,83370,val,2_2
103220,111160,train,3_3
166740,45655,test,5_1
79400,109175,test,2_3
69475,93295,test,2_3
63520,85355,val,2_2
21835,127040,test,0_4
71460,7940,train,2_0
152845,0,train,5_0
190560,13895,test,6_0
59550,95280,val,1_3
131010,73445,train,4_2
180635,17865,test,6_0
113145,69475,val,3_2
43670,7940,train,1_0
105205,121085,train,3_4
156815,1985,train,5_0
101235,37715,val,3_1
3970,91310,train,0_3
170710,121085,train,5_4
144905,19850,train,4_0
164755,79400,val,5_2
91310,69475,val,3_2
53595,93295,val,1_3
206440,37715,train,6_1
125055,121085,val,4_4
174680,33745,test,5_1
210410,39700,train,7_1
115130,101235,train,3_3
111160,83370,val,3_2
0,27790,train,0_0
81385,146890,train,2_4
202470,115130,test,6_3
53595,97265,val,1_3
5955,65505,train,0_2
178650,134980,train,5_4
41685,103220,val,1_3
146890,103220,train,4_3
142920,19850,train,4_0
140935,23820,train,4_0
69475,89325,val,2_2
168725,47640,test,5_1
134980,21835,train,4_0
168725,129025,train,5_4
21835,140935,test,0_4
43670,115130,val,1_3
23820,127040,test,0_4
134980,97265,train,4_3
61535,119100,test,2_3
7940,103220,train,0_3
132995,21835,train,4_0
146890,13895,train,4_0
172695,35730,test,5_1
172695,75430,val,5_2
43670,99250,val,1_3
138950,29775,train,4_0
99250,43670,val,3_1
115130,83370,val,3_2
132995,33745,train,4_1
81385,101235,test,2_3
29775,129025,test,0_4
25805,35730,train,0_1
51610,47640,test,1_1
176665,121085,train,5_4
93295,81385,val,3_2
131010,55580,train,4_1
156815,19850,train,5_0
65505,85355,val,2_2
83370,21835,train,2_0
5955,103220,train,0_3
55580,99250,val,1_3
