row_off,col_off,split,block
6951,57594,train,0_3
52629,69510,train,3_4
83412,64545,train,5_4
67524,68517,train,4_4
73482,10923,val,4_0
100293,52629,val,6_3
98307,62559,test,6_4
104265,11916,train,6_0
3972,56601,train,0_3
65538,12909,val,4_0
80433,49650,test,5_3
104265,53622,val,6_3
15888,64545,val,1_4
86391,30783,test,5_2
50643,67524,train,3_4
40713,993,val,2_0
6951,71496,train,0_4
22839,64545,val,1_4
3972,51636,train,0_3
103272,70503,test,6_4
26811,38727,test,1_2
8937,58587,train,0_3
5958,54615,train,0_3
81426,39720,test,5_2
40713,3972,val,2_0
26811,44685,test,1_2
99300,47664,val,6_3
2979,56601,train,0_3
13902,52629,train,0_3
59580,41706,val,3_2
41706,66531,test,2_4
45678,32769,val,3_2
84405,47664,test,5_3
79440,9930,test,5_0
51636,70503,train,3_4
82419,9930,test,5_0
104265,50643,val,6_3
86391,34755,test,5_2
87384,7944,test,5_0
80433,9930,test,5_0
65538,47664,train,4_3
104265,66531,test,6_4
77454,47664,test,5_3
44685,64545,test,2_4
32769,7944,val,2_0
52629,44685,val,3_2
46671,34755,val,3_2
24825,44685,test,1_2
42699,67524,test,2_4
86391,17874,val,5_1
35748,1986,val,2_0
29790,39720,test,1_2
6951,51636,train,0_3
4965,72489,train,0_4
105258,36741,train,7_2
41706,51636,val,2_3
62559,13902,val,4_0
72489,12909,val,4_0
77454,27804,val,5_1
71496,5958,val,4_0
30783,48657,val,2_3
79440,34755,test,5_2
101286,60573,test,6_4
77454,51636,test,5_3
84405,19860,val,5_1
1986,51636,train,0_3
63552,54615,train,4_3
81426,70503,train,5_4
95328,18867,test,6_1
34755,63552,test,2_4
5958,62559,train,0_4
1986,66531,train,0_4
39720,9930,val,2_0
15888,56601,train,1_3
90363,61566,test,6_4
29790,41706,test,1_2
97314,19860,test,6_1
77454,59580,test,5_3
47664,48657,val,3_3
78447,69510,train,5_4
3972,71496,train,0_4
28797,41706,test,1_2
103272,72489,test,6_4
44685,71496,test,2_4
1986,73482,train,0_4
1986,68517,train,0_4
14895,58587,train,0_3
53622,23832,val,3_1
8937,54615,train,0_3
36741,69510,test,2_4
49650,8937,train,3_0
17874,50643,train,1_3
47664,21846,val,3_1
82419,13902,test,5_0
77454,37734,test,5_2
55608,42699,val,3_2
3972,61566,train,0_4
68517,59580,train,4_3
75468,48657,test,5_3
6951,52629,train,0_3
40713,58587,val,2_3
993,55608,train,0_3
27804,44685,test,1_2
1986,60573,train,0_4
69510,5958,val,4_0
8937,72489,train,0_4
38727,35748,train,2_2
55608,59580,val,3_3
85398,15888,val,5_1
10923,46671,train,0_3
15888,66531,val,1_4
92349,21846,test,6_1
98307,52629,val,6_3
101286,48657,val,6_3
58587,42699,val,3_2
95328,9930,train,6_0
17874,73482,val,1_4
77454,66531,train,5_4
40713,52629,val,2_3
87384,26811,val,5_1
81426,12909,test,5_0
81426,72489,train,5_4
87384,29790,val,5_1
8937,67524,train,0_4
39720,47664,val,2_3
65538,13902,val,4_0
15888,71496,val,1_4
77454,38727,test,5_2
74475,10923,val,4_0
59580,66531,train,3_4
5958,65538,train,0_4
101286,22839,test,6_1
84405,16881,val,5_1
104265,60573,test,6_4
40713,60573,test,2_4
24825,54615,train,1_3
46671,31776,val,3_2
5958,56601,train,0_3
95328,4965,train,6_0
68517,14895,val,4_0
86391,8937,test,5_0
86391,46671,test,5_3
104265,34755,train,6_2
22839,60573,val,1_4
70503,58587,train,4_3
86391,32769,test,5_2
95328,36741,train,6_2
29790,34755,test,1_2
4965,64545,train,0_4
93342,28797,test,6_1
84405,69510,train,5_4
83412,6951,test,5_0
57594,73482,train,3_4
76461,43692,test,5_2
97314,23832,test,6_1
22839,50643,train,1_3
72489,10923,val,4_0
16881,30783,test,1_2
9930,56601,train,0_3
31776,52629,val,2_3
29790,44685,test,1_2
54615,43692,val,3_2
69510,11916,val,4_0
74475,8937,val,4_0
99300,69510,test,6_4
8937,53622,train,0_3
86391,9930,test,5_0
56601,73482,train,3_4
102279,63552,test,6_4
51636,39720,val,3_2
67524,72489,train,4_4
97314,57594,val,6_3
76461,18867,val,5_1
17874,30783,test,1_2
68517,67524,train,4_4
22839,63552,val,1_4
48657,22839,val,3_1
41706,63552,test,2_4
87384,24825,val,5_1
71496,14895,val,4_0
72489,14895,val,4_0
97314,8937,train,6_0
29790,37734,test,1_2
32769,64545,test,2_4
8937,59580,train,0_3
2979,55608,train,0_3
20853,71496,val,1_4
59580,32769,val,3_2
74475,71496,train,4_4
6951,59580,train,0_3
8937,68517,train,0_4
11916,49650,train,0_3
57594,26811,val,3_1
7944,57594,train,0_3
40713,49650,val,2_3
35748,34755,train,2_2
44685,73482,test,2_4
2979,62559,train,0_4
60573,993,val,4_0
71496,71496,train,4_4
39720,1986,val,2_0
82419,11916,test,5_0
3972,53622,train,0_3
993,61566,train,0_4
32769,50643,val,2_3
104265,24825,test,6_1
80433,11916,test,5_0
64545,7944,val,4_0
78447,20853,val,5_1
2979,60573,train,0_4
68517,6951,val,4_0
87384,13902,test,5_0
5958,63552,train,0_4
51636,42699,val,3_2
102279,46671,val,6_3
105258,50643,test,7_3
34755,54615,val,2_3
82419,58587,test,5_3
92349,69510,test,6_4
87384,31776,test,5_2
63552,68517,train,4_4
5958,69510,train,0_4
72489,11916,val,4_0
103272,28797,test,6_1
84405,72489,train,5_4
59580,71496,train,3_4
100293,71496,test,6_4
73482,72489,train,4_4
18867,73482,val,1_4
93342,73482,test,6_4
47664,20853,val,3_1
104265,70503,test,6_4
28797,38727,test,1_2
52629,54615,val,3_3
33762,47664,val,2_3
1986,58587,train,0_3
0,72489,train,0_4
15888,65538,val,1_4
43692,66531,test,2_4
46671,27804,val,3_1
39720,30783,train,2_2
65538,73482,train,4_4
72489,8937,val,4_0
57594,39720,val,3_2
86391,12909,test,5_0
85398,21846,val,5_1
16881,66531,val,1_4
87384,19860,val,5_1
22839,53622,train,1_3
89370,14895,test,5_0
51636,47664,val,3_3
67524,67524,train,4_4
87384,16881,val,5_1
18867,53622,train,1_3
103272,13902,train,6_0
21846,64545,val,1_4
28797,36741,test,1_2
87384,10923,test,5_0
75468,12909,test,5_0
46671,49650,val,3_3
68517,69510,train,4_4
0,58587,train,0_3
87384,17874,val,5_1
38727,73482,test,2_4
101286,63552,test,6_4
8937,60573,train,0_4
1986,64545,train,0_4
37734,33762,train,2_2
81426,40713,test,5_2
12909,57594,train,0_3
79440,12909,test,5_0
6951,61566,train,0_4
89370,13902,test,5_0
89370,57594,test,5_3
5958,57594,train,0_3
103272,68517,test,6_4
82419,44685,test,5_2
69510,58587,train,4_3
105258,57594,test,7_3
3972,70503,train,0_4
28797,60573,val,1_4
49650,25818,val,3_1
29790,38727,test,1_2
24825,23832,train,1_1
9930,73482,train,0_4
2979,37734,train,0_2
65538,14895,val,4_0
38727,64545,test,2_4
10923,58587,train,0_3
58587,29790,val,3_1
97314,22839,test,6_1
31776,48657,val,2_3
76461,10923,test,5_0
78447,65538,train,5_4
35748,67524,test,2_4
7944,60573,train,0_4
