row_off,col_off,split,block
14970,26946,val,2_3
14471,21457,val,1_2
16467,24950,val,2_3
31437,19461,test,4_2
9980,33932,train,1_4
40419,5988,train,5_0
20958,34431,test,2_4
41916,32435,test,5_4
33433,32934,test,4_4
29940,4491,val,4_0
19960,34431,test,2_4
45908,4990,test,6_0
46407,2994,test,6_0
51397,5988,test,6_0
19461,36427,test,2_4
25948,10479,val,3_1
12475,20958,val,1_2
36427,31437,test,4_4
30439,33932,test,4_4
31936,35928,test,4_4
24950,33433,val,3_4
1996,26447,val,0_3
17964,34930,test,2_4
21956,25449,val,2_3
28942,32934,val,3_4
48403,28942,train,6_3
6487,32435,train,0_4
5489,27445,val,0_3
48902,33932,train,6_4
3992,27445,val,0_3
19960,36427,test,2_4
14970,24950,val,2_3
29940,3992,val,4_0
23453,31936,val,3_4
16966,33932,test,2_4
38423,12475,train,5_1
35429,4990,val,4_0
25449,32435,val,3_4
7485,32435,train,1_4
43413,26946,train,5_3
11477,28443,train,1_3
13972,19461,val,1_2
16966,23453,val,2_3
44910,22954,train,6_3
41916,34431,test,5_4
14471,21956,val,1_2
42415,34930,test,5_4
24950,13473,val,3_1
36427,10978,train,4_1
1996,25948,val,0_3
29940,20459,test,4_2
22954,22455,test,3_3
40419,4491,train,5_0
50898,22455,train,6_3
6487,33433,train,0_4
14471,18463,val,1_2
499,16966,val,0_2
36926,20958,test,4_2
2994,27445,val,0_3
32435,17964,test,4_2
36427,34431,test,4_4
15968,23952,val,2_3
42914,7984,train,5_1
25449,26946,test,3_3
46407,6487,test,6_0
36926,2994,val,4_0
41916,33932,test,5_4
46407,6986,test,6_0
14970,22954,val,2_3
47904,18962,train,6_2
9980,32435,train,1_4
1497,28443,val,0_3
32934,15469,test,4_2
48902,29940,train,6_4
11976,29940,train,1_4
10978,28942,train,1_3
26447,36427,val,3_4
21457,36427,test,2_4
48403,25948,train,6_3
24451,29940,val,3_4
38423,33932,test,5_4
22455,35928,val,3_4
20958,36427,test,2_4
13972,19960,val,1_2
28942,12475,val,3_1
3992,33433,train,0_4
1497,28942,val,0_3
30439,16467,test,4_2
49401,14970,train,6_2
40918,8483,train,5_1
42415,27445,train,5_3
26946,34930,val,3_4
2495,26447,val,0_3
36926,4491,val,4_0
33433,6487,val,4_0
14471,20459,val,1_2
20459,17964,train,2_2
29940,34431,test,4_4
35928,9980,train,4_1
39920,31437,test,5_4
998,26946,val,0_3
40419,10978,train,5_1
23453,34431,val,3_4
16467,23952,val,2_3
13473,17964,val,1_2
40918,4990,train,5_0
42415,32435,test,5_4
2495,27445,val,0_3
41916,11477,train,5_1
10479,28942,train,1_3
8982,33932,train,1_4
48403,3493,test,6_0
10978,21457,val,1_2
9980,28942,train,1_3
998,28942,val,0_3
23952,10978,val,3_1
41417,9980,train,5_1
3992,32934,train,0_4
48902,34930,train,6_4
1996,29441,val,0_3
42914,31936,test,5_4
49900,33433,train,6_4
36926,6487,val,4_0
35429,10479,train,4_1
42914,31437,test,5_4
9980,24451,train,1_3
27944,33932,val,3_4
25449,35429,val,3_4
2994,26447,val,0_3
6986,27445,val,0_3
41916,30439,test,5_4
17465,9980,val,2_1
16966,33433,test,2_4
19461,4491,test,2_0
46906,5988,test,6_0
47904,32435,train,6_4
2994,26946,val,0_3
48403,27445,train,6_3
27445,11477,val,3_1
32934,36427,test,4_4
11976,32435,train,1_4
44411,17465,test,5_2
9481,30938,train,1_4
30938,26946,train,4_3
1497,25449,val,0_3
13972,21457,val,1_2
35429,11976,train,4_1
22954,36427,val,3_4
35429,32435,test,4_4
41916,8982,train,5_1
29441,23453,test,3_3
39421,20459,test,5_2
22954,34930,val,3_4
40918,36427,test,5_4
1996,14471,val,0_1
48902,27445,train,6_3
1996,27944,val,0_3
32435,32934,test,4_4
14970,23952,val,2_3
24950,12974,val,3_1
39920,4990,train,5_0
6487,34930,train,0_4
51397,31437,train,6_4
36926,15469,test,4_2
20459,25948,val,2_3
2495,24451,val,0_3
2495,29441,val,0_3
6487,27944,val,0_3
50399,33433,train,6_4
23952,17465,train,3_2
20958,19461,train,2_2
47405,12974,train,6_1
45908,2495,test,6_0
37425,36427,test,5_4
25948,8483,val,3_1
20459,22954,val,2_3
14970,22455,val,2_3
7485,35429,train,1_4
41916,15469,test,5_2
35429,20459,test,4_2
36926,34431,test,4_4
17465,35928,test,2_4
42415,7485,train,5_1
16467,35928,test,2_4
49401,25948,train,6_3
50898,28942,train,6_3
998,34930,train,0_4
21956,34431,test,2_4
47405,28443,train,6_3
49401,10978,train,6_1
35928,34930,test,4_4
21956,34930,test,2_4
11477,7485,val,1_1
29441,33932,val,3_4
44411,9980,train,5_1
33932,23453,train,4_3
31936,17465,test,4_2
33433,6986,val,4_0
32435,5988,val,4_0
52395,18962,val,7_2
5988,33932,train,0_4
28443,30938,val,3_4
48902,23453,train,6_3
998,33932,train,0_4
10479,27944,train,1_3
499,25449,val,0_3
33932,11976,train,4_1
30938,26447,train,4_3
1497,35429,train,0_4
16467,25948,val,2_3
24451,17964,train,3_2
12974,34431,train,1_4
41916,31936,test,5_4
43413,15469,test,5_2
38423,9980,train,5_1
13972,20459,val,1_2
40419,12475,train,5_1
45908,6986,test,6_0
36926,4990,val,4_0
10978,36427,train,1_4
41916,7485,train,5_1
49401,13972,train,6_1
23453,36427,val,3_4
4491,32435,train,0_4
17964,24950,val,2_3
40918,7485,train,5_1
43413,12475,train,5_1
39920,6986,train,5_0
25948,32934,val,3_4
15968,23453,val,2_3
26946,33433,val,3_4
48403,12475,train,6_1
38922,16467,test,5_2
51896,998,test,6_0
44910,4491,test,6_0
27445,8483,val,3_1
12974,36427,train,1_4
40419,8982,train,5_1
499,27445,val,0_3
45409,11477,train,6_1
45908,23453,train,6_3
34431,16966,test,4_2
46407,23952,train,6_3
22455,34930,val,3_4
28443,34930,val,3_4
22954,33932,val,3_4
44411,34431,test,5_4
10978,26447,train,1_3
37425,26447,train,5_3
15469,22455,val,2_3
16467,31437,test,2_4
26946,12475,val,3_1
47904,34431,train,6_4
20958,34930,test,2_4
41417,35429,test,5_4
52395,31437,train,7_4
36427,2495,val,4_0
39920,36427,test,5_4
6487,26946,val,0_3
15968,7485,val,2_1
24451,22455,test,3_3
20958,22455,val,2_3
35429,5489,val,4_0
2994,34431,train,0_4
3992,35429,train,0_4
19461,26447,val,2_3
998,29441,val,0_3
19960,34930,test,2_4
27944,14471,val,3_1
51896,31437,train,6_4
45908,5988,test,6_0
14970,23453,val,2_3
2994,25948,val,0_3
28443,12475,val,3_1
28942,12974,val,3_1
39920,11477,train,5_1
17465,1497,test,2_0
45409,11976,train,6_1
25948,34431,val,3_4
42415,11976,train,5_1
21956,35429,test,2_4
3493,35928,train,0_4
23952,27445,test,3_3
30439,16966,test,4_2
39421,16966,test,5_2
23952,25449,test,3_3
5988,34431,train,0_4
44411,15469,test,5_2
16467,35429,test,2_4
47904,19461,train,6_2
19461,22954,val,2_3
18463,31936,test,2_4
11976,31936,train,1_4
4990,27445,val,0_3
36427,30439,test,4_4
30439,26447,train,4_3
17465,22954,val,2_3
18962,36427,test,2_4
36926,5489,val,4_0
0,26447,val,0_3
33932,3992,val,4_0
32934,30938,test,4_4
19960,24950,val,2_3
3493,29441,val,0_3
24451,9980,val,3_1
47405,19461,train,6_2
28942,31437,val,3_4
499,27944,val,0_3
25449,10978,val,3_1
29940,1996,val,4_0
6487,33932,train,0_4
47405,20459,train,6_2
41417,7485,train,5_1
16966,31437,test,2_4
40419,34930,test,5_4
19461,32435,test,2_4
45409,12475,train,6_1
38423,34431,test,5_4
43912,15968,test,5_2
51397,4990,test,6_0
20459,14471,val,2_1
10978,20958,val,1_2
39421,34930,test,5_4
38423,25948,train,5_3
38922,27445,train,5_3
15968,32435,test,2_4
15968,28942,val,2_3
32934,25948,train,4_3
4491,29441,val,0_3
28942,30439,val,3_4
36427,6487,val,4_0
24451,17465,train,3_2
32435,11477,train,4_1
40918,25449,train,5_3
17465,36427,test,2_4
4990,32435,train,0_4
39421,27445,train,5_3
5988,36427,train,0_4
10479,36427,train,1_4
1497,34930,train,0_4
44411,18463,test,5_2
5489,36427,train,0_4
15469,23952,val,2_3
18463,28942,val,2_3
32934,6986,val,4_0
30439,17465,test,4_2
2495,19960,val,0_2
36427,6986,val,4_0
48902,26946,train,6_3
25449,33932,val,3_4
45908,6487,test,6_0
47904,17465,train,6_2
30439,31437,test,4_4
998,35928,train,0_4
9481,32934,train,1_4
31936,3992,val,4_0
2994,29441,val,0_3
42914,24451,train,5_3
43413,16966,test,5_2
35928,5988,val,4_0
17465,35429,test,2_4
42914,11477,train,5_1
4491,23952,val,0_3
0,33932,train,0_4
23453,17964,train,3_2
18463,29441,val,2_3
23453,33433,val,3_4
43912,31437,test,5_4
2994,34930,train,0_4
6487,28443,val,0_3
41417,3493,train,5_0
10978,27944,train,1_3
29441,34930,val,3_4
43413,25449,train,5_3
27445,34930,val,3_4
0,28443,val,0_3
23453,8982,val,3_1
499,34431,train,0_4
43912,17964,test,5_2
28942,9980,val,3_1
2994,28942,val,0_3
1497,35928,train,0_4
38423,30439,test,5_4
36427,34930,test,4_4
13972,16966,val,1_2
22954,32435,val,3_4
26946,24451,test,3_3
27445,33433,val,3_4
6986,26447,val,0_3
52395,33433,train,7_4
46906,23952,train,6_3
19461,25948,val,2_3
46407,23453,train,6_3
17465,23453,val,2_3
21457,34431,test,2_4
45908,3992,test,6_0
0,35928,train,0_4
49900,13972,train,6_1
16467,33433,test,2_4
20459,34431,test,2_4
47405,11477,train,6_1
35429,32934,test,4_4
18463,35429,test,2_4
2495,26946,val,0_3
14970,30439,test,2_4
25948,35928,val,3_4
14970,24451,val,2_3
32435,30439,test,4_4
31437,18962,test,4_2
3992,29441,val,0_3
42415,9481,train,5_1
30938,15469,test,4_2
39421,18962,test,5_2
22954,22954,test,3_3
35928,6487,val,4_0
7485,15469,val,1_2
21457,25948,val,2_3
25948,8982,val,3_1
35928,4990,val,4_0
45409,4491,test,6_0
37924,35928,test,5_4
42914,8982,train,5_1
16966,36427,test,2_4
11976,31437,train,1_4
39920,4491,train,5_0
30439,15469,test,4_2
1497,27944,val,0_3
33433,3493,val,4_0
2495,25948,val,0_3
13972,20958,val,1_2
47904,35429,train,6_4
44411,22954,train,5_3
10978,26946,train,1_3
0,28942,val,0_3
