row_off,col_off,split,block
22839,53622,test,1_3
6951,57594,train,0_3
91356,72489,val,6_4
101286,61566,val,6_4
100293,52629,val,6_3
80433,25818,test,5_1
3972,56601,train,0_3
46671,44685,val,3_2
13902,70503,train,0_4
10923,63552,train,0_4
78447,52629,test,5_3
15888,64545,train,1_4
47664,39720,val,3_2
87384,10923,train,5_0
97314,70503,val,6_4
18867,30783,val,1_2
92349,67524,val,6_4
22839,64545,train,1_4
3972,51636,train,0_3
74475,70503,train,4_4
91356,8937,train,6_0
98307,51636,val,6_3
51636,39720,val,3_2
5958,54615,train,0_3
82419,16881,test,5_1
30783,2979,val,2_0
26811,44685,val,1_2
54615,57594,val,3_3
39720,53622,train,2_3
2979,56601,train,0_3
2979,70503,train,0_4
45678,32769,val,3_2
46671,42699,val,3_2
79440,9930,train,5_0
82419,9930,train,5_0
37734,30783,train,2_2
21846,43692,val,1_2
18867,46671,test,1_3
49650,24825,train,3_1
80433,9930,train,5_0
94335,72489,val,6_4
57594,67524,test,3_4
94335,52629,val,6_3
34755,11916,val,2_0
93342,7944,train,6_0
46671,34755,val,3_2
24825,44685,val,1_2
89370,7944,train,5_0
4965,66531,train,0_4
29790,39720,val,1_2
76461,55608,test,5_3
79440,72489,train,5_4
0,69510,train,0_4
9930,73482,train,0_4
75468,23832,test,5_1
78447,40713,test,5_2
35748,34755,train,2_2
24825,23832,test,1_1
21846,57594,test,1_3
89370,21846,test,5_1
102279,55608,val,6_3
4965,68517,train,0_4
95328,39720,train,6_2
1986,51636,train,0_3
78447,47664,test,5_3
76461,45678,test,5_3
5958,62559,train,0_4
15888,49650,test,1_3
1986,64545,train,0_4
12909,28797,val,0_1
15888,56601,test,1_3
29790,41706,val,1_2
95328,22839,test,6_1
33762,60573,val,2_4
49650,63552,test,3_4
77454,66531,train,5_4
43692,73482,val,2_4
28797,41706,val,1_2
27804,48657,test,1_3
73482,15888,val,4_1
6951,69510,train,0_4
67524,68517,train,4_4
62559,25818,val,4_1
89370,31776,test,5_2
8937,54615,train,0_3
1986,69510,train,0_4
35748,32769,train,2_2
2979,40713,train,0_2
10923,69510,train,0_4
27804,58587,test,1_3
78447,73482,train,5_4
98307,66531,val,6_4
81426,20853,test,5_1
17874,50643,test,1_3
83412,33762,test,5_2
55608,42699,val,3_2
3972,61566,train,0_4
97314,19860,test,6_1
99300,56601,val,6_3
6951,52629,train,0_3
96321,9930,train,6_0
993,55608,train,0_3
27804,44685,val,1_2
