row_off,col_off,split,block
0,0,train,
0,512,train,
0,1024,train,
0,1536,train,
0,2048,train,
0,2560,train,
0,3072,train,
0,3584,test,
0,4096,test,
0,4608,train,
0,5120,train,
0,5632,train,
0,6144,train,
0,6656,test,
0,7168,train,
0,7680,train,
0,8192,train,
0,8704,test,
0,9216,train,
0,9728,train,
0,10240,test,
0,10752,test,
512,0,train,
512,512,train,
512,1024,train,
512,1536,train,
512,2048,train,
512,2560,train,
512,3072,train,
512,3584,train,
512,4096,train,
512,4608,train,
512,5120,train,
512,5632,train,
512,6144,test,
512,6656,train,
512,7168,train,
512,7680,train,
512,8192,train,
512,8704,train,
512,9216,train,
512,9728,train,
512,10240,train,
512,10752,train,
1024,0,train,
1024,512,train,
1024,1024,train,
1024,1536,train,
1024,2048,test,
1024,2560,train,
1024,3072,test,
1024,3584,train,
1024,4096,test,
1024,4608,train,
1024,5120,test,
1024,5632,train,
1024,6144,train,
1024,6656,train,
1024,7168,test,
1024,7680,test,
1024,8192,train,
1024,8704,train,
1024,9216,train,
1024,9728,test,
1024,10240,train,
1024,10752,train,
1536,0,train,
1536,512,train,
1536,1024,train,
1536,1536,train,
1536,2560,train,
1536,3072,test,
1536,3584,test,
1536,4096,train,
1536,4608,train,
1536,5120,train,
1536,5632,train,
1536,6144,train,
1536,6656,train,
1536,7168,train,
1536,7680,train,
1536,8192,train,
1536,8704,train,
1536,9216,test,
1536,9728,train,
1536,10240,train,
1536,10752,train,
2048,0,test,
2048,512,test,
2048,1024,test,
2048,1536,train,
2048,2048,test,
2048,2560,train,
2048,3072,train,
2048,3584,train,
2048,4096,train,
2048,4608,train,
2048,5120,train,
2048,5632,train,
2048,6144,test,
2048,6656,train,
2048,7168,train,
2048,7680,test,
2048,8192,train,
2048,8704,train,
2048,9216,train,
2048,9728,test,
2048,10240,train,
2048,10752,train,
2560,0,train,
2560,512,test,
2560,1024,train,
2560,1536,train,
2560,2048,train,
2560,2560,train,
2560,3072,train,
2560,3584,train,
2560,4096,train,
2560,4608,train,
2560,5120,train,
2560,5632,train,
2560,6144,test,
2560,6656,train,
2560,7168,train,
2560,7680,train,
2560,8192,train,
2560,8704,train,
2560,9216,train,
2560,9728,train,
2560,10240,test,
2560,10752,test,
3072,0,test,
3072,512,train,
3072,1024,train,
3072,1536,test,
3072,2048,train,
3072,2560,train,
3072,3072,train,
3072,3584,train,
3072,4096,train,
3072,4608,train,
3072,5120,train,
3072,5632,train,
3072,6144,train,
3072,6656,train,
3072,7168,train,
3072,7680,train,
3072,8192,train,
3072,8704,train,
3072,9216,test,
3072,9728,train,
3072,10240,test,
3072,10752,train,
3584,0,train,
3584,512,train,
3584,1024,train,
3584,1536,train,
3584,2048,train,
3584,2560,train,
3584,3072,train,
3584,3584,test,
3584,4096,train,
3584,4608,train,
3584,5120,train,
3584,5632,train,
3584,6144,train,
3584,6656,test,
3584,7168,train,
3584,7680,train,
3584,8192,test,
3584,8704,train,
3584,9216,test,
3584,9728,train,
3584,10240,train,
3584,10752,test,
4096,0,train,
4096,512,train,
4096,1024,train,
4096,1536,train,
4096,2048,train,
4096,2560,train,
4096,3072,train,
4096,3584,train,
4096,4096,train,
4096,4608,train,
4096,5120,train,
4096,5632,train,
4096,6144,test,
4096,6656,test,
4096,7168,test,
4096,7680,train,
4096,8192,test,
4096,8704,train,
4096,9216,train,
4096,9728,train,
4096,10240,train,
4096,10752,train,
4608,0,train,
4608,512,test,
4608,1024,train,
4608,1536,train,
4608,2048,train,
4608,2560,train,
4608,3072,train,
4608,3584,train,
4608,4096,test,
4608,4608,train,
4608,5120,train,
4608,5632,train,
4608,6144,train,
4608,6656,train,
4608,7168,train,
4608,7680,train,
4608,8192,train,
4608,8704,test,
4608,9216,train,
4608,9728,train,
4608,10240,train,
4608,10752,train,
5120,0,train,
5120,512,train,
5120,1024,train,
5120,1536,train,
5120,2560,train,
5120,3072,train,
5120,3584,train,
5120,4096,train,
5120,4608,train,
5120,5120,test,
5120,5632,train,
5120,6144,train,
5120,6656,train,
