row_off,col_off,split,block
29940,34930,val,4_4
14970,24451,test,2_3
39421,27445,train,5_3
28443,16966,val,3_2
14970,18962,val,2_2
6487,34431,test,0_4
24950,34431,train,3_4
17964,7984,train,2_1
23952,31437,train,3_4
45409,23453,test,6_3
16467,31936,train,2_4
0,29940,test,0_4
19960,25948,test,2_3
41417,33433,train,5_4
22954,32934,train,3_4
37924,11477,test,5_1
15968,6487,train,2_0
39920,7485,test,5_1
16467,24451,test,2_3
14970,23952,test,2_3
4491,25948,train,0_3
3493,31437,test,0_4
27445,7984,val,3_1
9481,25948,val,1_3
47405,16966,train,6_2
12974,25948,val,1_3
46407,34431,train,6_4
27944,6986,val,3_0
3493,35429,test,0_4
19461,33433,train,2_4
499,2994,train,0_0
14970,2994,train,2_0
26447,34930,train,3_4
40419,16467,val,5_2
35928,22455,train,4_3
12475,23453,val,1_3
29940,33932,val,4_4
51896,35928,train,6_4
42914,29940,train,5_4
42415,21457,val,5_2
21956,15469,val,2_2
23952,16467,val,3_2
6487,32435,test,0_4
6986,34930,test,0_4
2994,29940,test,0_4
3992,31936,test,0_4
32934,36427,val,4_4
44910,35429,train,6_4
43912,16467,val,5_2
4491,25449,train,0_3
34431,34431,val,4_4
14471,36427,train,1_4
15469,20459,val,2_2
47405,34431,train,6_4
0,32435,test,0_4
36427,31437,val,4_4
45908,3992,test,6_0
6487,31437,test,0_4
12974,32435,train,1_4
3493,30938,test,0_4
28443,9980,val,3_1
4990,30439,test,0_4
3992,36427,test,0_4
17465,17465,val,2_2
10978,27944,val,1_3
49401,11976,train,6_1
40918,33433,train,5_4
40419,34431,train,5_4
41916,15968,val,5_2
32435,28443,train,4_3
44411,31437,train,5_4
41916,13473,test,5_1
46407,31437,train,6_4
20958,19960,val,2_2
17964,33932,train,2_4
38423,13473,test,5_1
44411,36427,train,5_4
18463,19461,val,2_2
12475,35429,train,1_4
48902,32934,train,6_4
40419,35429,train,5_4
40419,8483,test,5_1
11477,32934,train,1_4
14970,21457,val,2_2
21956,16467,val,2_2
41417,19960,val,5_2
8483,25449,val,1_3
42415,24451,train,5_3
39421,28942,train,5_3
17465,33932,train,2_4
40918,21457,val,5_2
3992,29940,test,0_4
4491,30938,test,0_4
16966,19461,val,2_2
25948,14970,val,3_2
27944,17465,val,3_2
38922,24451,train,5_3
50898,5988,test,6_0
19461,28942,test,2_3
6986,32435,test,0_4
6487,33433,test,0_4
40419,8982,test,5_1
42415,27445,train,5_3
47904,14970,train,6_2
26946,11477,val,3_1
29441,6986,val,3_0
51896,29441,test,6_3
21956,35928,train,2_4
48403,32435,train,6_4
33433,33433,val,4_4
26946,32435,train,3_4
50898,4491,test,6_0
6986,31936,test,0_4
43413,10978,test,5_1
17964,27944,test,2_3
16467,23952,test,2_3
26447,12974,val,3_1
14970,20958,val,2_2
13473,33932,train,1_4
20459,33433,train,2_4
3493,24950,train,0_3
10479,27445,val,1_3
27944,20958,val,3_2
23453,12475,val,3_1
18962,18463,val,2_2
1996,34431,test,0_4
6487,29940,test,0_4
32435,35928,val,4_4
998,36427,test,0_4
1996,26946,train,0_3
22954,14471,val,3_1
13972,25449,val,1_3
39920,8982,test,5_1
44411,17465,val,5_2
39920,18463,val,5_2
14970,22455,test,2_3
41417,29940,train,5_4
4491,32435,test,0_4
14471,3992,train,1_0
46407,4491,test,6_0
36427,4491,train,4_0
1996,36427,test,0_4
22455,34930,train,3_4
29441,14471,val,3_1
35928,21956,train,4_2
1996,30439,test,0_4
6986,31437,test,0_4
23453,35429,train,3_4
40918,7485,test,5_1
20459,20459,val,2_2
4491,26447,train,0_3
9481,26447,val,1_3
0,36427,test,0_4
31936,2994,train,4_0
33433,24451,train,4_3
24950,30439,train,3_4
24950,18463,val,3_2
2994,26447,train,0_3
39421,12475,test,5_1
33433,32435,val,4_4
1497,29940,test,0_4
19960,26447,test,2_3
13972,23952,val,1_3
22455,32435,train,3_4
19960,34431,train,2_4
22954,32435,train,3_4
11976,27445,val,1_3
36926,22954,train,4_3
39421,17964,val,5_2
20459,25948,test,2_3
27944,21457,val,3_2
19960,15968,val,2_2
41916,7984,test,5_1
27944,28443,train,3_3
39920,8483,test,5_1
26447,18962,val,3_2
2495,26946,train,0_3
24950,26946,train,3_3
28443,20459,val,3_2
18463,24950,test,2_3
51397,34930,train,6_4
47405,13972,train,6_1
37425,8982,test,5_1
6487,32934,test,0_4
2495,34431,test,0_4
37425,13473,test,5_1
9980,34431,train,1_4
17465,33433,train,2_4
49401,19461,train,6_2
47405,25948,test,6_3
43413,16467,val,5_2
39421,31936,train,5_4
41417,36427,train,5_4
44411,8483,test,5_1
499,34930,test,0_4
35429,33433,val,4_4
14970,19461,val,2_2
47904,34431,train,6_4
47405,1996,test,6_0
37425,17964,val,5_2
28942,20958,val,3_2
33433,13972,train,4_1
14471,33932,train,1_4
22954,33433,train,3_4
34431,36427,val,4_4
45908,5489,test,6_0
10479,27944,val,1_3
48902,33433,train,6_4
25948,4491,val,3_0
21457,33932,train,2_4
11477,28942,val,1_3
41417,17964,val,5_2
36427,35429,val,4_4
15968,21457,val,2_2
15469,24451,test,2_3
37924,8982,test,5_1
15968,33433,train,2_4
17964,19461,val,2_2
19461,20459,val,2_2
44411,31936,train,5_4
15469,23952,test,2_3
15469,32435,train,2_4
45409,22954,test,6_3
27944,20459,val,3_2
7984,26946,val,1_3
32934,33433,val,4_4
4491,34930,test,0_4
3992,30439,test,0_4
44411,17964,val,5_2
25948,998,val,3_0
24950,30938,train,3_4
26946,15968,val,3_2
48902,34930,train,6_4
14970,24950,test,2_3
