row_off,col_off,split,block
37425,9980,test,5_1
998,34930,test,0_4
31936,4491,train,4_0
46906,11477,train,6_1
39421,28443,train,5_3
33932,22455,train,4_3
43413,21956,val,5_2
15469,31936,test,2_4
5988,31936,test,0_4
34431,11477,train,4_1
34431,26447,train,4_3
3992,31437,test,0_4
29441,28942,test,3_3
998,29940,test,0_4
31936,32435,train,4_4
49401,34431,train,6_4
31936,17465,train,4_2
7984,24451,train,1_3
5489,18962,train,0_2
15469,28443,val,2_3
41417,8483,test,5_1
23453,16966,val,3_2
43413,32934,train,5_4
34930,12974,train,4_1
23453,16467,val,3_2
43912,34431,train,5_4
14471,18962,val,1_2
17964,7984,train,2_1
51896,17465,train,6_2
40918,26946,train,5_3
43912,4990,val,5_0
37924,34930,train,5_4
5988,26447,train,0_3
34431,7984,train,4_1
43912,6487,val,5_0
46407,6487,test,6_0
8483,25449,train,1_3
5988,31437,test,0_4
16467,33433,test,2_4
10978,21457,val,1_2
50399,32934,train,6_4
43413,4990,val,5_0
44910,4491,test,6_0
17465,14471,train,2_1
2994,36427,test,0_4
10978,29940,val,1_4
37425,4491,val,5_0
499,35928,test,0_4
32934,31437,train,4_4
32435,31936,train,4_4
29441,13473,val,3_1
44411,16467,val,5_2
35928,34431,train,4_4
25449,24950,test,3_3
51896,34930,train,6_4
26946,33433,train,3_4
46906,33932,train,6_4
19461,35429,test,2_4
29441,26946,test,3_3
23952,16966,val,3_2
37425,7984,test,5_1
14471,21457,val,1_2
42415,35429,train,5_4
20958,31936,test,2_4
46407,2994,test,6_0
37425,8483,test,5_1
22455,6986,train,3_0
22455,20459,val,3_2
45908,1996,test,6_0
37425,18463,val,5_2
29441,35429,train,3_4
41417,31936,train,5_4
40419,13972,test,5_1
35928,28443,train,4_3
49900,28942,train,6_3
37924,9481,test,5_1
42914,34431,train,5_4
12475,30938,val,1_4
6487,30439,test,0_4
49401,26447,train,6_3
34431,14970,train,4_2
4990,31437,test,0_4
29441,34431,train,3_4
10978,26447,train,1_3
45908,31437,train,6_4
44910,33932,train,6_4
5988,32435,test,0_4
1497,30439,test,0_4
23952,20958,val,3_2
48902,13473,train,6_1
499,31437,test,0_4
39920,13972,test,5_1
50399,30439,train,6_4
21457,36427,test,2_4
32934,6986,train,4_0
16966,24451,val,2_3
19960,35928,test,2_4
39421,36427,train,5_4
46906,34930,train,6_4
40918,12475,test,5_1
39421,11477,test,5_1
36427,31437,train,4_4
39421,5489,val,5_0
40419,32934,train,5_4
26946,32934,train,3_4
42415,4990,val,5_0
1497,36427,test,0_4
7485,32934,val,1_4
2495,25948,train,0_3
4491,19461,train,0_2
13473,35429,val,1_4
24451,17465,val,3_2
36926,0,train,4_0
6986,31936,test,0_4
19461,25948,val,2_3
8483,24451,train,1_3
39421,9980,test,5_1
22455,17465,val,3_2
41916,31437,train,5_4
499,35429,test,0_4
40419,5489,val,5_0
30439,33932,train,4_4
2495,29940,test,0_4
13972,20958,val,1_2
9481,24950,train,1_3
39421,27445,train,5_3
15968,11477,train,2_1
40419,4990,val,5_0
9980,26447,train,1_3
41417,25948,train,5_3
16467,29441,val,2_3
39421,34930,train,5_4
4990,30439,test,0_4
44411,2495,val,5_0
28942,499,train,3_0
39421,8483,test,5_1
3992,30439,test,0_4
32435,6487,train,4_0
6487,34431,test,0_4
51397,9980,train,6_1
15968,24950,val,2_3
24950,17465,val,3_2
49401,30938,train,6_4
39421,15968,val,5_2
14970,22954,val,2_3
29441,11976,val,3_1
2495,30938,test,0_4
32435,11976,train,4_1
30439,33433,train,4_4
46906,4990,test,6_0
33433,9481,train,4_1
44411,15469,val,5_2
28443,21457,val,3_2
39421,35429,train,5_4
28443,33932,train,3_4
49401,27445,train,6_3
14970,23453,val,2_3
4491,32435,test,0_4
41417,7485,test,5_1
2994,30439,test,0_4
39920,36427,train,5_4
40918,32934,train,5_4
8982,24451,train,1_3
27445,34930,train,3_4
28443,34930,train,3_4
41916,6986,val,5_0
33932,4491,train,4_0
37924,7485,test,5_1
41417,16467,val,5_2
39920,17465,val,5_2
21457,32934,test,2_4
46407,33433,train,6_4
13972,33433,val,1_4
51896,33433,train,6_4
17964,33932,test,2_4
13972,19960,val,1_2
5988,33932,test,0_4
6487,10479,train,0_1
41417,34431,train,5_4
49900,5489,test,6_0
50399,29441,train,6_3
1996,29940,test,0_4
38423,27445,train,5_3
27445,17465,val,3_2
38922,16966,val,5_2
48902,11477,train,6_1
6986,24451,train,0_3
41916,33433,train,5_4
43912,16966,val,5_2
22954,15469,val,3_2
44910,6487,test,6_0
39421,32934,train,5_4
29441,7485,val,3_1
2495,30439,test,0_4
36427,30439,train,4_4
13972,20459,val,1_2
42914,26447,train,5_3
2994,26447,train,0_3
14471,19461,val,1_2
41417,7984,test,5_1
46407,23453,train,6_3
28942,8982,val,3_1
20459,33932,test,2_4
6487,33932,test,0_4
41417,10978,test,5_1
28942,29441,test,3_3
40918,34930,train,5_4
50399,17964,train,6_2
23453,28942,test,3_3
40419,6487,val,5_0
33932,6986,train,4_0
37924,8483,test,5_1
13473,30439,val,1_4
29441,13972,val,3_1
33932,33433,train,4_4
38423,9481,test,5_1
15968,28942,val,2_3
5489,10479,train,0_1
32934,5489,train,4_0
50399,34930,train,6_4
41417,19960,val,5_2
2994,25948,train,0_3
14970,35928,test,2_4
1996,30439,test,0_4
29441,23952,test,3_3
39920,32435,train,5_4
43413,34431,train,5_4
18463,26946,val,2_3
998,35928,test,0_4
9481,36427,val,1_4
50399,33433,train,6_4
33433,6986,train,4_0
14471,20958,val,1_2
28443,26447,test,3_3
998,30439,test,0_4
47405,5988,test,6_0
10479,35429,val,1_4
3493,29940,test,0_4
47904,18962,train,6_2
40918,34431,train,5_4
1996,25948,train,0_3
7984,26946,train,1_3
49401,27944,train,6_3
43413,13473,test,5_1
17465,22954,val,2_3
2994,34930,test,0_4
27445,28942,test,3_3
46407,29441,train,6_3
42914,5489,val,5_0
52395,23952,test,7_3
0,34930,test,0_4
24451,18463,val,3_2
31936,499,train,4_0
5988,30938,test,0_4
8483,29940,val,1_4
6986,30938,test,0_4
50898,4491,test,6_0
32435,30938,train,4_4
33433,7984,train,4_1
24950,33433,train,3_4
22954,15968,val,3_2
40918,6986,val,5_0
14970,32435,test,2_4
28942,17465,val,3_2
37924,35928,train,5_4
48902,16467,train,6_2
40918,31936,train,5_4
1497,29940,test,0_4
46407,6986,test,6_0
24451,17964,val,3_2
34431,5489,train,4_0
2495,26447,train,0_3
45409,5988,test,6_0
15968,8982,train,2_1
39920,8483,test,5_1
44411,33932,train,5_4
18962,36427,test,2_4
26946,34930,train,3_4
13972,21457,val,1_2
27445,33433,train,3_4
28942,20459,val,3_2
43413,9481,test,5_1
38922,16467,val,5_2
42415,9481,test,5_1
8483,34431,val,1_4
14471,18463,val,1_2
49401,25948,train,6_3
46407,3992,test,6_0
51896,499,test,6_0
30938,3493,train,4_0
9481,32435,val,1_4
40918,12974,test,5_1
15469,25449,val,2_3
39920,27944,train,5_3
23952,27445,test,3_3
26447,33433,train,3_4
37425,28443,train,5_3
37425,7485,test,5_1
14970,24451,val,2_3
41916,7984,test,5_1
5988,33433,test,0_4
9980,25449,train,1_3
42415,26447,train,5_3
44411,14471,test,5_1
28443,20958,val,3_2
41916,20459,val,5_2
12475,1996,train,1_0
16966,23453,val,2_3
4990,30938,test,0_4
32435,3992,train,4_0
998,32934,test,0_4
15469,28942,val,2_3
17465,15469,train,2_2
24950,17964,val,3_2
44411,36427,train,5_4
32435,24451,train,4_3
45908,4990,test,6_0
45908,31936,train,6_4
10479,34930,val,1_4
36427,34930,train,4_4
6986,32435,test,0_4
33932,30938,train,4_4
49900,2495,test,6_0
14471,19960,val,1_2
499,30938,test,0_4
4491,31437,test,0_4
29441,20958,val,3_2
27445,10978,val,3_1
499,34431,test,0_4
48403,11976,train,6_1
15469,33932,test,2_4
48403,28942,train,6_3
14970,22455,val,2_3
25948,36427,train,3_4
43413,8483,test,5_1
5489,31936,test,0_4
21956,32934,test,2_4
52395,33433,train,7_4
19461,36427,test,2_4
40918,15968,val,5_2
32435,22455,train,4_3
48902,21956,train,6_2
37924,21956,val,5_2
6986,31437,test,0_4
8483,32435,val,1_4
7984,24950,train,1_3
36427,28443,train,4_3
499,25948,train,0_3
24950,35429,train,3_4
6986,26447,train,0_3
15968,31437,test,2_4
15968,30938,test,2_4
41916,35928,train,5_4
41916,10479,test,5_1
45908,4491,test,6_0
37924,4990,val,5_0
17465,25948,val,2_3
44411,4990,val,5_0
48403,15968,train,6_2
5988,30439,test,0_4
4491,31936,test,0_4
2994,31437,test,0_4
46906,3992,test,6_0
11477,31437,val,1_4
20459,25449,val,2_3
43413,6487,val,5_0
18463,35429,test,2_4
19960,33433,test,2_4
27445,21457,val,3_2
10978,24950,train,1_3
998,34431,test,0_4
47405,3493,test,6_0
5489,30439,test,0_4
47904,24950,train,6_3
28942,36427,train,3_4
8982,33932,val,1_4
5489,12475,train,0_1
51896,0,test,6_0
9481,32934,val,1_4
1996,26447,train,0_3
27944,7984,val,3_1
16467,23952,val,2_3
36427,34431,train,4_4
16467,27944,val,2_3
29940,35429,train,4_4
0,36427,test,0_4
4491,29940,test,0_4
3992,23453,train,0_3
26447,34930,train,3_4
42415,17964,val,5_2
32934,29940,train,4_4
23952,17465,val,3_2
45908,33932,train,6_4
12475,21956,val,1_2
27944,35928,train,3_4
18463,33433,test,2_4
28942,34930,train,3_4
499,26447,train,0_3
48403,34930,train,6_4
40918,7984,test,5_1
9481,25948,train,1_3
5988,36427,test,0_4
24950,25449,test,3_3
24950,11477,val,3_1
33932,24950,train,4_3
4990,31936,test,0_4
41417,35429,train,5_4
47405,18962,train,6_2
4990,29940,test,0_4
