row_off,col_off,split,block
25974,9324,train,5_1
24642,22977,val,5_4
32301,1665,train,6_0
33300,17649,test,6_3
26307,3996,train,5_0
33966,13320,train,6_2
25308,17982,test,5_3
9324,14985,val,1_3
27972,9324,train,5_1
2331,19314,train,0_3
22311,21978,train,4_4
9657,14985,val,1_3
17316,13986,train,3_2
1332,19314,train,0_3
18981,8325,val,3_1
26640,5661,train,5_1
8991,23643,val,1_4
31968,22644,val,6_4
999,19647,train,0_3
26640,5328,train,5_1
30303,2664,train,6_0
31635,5661,train,6_1
21978,17982,train,4_3
1998,17316,train,0_3
15318,23310,test,3_4
20646,11988,train,4_2
2331,20313,train,0_4
26307,3330,train,5_0
15984,22311,test,3_4
18981,14319,train,3_2
2997,16317,train,0_3
4995,17316,val,1_3
16650,21978,test,3_4
1665,20646,train,0_4
1665,18981,train,0_3
23643,7326,test,4_1
21645,5328,test,4_1
27972,23310,val,5_4
2664,19647,train,0_3
32967,10989,train,6_2
1665,18648,train,0_3
17649,5994,val,3_1
32301,15651,test,6_3
31302,23643,val,6_4
16317,22644,test,3_4
28638,3663,train,5_0
9990,13653,test,2_2
27306,19314,test,5_3
26973,22977,val,5_4
7326,17982,val,1_3
8991,18315,val,1_3
9657,15318,val,1_3
17982,12654,train,3_2
18981,1332,train,3_0
1998,20979,train,0_4
20646,15651,train,4_3
27306,19647,test,5_3
8325,23310,val,1_4
16317,9657,val,3_1
26640,3330,train,5_0
28971,10989,train,5_2
15651,6993,val,3_1
20979,4329,val,4_0
10989,7992,train,2_1
15651,22644,test,3_4
18981,22977,test,3_4
12987,17316,test,2_3
19647,14652,train,3_2
27639,5328,train,5_1
1998,17982,train,0_3
12987,12321,test,2_2
27306,3996,train,5_0
20646,15318,train,4_3
10323,15651,test,2_3
25974,15318,test,5_3
20313,11988,train,4_2
5328,17316,val,1_3
20313,16317,train,4_3
17982,3663,train,3_0
33966,20313,val,6_4
1332,18315,train,0_3
29304,12987,train,5_2
18981,13320,train,3_2
32301,16983,test,6_3
2664,22644,train,0_4
10656,17316,test,2_3
31635,6327,train,6_1
11655,13653,test,2_2
17649,3663,train,3_0
2997,19980,train,0_4
