row_off,col_off,split,block
40918,4990,val,5_0
29441,23952,test,3_3
7485,32435,val,1_4
40419,12974,test,5_1
6487,34930,test,0_4
6487,33433,test,0_4
35429,17964,train,4_2
6986,34431,test,0_4
46906,22954,val,6_3
20958,28443,val,2_3
26447,22954,test,3_3
1497,36427,test,0_4
40918,7485,test,5_1
33932,6986,train,4_0
34930,20459,train,4_2
22455,19461,val,3_2
48902,25948,val,6_3
39421,33932,train,5_4
46407,2994,test,6_0
32934,28443,train,4_3
22455,6986,train,3_0
38922,15968,val,5_2
26946,32435,train,3_4
41417,7485,test,5_1
16467,28443,val,2_3
42415,13473,test,5_1
38922,29940,train,5_4
46407,3992,test,6_0
15968,26447,val,2_3
998,34930,test,0_4
41417,7984,test,5_1
25948,32435,train,3_4
11477,20958,val,1_2
5489,18962,train,0_2
39920,35928,train,5_4
14970,28443,val,2_3
29441,6986,train,3_0
26946,33433,train,3_4
17964,20459,train,2_2
8483,25948,train,1_3
2994,36427,test,0_4
33932,24451,train,4_3
19960,31936,test,2_4
41916,36427,train,5_4
34930,23453,train,4_3
30439,34431,train,4_4
38423,29441,train,5_3
2495,30439,test,0_4
39421,31437,train,5_4
29940,4990,train,4_0
22954,16966,val,3_2
37924,3493,val,5_0
12974,18463,val,1_2
49401,12974,train,6_1
998,36427,test,0_4
3992,30439,test,0_4
22455,22455,test,3_3
13972,19960,val,1_2
18962,28942,val,2_3
6487,34431,test,0_4
2495,30938,test,0_4
21956,32934,test,2_4
34431,9980,train,4_1
24451,18463,val,3_2
18962,24950,val,2_3
24451,22954,test,3_3
50399,34930,train,6_4
26946,34930,train,3_4
37924,30439,train,5_4
27944,20958,val,3_2
23952,26447,test,3_3
21457,28942,val,2_3
38922,17465,val,5_2
39920,5988,val,5_0
52395,26946,test,7_3
51896,33433,train,6_4
25948,17465,val,3_2
40419,11477,test,5_1
37425,4990,val,5_0
38423,14970,val,5_2
40918,12475,test,5_1
18463,35429,test,2_4
42914,34930,train,5_4
23453,16467,val,3_2
20459,24451,val,2_3
4491,30439,test,0_4
3992,32435,test,0_4
47904,4491,test,6_0
35928,27944,train,4_3
19461,14471,train,2_1
26447,21956,val,3_2
31936,35928,train,4_4
40918,36427,train,5_4
30938,33433,train,4_4
37425,36427,train,5_4
15968,11477,train,2_1
4990,30439,test,0_4
21457,22455,val,2_3
41916,21956,val,5_2
27445,11976,val,3_1
21457,27445,val,2_3
38922,7984,test,5_1
41417,34930,train,5_4
43912,35928,train,5_4
15469,24950,val,2_3
48902,14970,train,6_2
11976,28942,train,1_3
47405,5988,test,6_0
28443,36427,train,3_4
4491,29940,test,0_4
46407,6986,test,6_0
28443,32934,train,3_4
32435,28443,train,4_3
19461,24950,val,2_3
32934,6986,train,4_0
19461,26447,val,2_3
15469,30938,test,2_4
7984,30439,val,1_4
19461,25449,val,2_3
24950,15469,val,3_2
43912,15469,val,5_2
28942,499,train,3_0
0,32934,test,0_4
4990,26946,train,0_3
9481,25449,train,1_3
42914,14970,val,5_2
23952,17465,val,3_2
14471,21956,val,1_2
28942,36427,train,3_4
26447,4990,train,3_0
7984,34431,val,1_4
40918,7984,test,5_1
35429,28942,train,4_3
46906,15968,train,6_2
45908,5988,test,6_0
18962,26447,val,2_3
45409,33932,train,6_4
44411,6487,val,5_0
5489,10479,train,0_1
17964,7984,train,2_1
35928,34930,train,4_4
42914,31936,train,5_4
14471,19960,val,1_2
1497,29940,test,0_4
7485,31437,val,1_4
6487,10479,train,0_1
37425,11976,test,5_1
36926,31936,train,4_4
37425,26447,train,5_3
27944,34431,train,3_4
42415,34431,train,5_4
43413,10978,test,5_1
5489,30439,test,0_4
40419,35429,train,5_4
16467,36427,test,2_4
38423,5489,val,5_0
38423,8483,test,5_1
23453,22455,test,3_3
44411,6986,val,5_0
41916,25948,train,5_3
4491,19461,train,0_2
49401,17964,train,6_2
24451,17964,val,3_2
34431,26946,train,4_3
26447,29441,test,3_3
23952,10978,val,3_1
2994,26447,train,0_3
17964,33932,test,2_4
39421,20958,val,5_2
40918,9481,test,5_1
38922,21457,val,5_2
0,34930,test,0_4
48902,22954,val,6_3
15469,32435,test,2_4
31936,499,train,4_0
23952,25449,test,3_3
33433,3493,train,4_0
23453,26946,test,3_3
21457,35928,test,2_4
17964,25449,val,2_3
20958,23453,val,2_3
51397,36427,train,6_4
13972,17964,val,1_2
23952,16966,val,3_2
4491,31936,test,0_4
15469,23952,val,2_3
38922,18463,val,5_2
41417,33932,train,5_4
45908,6986,test,6_0
41417,15469,val,5_2
48403,32934,train,6_4
1996,26946,train,0_3
49401,1497,test,6_0
22455,27445,test,3_3
40918,30439,train,5_4
42415,7485,test,5_1
41417,20958,val,5_2
18962,16467,train,2_2
20958,22455,val,2_3
22455,12974,val,3_1
41916,7485,test,5_1
8483,24950,train,1_3
499,35429,test,0_4
31936,26946,train,4_3
4491,32435,test,0_4
39920,17465,val,5_2
45409,4491,test,6_0
37924,5489,val,5_0
41916,4990,val,5_0
45409,26447,val,6_3
5988,35429,test,0_4
19960,26447,val,2_3
39920,27944,train,5_3
27944,33433,train,3_4
6487,30938,test,0_4
32934,30938,train,4_4
43413,6986,val,5_0
12475,1996,train,1_0
6487,29940,test,0_4
4491,31437,test,0_4
6986,31437,test,0_4
44411,36427,train,5_4
48902,17964,train,6_2
15469,29441,val,2_3
17964,30439,test,2_4
19960,24950,val,2_3
47405,12475,train,6_1
4990,35928,test,0_4
39920,4990,val,5_0
14471,20958,val,1_2
12475,32435,val,1_4
42914,13473,test,5_1
40918,28942,train,5_3
29940,4491,train,4_0
28443,34930,train,3_4
499,31437,test,0_4
998,34431,test,0_4
16467,33433,test,2_4
5988,26946,train,0_3
46407,34431,train,6_4
29441,33433,train,3_4
28942,21956,val,3_2
15968,24950,val,2_3
7984,25948,train,1_3
13972,34930,val,1_4
38423,16966,val,5_2
27944,14970,val,3_2
47405,35429,train,6_4
14471,35429,val,1_4
36926,28443,train,4_3
25449,9481,val,3_1
48902,23453,val,6_3
47405,2495,test,6_0
49900,26447,val,6_3
5489,30938,test,0_4
51896,6487,test,6_0
27445,28443,test,3_3
14471,33932,val,1_4
3992,36427,test,0_4
2994,25449,train,0_3
2994,30938,test,0_4
18463,18463,train,2_2
37924,4990,val,5_0
7984,34930,val,1_4
30938,5489,train,4_0
5489,31936,test,0_4
46407,4491,test,6_0
45908,34431,train,6_4
27944,21457,val,3_2
5489,12475,train,0_1
2994,34930,test,0_4
51896,0,test,6_0
10479,32934,val,1_4
42914,5489,val,5_0
30439,6487,train,4_0
31936,32435,train,4_4
48403,32435,train,6_4
49401,14471,train,6_1
39920,36427,train,5_4
18463,34431,test,2_4
41916,4491,val,5_0
3992,23453,train,0_3
39920,34930,train,5_4
35429,25948,train,4_3
24451,21457,val,3_2
25948,27445,test,3_3
7485,35429,val,1_4
28942,32934,train,3_4
28942,26946,test,3_3
20459,30439,test,2_4
47405,33433,train,6_4
21457,32934,test,2_4
42415,11477,test,5_1
41916,12974,test,5_1
998,30439,test,0_4
17465,14471,train,2_1
19461,35429,test,2_4
38922,12974,test,5_1
15469,23453,val,2_3
44910,35429,train,6_4
15968,8982,train,2_1
6487,32435,test,0_4
40419,8483,test,5_1
7984,29940,val,1_4
36427,30938,train,4_4
21457,36427,test,2_4
29940,7984,train,4_1
5489,36427,test,0_4
16966,36427,test,2_4
4990,30938,test,0_4
36427,24451,train,4_3
37924,6986,val,5_0
3493,29940,test,0_4
30439,33932,train,4_4
18463,14471,train,2_1
28443,20958,val,3_2
38423,1996,val,5_0
37425,4491,val,5_0
25449,24950,test,3_3
27445,32934,train,3_4
0,32435,test,0_4
29441,35429,train,3_4
27944,32934,train,3_4
998,35928,test,0_4
39920,29940,train,5_4
19461,32435,test,2_4
33932,31936,train,4_4
46906,29441,val,6_3
18962,36427,test,2_4
33433,30938,train,4_4
14970,36427,test,2_4
5489,31437,test,0_4
1497,35928,test,0_4
46906,34930,train,6_4
49900,13972,train,6_1
38423,26447,train,5_3
43413,7984,test,5_1
28942,21457,val,3_2
499,35928,test,0_4
31936,28942,train,4_3
51896,34930,train,6_4
38922,8982,test,5_1
16966,33433,test,2_4
45409,28942,val,6_3
47904,6487,test,6_0
40918,8483,test,5_1
36926,26447,train,4_3
17964,23952,val,2_3
18463,33433,test,2_4
21956,36427,test,2_4
45409,18463,train,6_2
44910,27445,val,6_3
21457,26946,val,2_3
37924,24451,train,5_3
22954,15968,val,3_2
17964,24950,val,2_3
31437,3493,train,4_0
47405,34930,train,6_4
29441,19960,val,3_2
12475,21956,val,1_2
18463,15968,train,2_2
3493,30938,test,0_4
19960,33433,test,2_4
26447,34930,train,3_4
34431,32934,train,4_4
9481,36427,val,1_4
51896,2495,test,6_0
9481,6986,train,1_0
13972,21956,val,1_2
17465,15469,train,2_2
39421,35429,train,5_4
51896,27944,val,6_3
20459,26447,val,2_3
35429,24451,train,4_3
32934,3493,train,4_0
40419,4990,val,5_0
25948,21956,val,3_2
26447,33433,train,3_4
40918,6487,val,5_0
10978,21457,val,1_2
24950,34431,train,3_4
48902,33932,train,6_4
5489,32934,test,0_4
34431,15968,train,4_2
33932,24950,train,4_3
22455,18463,val,3_2
41417,20459,val,5_2
41417,25449,train,5_3
4491,14970,train,0_2
499,26447,train,0_3
40918,33932,train,5_4
32934,24451,train,4_3
5988,36427,test,0_4
34930,28942,train,4_3
32435,6487,train,4_0
4491,25948,train,0_3
44411,33932,train,5_4
9481,31936,val,1_4
17964,36427,test,2_4
7984,32934,val,1_4
3493,30439,test,0_4
7485,32934,val,1_4
3493,35928,test,0_4
3493,24950,train,0_3
41417,30439,train,5_4
49900,29441,val,6_3
27944,22954,test,3_3
17465,32435,test,2_4
5988,31437,test,0_4
32934,6487,train,4_0
8982,32435,val,1_4
17465,23453,val,2_3
37425,2994,val,5_0
39920,33433,train,5_4
42415,9481,test,5_1
29441,22954,test,3_3
34930,26946,train,4_3
6986,32934,test,0_4
40918,6986,val,5_0
27445,34930,train,3_4
52395,34930,train,7_4
38423,15968,val,5_2
44910,24451,val,6_3
45908,3992,test,6_0
50898,35928,train,6_4
10978,36427,val,1_4
46906,12974,train,6_1
43912,36427,train,5_4
2994,35429,test,0_4
33932,14471,train,4_1
21457,33932,test,2_4
40419,20459,val,5_2
40419,8982,test,5_1
50399,33433,train,6_4
48902,33433,train,6_4
3992,32934,test,0_4
37425,34930,train,5_4
37924,8483,test,5_1
28942,17465,val,3_2
34431,17465,train,4_2
47904,34930,train,6_4
46906,35429,train,6_4
41417,18463,val,5_2
42415,16467,val,5_2
14471,17964,val,1_2
8982,25449,train,1_3
40918,32934,train,5_4
43912,34431,train,5_4
17964,23453,val,2_3
27445,15968,val,3_2
41417,28942,train,5_3
14471,0,train,1_0
37924,6487,val,5_0
0,36427,test,0_4
48403,25449,val,6_3
38922,14970,val,5_2
19960,35928,test,2_4
5988,33932,test,0_4
14970,23952,val,2_3
37924,32934,train,5_4
26447,34431,train,3_4
41916,15469,val,5_2
19960,5988,train,2_0
3992,31437,test,0_4
1996,29940,test,0_4
2495,26447,train,0_3
41417,8483,test,5_1
6487,36427,test,0_4
47405,25948,val,6_3
2994,26946,train,0_3
28942,26447,test,3_3
35429,32435,train,4_4
41417,25948,train,5_3
32934,32435,train,4_4
32435,3493,train,4_0
18962,25948,val,2_3
28443,29441,test,3_3
37425,24451,train,5_3
13473,18962,val,1_2
34431,25948,train,4_3
38423,7984,test,5_1
15469,35429,test,2_4
3493,31437,test,0_4
20459,33932,test,2_4
42914,8982,test,5_1
34930,19461,train,4_2
2495,26946,train,0_3
50898,19960,train,6_2
499,34431,test,0_4
16966,31936,test,2_4
38423,4491,val,5_0
24451,23453,test,3_3
41417,17465,val,5_2
19461,15968,train,2_2
4491,35429,test,0_4
22455,15968,val,3_2
26447,36427,train,3_4
42914,6487,val,5_0
2994,31936,test,0_4
41916,9481,test,5_1
2994,31437,test,0_4
6986,34930,test,0_4
45409,1996,test,6_0
52395,9481,train,7_1
22954,12475,val,3_1
51896,499,test,6_0
27944,27944,test,3_3
14970,22455,val,2_3
52395,36427,train,7_4
38423,7485,test,5_1
33433,5988,train,4_0
26447,16467,val,3_2
51896,19461,train,6_2
36427,25948,train,4_3
4990,32435,test,0_4
39920,30938,train,5_4
40918,10479,test,5_1
46407,24451,val,6_3
31437,6986,train,4_0
37924,4491,val,5_0
8483,24451,train,1_3
19461,36427,test,2_4
26946,12475,val,3_1
40419,12475,test,5_1
27445,23453,test,3_3
39421,27944,train,5_3
29441,11976,val,3_1
16966,26946,val,2_3
39920,11477,test,5_1
41916,35429,train,5_4
3992,30938,test,0_4
17465,24451,val,2_3
28942,13972,val,3_1
24950,35429,train,3_4
41417,4990,val,5_0
45409,18962,train,6_2
998,32934,test,0_4
49900,34431,train,6_4
35429,35928,train,4_4
27944,20459,val,3_2
49401,35429,train,6_4
39421,26946,train,5_3
41916,34930,train,5_4
15968,33932,test,2_4
38423,28942,train,5_3
34930,30439,train,4_4
34930,24950,train,4_3
4491,30938,test,0_4
28942,18463,val,3_2
28942,34930,train,3_4
9481,26946,train,1_3
25948,34431,train,3_4
43413,11477,test,5_1
39421,16467,val,5_2
32435,11976,train,4_1
7485,25449,train,1_3
38922,29441,train,5_3
34930,32934,train,4_4
42914,35429,train,5_4
41916,34431,train,5_4
6487,6986,train,0_0
14970,22954,val,2_3
48403,34930,train,6_4
12974,36427,val,1_4
2994,30439,test,0_4
32934,5988,train,4_0
29940,35429,train,4_4
1996,30439,test,0_4
24950,33433,train,3_4
8982,29940,val,1_4
23453,23952,test,3_3
26946,29441,test,3_3
25948,25948,test,3_3
43052,11727,train,neg
42028,12239,train,neg
42284,11727,train,neg
42796,11727,train,neg
42284,11983,train,neg
42284,12751,train,neg
42796,12751,train,neg
42540,12239,train,neg
31519,15845,train,neg
43052,11983,train,neg
42028,12495,train,neg
43052,12495,train,neg
42284,12239,train,neg
42796,12495,train,neg
42284,12495,train,neg
32097,28037,train,neg
42028,11727,train,neg
42028,12751,train,neg
28478,7635,train,neg
42540,12495,train,neg
42796,12239,train,neg
26414,4137,train,neg
42540,11727,train,neg
36138,7150,train,neg
42028,11983,train,neg
43052,12751,train,neg
42540,11983,train,neg
42540,12751,train,neg
42796,11983,train,neg
43052,12239,train,neg
26414,3881,train,neg
