row_off,col_off,split,block
5839,6585,test,2_2
5839,6712,test,2_2
5839,6968,test,2_2
5839,7225,test,2_2
5840,6841,test,2_2
5840,7097,test,2_2
5840,7352,test,2_2
5840,7481,test,2_2
5840,7608,val,2_3
5967,6841,test,2_2
5967,7097,test,2_2
5967,7352,test,2_2
5967,7480,test,2_2
5967,7609,val,2_3
5968,6584,test,2_2
5968,6713,test,2_2
5968,6968,test,2_2
5968,7225,test,2_2
6095,6585,test,2_2
6095,6713,test,2_2
6095,6968,test,2_2
6095,7225,test,2_2
6095,7353,test,2_2
6096,6840,test,2_2
6096,7097,test,2_2
6096,7480,test,2_2
6096,7608,val,2_3
6223,6712,test,2_2
6223,6840,test,2_2
6223,7097,test,2_2
6223,7481,test,2_2
6223,7609,val,2_3
6224,6584,test,2_2
6224,6969,test,2_2
6224,7225,test,2_2
6224,7353,test,2_2
6351,6585,test,2_2
6351,6969,test,2_2
6351,7352,test,2_2
6351,7480,test,2_2
6352,6713,test,2_2
6352,6841,test,2_2
6352,7097,test,2_2
6352,7225,test,2_2
6352,7608,val,2_3
6479,6584,test,2_2
6479,6712,test,2_2
6479,6969,test,2_2
6479,7224,test,2_2
6480,6840,test,2_2
6480,7097,test,2_2
6480,7352,test,2_2
6480,7481,test,2_2
6480,7609,val,2_3
6607,6840,test,2_2
6607,7097,test,2_2
6607,7353,test,2_2
6607,7481,test,2_2
6607,7608,val,2_3
6608,6584,test,2_2
6608,6713,test,2_2
6608,6968,test,2_2
6608,7224,test,2_2
6735,6585,test,2_2
6735,6712,test,2_2
6735,6968,test,2_2
6735,7224,test,2_2
6735,7353,test,2_2
6736,6841,test,2_2
6736,7097,test,2_2
6736,7480,test,2_2
6736,7609,val,2_3
6863,6713,test,2_2
6863,6840,test,2_2
6863,7097,test,2_2
6863,7481,test,2_2
6863,7608,val,2_3
6864,6584,test,2_2
6864,6968,test,2_2
6864,7224,test,2_2
6864,7353,test,2_2
8756,4213,train,3_1
8756,4468,train,3_1
8756,4597,train,3_1
8757,4084,train,3_1
8757,4340,train,3_1
8757,4724,train,3_1
8757,4853,train,3_1
8757,4980,train,3_1
8757,5109,train,3_2
8884,4084,train,3_1
8884,4340,train,3_1
8884,4468,train,3_1
8884,4725,train,3_1
8884,4852,train,3_1
8884,4980,train,3_1
8884,5109,train,3_2
8885,4213,train,3_1
8885,4597,train,3_1
9012,4085,train,3_1
9012,4340,train,3_1
9012,4596,train,3_1
9012,4725,train,3_1
9012,4853,train,3_1
9012,5109,train,3_2
9013,4213,train,3_1
9013,4468,train,3_1
9013,4981,train,3_1
9140,4212,train,3_1
9140,4468,train,3_1
9141,4084,train,3_1
9141,4340,train,3_1
9141,4596,train,3_1
9141,4724,train,3_1
9141,4852,train,3_1
9141,4980,train,3_1
9141,5108,train,3_2
9173,6808,train,3_2
9173,7063,train,3_2
9173,7319,train,3_2
9174,6168,train,3_2
9174,6296,train,3_2
9174,6424,train,3_2
9174,6552,train,3_2
9174,6680,train,3_2
9174,6935,train,3_2
9174,7191,train,3_2
9174,7447,train,3_2
9174,7575,train,3_3
9268,4084,train,3_1
9268,4340,train,3_1
9268,4725,train,3_1
9268,4853,train,3_1
9268,4981,train,3_1
9268,5108,train,3_2
9269,4212,train,3_1
9269,4468,train,3_1
9269,4597,train,3_1
9396,4085,train,3_1
9396,4212,train,3_1
9396,4597,train,3_1
9396,4724,train,3_1
9397,4340,train,3_1
9397,4469,train,3_1
9397,4852,train,3_1
9397,4981,train,3_1
9397,5109,train,3_2
9524,4213,train,3_1
9524,4469,train,3_1
9525,4085,train,3_1
9525,4340,train,3_1
9525,4596,train,3_1
9525,4724,train,3_1
9525,4853,train,3_1
9525,4980,train,3_1
9525,5109,train,3_2
9652,4084,train,3_1
9652,4340,train,3_1
9652,4725,train,3_1
9652,4852,train,3_1
9652,4981,train,3_1
9652,5108,train,3_2
9653,4213,train,3_1
9653,4469,train,3_1
9653,4596,train,3_1
9780,4213,train,3_1
9780,4597,train,3_1
9781,4085,train,3_1
9781,4340,train,3_1
9781,4469,train,3_1
9781,4724,train,3_1
9781,4853,train,3_1
9781,4981,train,3_1
9781,5108,train,3_2
10069,6168,val,4_2
10069,6552,val,4_2
10069,6680,val,4_2
10069,7063,val,4_2
10069,7447,val,4_2
10070,6296,val,4_2
10070,6424,val,4_2
10070,6807,val,4_2
10070,6935,val,4_2
10070,7191,val,4_2
10070,7319,val,4_2
10197,6808,val,4_2
10197,7319,val,4_2
10198,6168,val,4_2
10198,6296,val,4_2
10198,6423,val,4_2
10198,6551,val,4_2
10198,6679,val,4_2
10198,6936,val,4_2
10198,7064,val,4_2
10198,7191,val,4_2
10198,7447,val,4_2
10325,6168,val,4_2
10325,6296,val,4_2
10325,6423,val,4_2
10325,6552,val,4_2
10325,6935,val,4_2
10325,7191,val,4_2
10325,7448,val,4_2
10326,6680,val,4_2
10326,6807,val,4_2
10326,7064,val,4_2
10326,7319,val,4_2
10453,6679,val,4_2
10453,6808,val,4_2
10453,7064,val,4_2
10453,7319,val,4_2
10453,7448,val,4_2
10454,6168,val,4_2
10454,6296,val,4_2
10454,6423,val,4_2
10454,6552,val,4_2
10454,6935,val,4_2
10454,7191,val,4_2
10581,6807,val,4_2
10581,6936,val,4_2
10581,7192,val,4_2
10582,6167,val,4_2
10582,6296,val,4_2
10582,6424,val,4_2
10582,6551,val,4_2
10582,6680,val,4_2
10582,7063,val,4_2
10582,7320,val,4_2
10582,7447,val,4_2
12093,2467,train,neg
9535,2609,train,neg
14044,4015,train,neg
10528,5364,train,neg
10686,9447,train,neg
8856,1347,train,neg
