row_off,col_off,split,block
118007,59898,val,3_1
74578,78290,test,2_2
114422,49146,val,3_1
84305,90579,test,2_3
123208,72935,train,4_2
85841,81362,test,2_2
72018,95699,test,2_3
107254,51194,val,3_1
73553,92114,test,2_3
73553,91091,test,2_3
74065,86483,test,2_2
74578,80339,test,2_2
130376,76007,train,4_2
80209,78290,test,2_2
124231,74472,train,4_2
104183,50171,val,3_1
128839,74472,train,4_2
110407,73447,train,3_2
76625,94674,test,2_3
73553,82387,test,2_2
114504,75495,train,3_2
124743,71912,train,4_2
83793,82387,test,2_2
106742,48123,val,3_1
129351,77032,train,4_2
72018,90579,test,2_3
124743,72424,train,4_2
71505,86483,test,2_2
107254,47098,val,3_1
115959,49146,val,3_1
69970,92626,test,2_3
124231,79080,train,4_2
110326,58875,val,3_1
76625,83923,test,2_2
74578,89554,test,2_2
83281,78802,test,2_2
69970,79827,test,2_2
72018,83923,test,2_2
68434,93139,test,2_3
109383,93927,val,3_3
108791,49659,val,3_1
128327,79592,train,4_2
108791,47611,val,3_1
123720,76007,train,4_2
127303,72424,train,4_2
112967,78568,train,3_2
71505,91602,test,2_3
122183,71912,train,4_2
131912,74984,train,4_2
104183,49146,val,3_1
83281,84946,test,2_2
117576,74472,train,3_2
75090,94674,test,2_3
69457,86995,test,2_2
83281,80850,test,2_2
120054,56315,test,4_1
131912,92904,val,4_3
116551,73447,train,3_2
87378,93139,test,2_3
104694,59387,val,3_1
73041,81362,test,2_2
130376,92392,val,4_3
69970,81875,test,2_2
113399,50682,val,3_1
123720,77543,train,4_2
73041,80850,test,2_2
84817,81875,test,2_2
86353,83410,test,2_2
128327,95463,val,4_3
116982,58875,val,3_1
107254,53242,val,3_1
118007,56827,val,3_1
69457,85458,test,2_2
110407,72424,train,3_2
111351,48634,val,3_1
74065,88018,test,2_2
77137,85971,test,2_2
74065,82387,test,2_2
107254,49146,val,3_1
85841,90579,test,2_3
108278,51706,val,3_1
122102,52219,test,4_1
68945,91091,test,2_3
78162,81875,test,2_2
113399,56827,val,3_1
70993,95699,test,2_3
127303,77543,train,4_2
77137,86483,test,2_2
121160,90856,val,4_3
75601,89043,test,2_2
121160,92392,val,4_3
113910,51706,val,3_1
104694,52731,val,3_1
117495,55290,val,3_1
73041,92114,test,2_3
118087,78568,train,3_2
81745,82387,test,2_2
68945,78290,test,2_2
123208,72424,train,4_2
73553,90066,test,2_3
115959,55290,val,3_1
114504,79592,train,3_2
120566,57339,test,4_1
109383,91367,val,3_3
110407,76520,train,3_2
120054,57850,test,4_1
122183,91879,val,4_3
111351,56827,val,3_1
82257,77267,test,2_2
82769,87506,test,2_2
75601,81362,test,2_2
85841,92114,test,2_3
130888,73447,train,4_2
112967,94952,val,3_3
118087,93927,val,3_3
69457,79315,test,2_2
87378,77267,test,2_2
110920,73447,train,3_2
113480,91367,val,3_3
115015,74984,train,3_2
83281,81362,test,2_2
127815,93415,val,4_3
77650,86483,test,2_2
77650,89554,test,2_2
83793,91091,test,2_3
104694,48634,val,3_1
132424,92392,val,4_3
125255,94952,val,4_3
79186,90579,test,2_3
128839,77032,train,4_2
78162,92114,test,2_3
125255,79080,train,4_2
130888,77543,train,4_2
79186,86483,test,2_2
131400,76007,train,4_2
109383,90856,val,3_3
84817,82387,test,2_2
112967,92904,val,3_3
68945,78802,test,2_2
113910,50171,val,3_1
121160,73959,train,4_2
105207,49659,val,3_1
132424,90344,val,4_3
81233,89043,test,2_2
114935,57339,val,3_1
80209,91602,test,2_3
85841,91091,test,2_3
82769,94162,test,2_3
77650,95187,test,2_3
109383,76520,train,3_2
128839,72935,train,4_2
81233,85458,test,2_2
117495,56315,val,3_1
82257,83410,test,2_2
119624,78055,train,3_2
117063,76007,train,3_2
84817,86483,test,2_2
79698,93651,test,2_3
120054,51194,test,4_1
75090,80339,test,2_2
120135,72935,train,4_2
117063,90856,val,3_3
116040,78055,train,3_2
130888,93415,val,4_3
121160,77543,train,4_2
83281,90066,test,2_3
81233,93139,test,2_3
77137,95699,test,2_3
81745,93139,test,2_3
74065,91091,test,2_3
129351,90344,val,4_3
117576,94440,val,3_3
76113,83410,test,2_2
76113,91602,test,2_3
108278,50171,val,3_1
115015,79592,train,3_2
75601,90579,test,2_3
76113,93651,test,2_3
111351,49659,val,3_1
74578,79315,test,2_2
113399,51194,val,3_1
111351,50682,val,3_1
120566,52219,test,4_1
127303,73447,train,4_2
85841,88018,test,2_2
81745,81362,test,2_2
75090,77267,test,2_2
118518,56827,val,3_1
69970,93139,test,2_3
82257,79315,test,2_2
110326,49659,val,3_1
76113,81875,test,2_2
128839,94952,val,4_3
83281,89043,test,2_2
85329,90579,test,2_3
128327,78055,train,4_2
74578,82387,test,2_2
110920,94952,val,3_3
76113,88018,test,2_2
112455,72424,train,3_2
83793,85971,test,2_2
87378,82898,test,2_2
129864,74984,train,4_2
74578,83410,test,2_2
73553,87506,test,2_2
80209,80339,test,2_2
111862,59898,val,3_1
70993,82387,test,2_2
78674,80339,test,2_2
74578,78802,test,2_2
126280,72424,train,4_2
82769,81362,test,2_2
105718,55290,val,3_1
110838,47611,val,3_1
112886,50682,val,3_1
78162,89554,test,2_2
81745,80339,test,2_2
132424,95463,val,4_3
70482,91091,test,2_3
82769,86483,test,2_2
84817,89554,test,2_2
119030,48634,val,3_1
127815,79592,train,4_2
70993,89043,test,2_2
125768,74472,train,4_2
110326,50171,val,3_1
112375,49659,val,3_1
81233,87506,test,2_2
118518,55802,val,3_1
126792,71912,train,4_2
119624,71912,train,3_2
83793,81362,test,2_2
127815,76520,train,4_2
109383,77543,train,3_2
79186,78290,test,2_2
110326,58362,val,3_1
111431,95463,val,3_3
79186,82898,test,2_2
78162,92626,test,2_3
115959,53242,val,3_1
85841,79315,test,2_2
118007,56315,val,3_1
114504,76007,train,3_2
121079,55802,test,4_1
126280,74984,train,4_2
128327,77032,train,4_2
68945,90579,test,2_3
103670,56315,val,3_1
114422,57339,val,3_1
85329,85458,test,2_2
84817,85458,test,2_2
127303,78055,train,4_2
68945,82387,test,2_2
79186,92114,test,2_3
119624,79080,train,3_2
70993,91091,test,2_3
76625,88018,test,2_2
119030,59898,val,3_1
85329,93651,test,2_3
115959,56315,val,3_1
76113,82898,test,2_2
108278,58875,val,3_1
127303,77032,train,4_2
117576,77543,train,3_2
114422,53242,val,3_1
108359,77543,train,3_2
77137,82387,test,2_2
110838,54779,val,3_1
124231,90344,val,4_3
108278,48634,val,3_1
126280,78568,train,4_2
71505,92114,test,2_3
125768,94440,val,4_3
122695,91879,val,4_3
