row_off,col_off,split,block
0,7936,train,0_3
9728,11008,test,3_4
7680,5632,val,3_2
6656,256,train,2_0
13568,3072,test,5_1
15616,8704,val,6_3
256,10240,val,0_4
4096,2048,train,1_0
5120,7680,test,2_3
5888,6912,test,2_2
16384,8960,val,6_3
10752,8704,train,4_3
7424,5120,test,2_2
17152,2816,train,6_1
5888,9984,test,2_3
6912,1536,train,2_0
16384,9216,val,6_3
5120,0,train,2_0
4864,512,train,1_0
14592,1024,train,5_0
2304,2048,val,0_0
13824,1536,train,5_0
3840,9728,val,1_3
13824,12032,test,5_4
3840,2304,train,1_0
16640,4608,train,6_1
2816,8192,val,1_3
3840,9984,val,1_3
8448,5376,val,3_2
16640,768,train,6_0
5120,7168,test,2_2
11008,11520,test,4_4
2048,10496,val,0_4
9984,5376,val,3_2
4352,8192,val,1_3
8704,6912,val,3_2
512,5632,train,0_2
13568,3840,test,5_1
15616,8192,val,6_3
14336,3840,test,5_1
14592,7424,train,5_2
13312,512,train,5_0
9728,7168,val,3_2
9984,5120,val,3_2
12800,1024,train,5_0
6144,5632,test,2_2
9984,1536,test,3_0
4352,9472,val,1_3
16384,5120,train,6_2
12032,2560,test,4_1
12288,8960,train,4_3
1536,7680,train,0_3
14080,2816,test,5_1
4096,1536,train,1_0
3584,3584,train,1_1
6912,2560,train,2_1
4352,7680,val,1_3
5888,1024,train,2_0
11520,7424,train,4_2
13312,12032,test,5_4
10240,8448,train,4_3
2304,10752,val,0_4
12800,10240,test,5_4
4608,10240,val,1_4
13568,1536,train,5_0
13056,3072,test,5_1
12032,3840,test,4_1
9728,11520,test,3_4
1024,8448,train,0_3
6400,1024,train,2_0
512,2304,val,0_0
6144,8192,test,2_3
15360,9984,val,6_3
9216,9216,train,3_3
10752,2560,test,4_1
2304,11264,val,0_4
8192,3072,val,3_1
14080,3840,test,5_1
6656,11264,train,2_4
15616,7936,val,6_3
3328,3072,train,1_1
9216,256,test,3_0
12800,8448,train,5_3
1792,11264,val,0_4
13312,10752,test,5_4
13824,3840,test,5_1
8192,0,test,3_0
2304,10496,val,0_4
512,3584,train,0_1
5376,2304,train,2_0
1536,5888,train,0_2
16896,1792,train,6_0
5888,8192,test,2_3
8448,1792,test,3_0
12288,6656,train,4_2
13568,11264,test,5_4
768,11008,val,0_4
15616,1280,train,6_0
15360,6144,train,6_2
13568,4096,test,5_1
12544,3584,test,5_1
13568,10240,test,5_4
7680,4352,val,3_1
4864,2048,train,1_0
5376,768,train,2_0
2816,256,train,1_0
17152,11264,train,6_4
13056,11008,test,5_4
8192,2816,val,3_1
13824,4864,test,5_1
4608,1280,train,1_0
3840,5376,train,1_2
0,768,val,0_0
2304,1792,val,0_0
12544,1536,train,5_0
16128,3840,train,6_1
15616,2048,train,6_0
11520,1280,train,4_0
512,11520,val,0_4
