row_off,col_off,split,block
19726,12756,train,4_2
21390,15189,val,4_3
18447,12245,train,3_2
12548,14424,test,2_2
12931,14552,test,2_2
14084,15321,test,2_3
20879,12756,train,4_2
20878,12628,train,4_2
20878,12501,train,4_2
12548,14552,test,2_2
18279,9725,val,3_1
21006,15189,val,4_3
12419,14040,test,2_2
12036,13272,test,2_2
13060,13401,test,2_2
12036,15576,test,2_3
14084,14809,test,2_3
13955,15321,test,2_3
13700,13400,test,2_2
21262,15316,val,4_3
18447,12628,train,3_2
19430,9214,val,3_1
18279,9086,val,3_1
19982,15189,val,4_3
20750,13012,train,4_2
11524,15832,test,2_3
19982,12757,train,4_2
13444,13656,test,2_2
18790,8573,val,3_1
19086,12373,train,3_2
12548,15705,test,2_3
12931,14809,test,2_3
21263,14932,val,4_3
18446,13013,train,3_2
13060,13529,test,2_2
17767,8061,val,3_1
12420,13529,test,2_2
19471,12629,train,3_2
20494,12116,train,4_2
11652,15065,test,2_3
13956,15576,test,2_3
17127,9470,val,3_1
18919,9214,val,3_1
20878,14933,val,4_3
20367,12500,train,4_2
12547,15064,test,2_3
12548,14296,test,2_2
21007,14804,val,4_3
12291,15320,test,2_3
19982,12117,train,4_2
18790,8702,val,3_1
17766,9085,val,3_1
19686,9085,test,4_1
20110,12373,train,4_2
18830,12373,train,3_2
17383,9342,val,3_1
13187,15448,test,2_3
13187,14808,test,2_3
18575,12756,train,3_2
18191,12629,train,3_2
12291,13656,test,2_2
19174,9597,val,3_1
18703,12885,train,3_2
13316,13272,test,2_2
12675,14553,test,2_2
12804,14297,test,2_2
20367,15444,val,4_3
12420,13657,test,2_2
21519,12244,train,4_2
13827,15064,test,2_3
18279,8830,val,3_1
17894,9341,val,3_1
12804,14552,test,2_2
19302,9470,val,3_1
20239,12372,train,4_2
18535,8318,val,3_1
18406,8829,val,3_1
13827,15576,test,2_3
21006,12628,train,4_2
21134,12372,train,4_2
12164,15832,test,2_3
19302,9341,val,3_1
20238,12500,train,4_2
12931,13528,test,2_2
20367,14932,val,4_3
20495,15188,val,4_3
18958,12628,train,3_2
11779,15705,test,2_3
18663,8829,val,3_1
12548,15192,test,2_3
20367,12116,train,4_2
17511,8317,val,3_1
19214,12117,train,3_2
20239,12244,train,4_2
13188,13656,test,2_2
12548,13913,test,2_2
13572,13656,test,2_2
13955,14424,test,2_2
12548,15320,test,2_3
12163,15193,test,2_3
20879,15572,val,4_3
14083,15192,test,2_3
13828,14553,test,2_2
20623,12372,train,4_2
18575,12885,train,3_2
18703,13012,train,3_2
12548,14169,test,2_2
13956,15193,test,2_3
12675,15192,test,2_3
19687,8702,test,4_1
13956,15064,test,2_3
21263,15444,val,4_3
21135,12629,train,4_2
20494,12500,train,4_2
11780,15449,test,2_3
19558,9725,val,3_1
12547,13145,test,2_2
12419,14425,test,2_2
12547,15449,test,2_3
17638,8317,val,3_1
17511,9086,val,3_1
18406,9214,val,3_1
11779,14297,test,2_2
19727,12117,train,4_2
19086,12244,train,3_2
19175,9213,val,3_1
12035,13657,test,2_2
18575,12245,train,3_2
19303,9725,val,3_1
17510,9725,val,3_1
18022,8445,val,3_1
14084,13529,test,2_2
