row_off,col_off,split,block
94335,35748,test,6_2
21846,64545,train,1_4
22839,54615,test,1_3
15888,27804,test,1_1
69510,47664,train,4_3
95328,73482,val,6_4
8937,59580,train,0_3
79440,48657,test,5_3
74475,18867,val,4_1
84405,63552,test,5_4
64545,59580,train,4_3
46671,38727,val,3_2
87384,26811,test,5_1
66531,70503,train,4_4
39720,19860,val,2_1
993,55608,train,0_3
42699,5958,val,2_0
97314,16881,train,6_1
45678,43692,val,3_2
17874,55608,test,1_3
29790,17874,test,1_1
66531,58587,train,4_3
10923,62559,train,0_4
12909,22839,val,0_1
9930,57594,train,0_3
50643,3972,test,3_0
60573,15888,val,4_1
48657,72489,val,3_4
5958,60573,train,0_4
29790,45678,test,1_3
75468,22839,test,5_1
69510,37734,train,4_2
18867,27804,test,1_1
6951,57594,train,0_3
35748,47664,train,2_3
69510,50643,train,4_3
71496,23832,val,4_1
29790,39720,train,1_2
80433,16881,test,5_1
78447,15888,test,5_1
52629,13902,test,3_0
30783,19860,val,2_1
54615,2979,test,3_0
84405,41706,val,5_2
88377,60573,test,5_4
98307,60573,val,6_4
82419,17874,test,5_1
44685,65538,val,2_4
81426,22839,test,5_1
80433,24825,test,5_1
28797,23832,test,1_1
33762,27804,val,2_1
27804,23832,test,1_1
20853,56601,test,1_3
48657,43692,val,3_2
6951,71496,train,0_4
18867,46671,test,1_3
87384,9930,train,5_0
11916,61566,train,0_4
4965,59580,train,0_3
20853,71496,train,1_4
67524,63552,train,4_4
20853,58587,test,1_3
8937,67524,train,0_4
13902,73482,train,0_4
16881,39720,train,1_2
7944,60573,train,0_4
98307,71496,val,6_4
53622,48657,val,3_3
76461,6951,train,5_0
19860,26811,test,1_1
80433,22839,test,5_1
89370,9930,train,5_0
84405,22839,test,5_1
48657,64545,val,3_4
48657,70503,val,3_4
94335,53622,train,6_3
2979,51636,train,0_3
68517,9930,train,4_0
85398,39720,val,5_2
2979,61566,train,0_4
96321,54615,train,6_3
100293,3972,train,6_0
87384,25818,test,5_1
57594,42699,val,3_2
86391,15888,test,5_1
8937,60573,train,0_4
81426,9930,train,5_0
9930,56601,train,0_3
49650,46671,val,3_3
6951,42699,train,0_2
102279,68517,val,6_4
88377,28797,test,5_1
66531,36741,train,4_2
84405,48657,test,5_3
5958,45678,train,0_3
4965,53622,train,0_3
6951,59580,train,0_3
91356,32769,test,6_2
11916,66531,train,0_4
71496,20853,val,4_1
44685,66531,val,2_4
18867,21846,test,1_1
36741,47664,train,2_3
93342,40713,test,6_2
6951,63552,train,0_4
85398,30783,val,5_2
10923,58587,train,0_3
26811,54615,test,1_3
83412,24825,test,5_1
77454,9930,train,5_0
96321,26811,train,6_1
86391,26811,test,5_1
34755,63552,val,2_4
60573,21846,val,4_1
71496,16881,val,4_1
64545,55608,train,4_3
14895,72489,train,0_4
96321,39720,test,6_2
55608,42699,val,3_2
81426,69510,test,5_4
52629,46671,val,3_3
37734,42699,train,2_2
87384,8937,train,5_0
75468,64545,test,5_4
84405,38727,val,5_2
60573,8937,train,4_0
76461,59580,test,5_3
15888,71496,train,1_4
79440,5958,train,5_0
3972,67524,train,0_4
58587,41706,val,3_2
10923,63552,train,0_4
11916,60573,train,0_4
17874,19860,test,1_1
