row_off,col_off,split,block
3601,4224,train,2_2
3601,4351,train,2_2
3602,4096,train,2_2
3729,4095,train,2_2
3730,4224,val,2_2
3730,4352,train,2_2
3857,4223,train,2_2
3857,4351,train,2_2
3858,4095,val,2_2
5308,2546,train,3_1
5309,2675,train,3_1
5309,2802,train,3_1
5436,2675,val,3_1
5436,2802,train,3_1
5437,2547,train,3_1
5564,2546,train,3_1
5565,2674,train,3_1
5565,2802,train,3_1
5594,4038,train,3_2
5594,4166,train,3_2
5595,3781,train,3_2
5595,3909,train,3_2
5595,4294,train,3_2
5722,3781,train,3_2
5722,3910,train,3_2
5722,4166,val,3_2
5722,4293,val,3_2
5723,4037,train,3_2
5850,4037,val,3_2
5851,3781,train,3_2
5851,3909,train,3_2
5851,4166,train,3_2
5851,4294,train,3_2
5978,3781,train,3_2
5978,3910,train,3_2
5978,4165,val,3_2
5978,4293,train,3_2
5979,4038,train,3_2
6106,4038,train,4_2
6107,3781,val,4_2
6107,3909,train,4_2
6107,4165,val,4_2
6107,4293,train,4_2
7235,1492,train,neg
5703,1620,train,neg
8434,2383,train,neg
6346,3256,train,neg
6509,5703,train,neg
5275,874,train,neg
