row_off,col_off,split,block
22839,53622,val,1_3
6951,57594,train,0_3
47664,62559,test,3_4
104265,44685,val,6_2
71496,3972,val,4_0
73482,13902,val,4_0
101286,61566,test,6_4
100293,52629,test,6_3
80433,25818,train,5_1
3972,56601,train,0_3
65538,12909,val,4_0
105258,16881,train,7_1
13902,70503,train,0_4
10923,63552,train,0_4
78447,52629,train,5_3
15888,64545,train,1_4
87384,10923,train,5_0
53622,15888,test,3_1
16881,32769,val,1_2
89370,71496,test,5_4
22839,64545,train,1_4
3972,51636,train,0_3
74475,71496,test,4_4
96321,12909,train,6_0
91356,8937,train,6_0
98307,51636,test,6_3
51636,39720,train,3_2
5958,54615,train,0_3
60573,31776,val,4_2
82419,16881,train,5_1
9930,37734,val,0_2
26811,44685,val,1_2
43692,41706,val,2_2
54615,57594,val,3_3
39720,53622,train,2_3
62559,13902,val,4_0
2979,56601,train,0_3
72489,31776,val,4_2
37734,73482,train,2_4
82419,9930,train,5_0
37734,30783,val,2_2
21846,43692,val,1_2
18867,46671,val,1_3
49650,24825,test,3_1
80433,9930,train,5_0
48657,68517,test,3_4
50643,70503,test,3_4
40713,38727,val,2_2
94335,52629,test,6_3
32769,19860,test,2_1
93342,7944,train,6_0
24825,44685,val,1_2
83412,68517,test,5_4
73482,44685,val,4_2
29790,39720,val,1_2
67524,67524,test,4_4
0,69510,train,0_4
5958,70503,train,0_4
75468,23832,train,5_1
72489,12909,val,4_0
35748,34755,val,2_2
21846,57594,val,1_3
89370,21846,train,5_1
102279,55608,test,6_3
3972,66531,train,0_4
95328,39720,val,6_2
1986,51636,train,0_3
5958,62559,train,0_4
15888,49650,val,1_3
993,71496,train,0_4
101286,0,train,6_0
15888,56601,val,1_3
92349,41706,val,6_2
29790,41706,val,1_2
95328,22839,train,6_1
49650,63552,test,3_4
48657,72489,test,3_4
39720,68517,train,2_4
28797,41706,val,1_2
60573,62559,test,4_4
27804,48657,val,1_3
4965,71496,train,0_4
66531,71496,test,4_4
57594,68517,test,3_4
105258,55608,val,7_3
8937,54615,train,0_3
1986,65538,train,0_4
35748,32769,val,2_2
51636,66531,test,3_4
993,44685,val,0_2
10923,69510,train,0_4
27804,58587,val,1_3
83412,67524,test,5_4
73482,67524,test,4_4
81426,20853,train,5_1
17874,50643,val,1_3
47664,21846,test,3_1
82419,13902,train,5_0
83412,33762,train,5_2
73482,10923,val,4_0
3972,61566,train,0_4
97314,19860,train,6_1
99300,56601,test,6_3
6951,52629,train,0_3
96321,9930,train,6_0
993,55608,train,0_3
27804,44685,val,1_2
11916,63552,train,0_4
1986,60573,train,0_4
36741,68517,train,2_4
50643,12909,test,3_0
99300,22839,train,6_1
25818,51636,val,1_3
46671,46671,val,3_3
93342,47664,test,6_3
66531,62559,test,4_4
37734,15888,test,2_1
103272,18867,train,6_1
49650,73482,test,3_4
100293,21846,train,6_1
95328,57594,test,6_3
80433,42699,train,5_2
84405,68517,test,5_4
72489,69510,test,4_4
74475,7944,val,4_0
12909,67524,train,0_4
74475,40713,val,4_2
81426,12909,train,5_0
38727,69510,train,2_4
54615,16881,test,3_1
24825,54615,val,1_3
17874,51636,val,1_3
15888,71496,train,1_4
68517,60573,test,4_4
82419,32769,train,5_2
70503,23832,train,4_1
92349,71496,test,6_4
29790,57594,val,1_3
39720,24825,test,2_1
95328,66531,test,6_4
84405,26811,train,5_1
61566,39720,val,4_2
88377,14895,train,5_0
85398,46671,train,5_3
80433,15888,train,5_1
61566,33762,val,4_2
39720,72489,train,2_4
52629,36741,train,3_2
59580,48657,val,3_3
68517,50643,train,4_3
5958,56601,train,0_3
74475,34755,val,4_2
90363,68517,test,6_4
68517,14895,val,4_0
95328,8937,train,6_0
82419,25818,train,5_1
86391,62559,test,5_4
101286,50643,test,6_3
19860,57594,val,1_3
29790,49650,val,1_3
52629,46671,val,3_3
73482,41706,val,4_2
98307,25818,train,6_1
99300,67524,test,6_4
35748,52629,train,2_3
82419,73482,test,5_4
96321,5958,train,6_0
0,67524,train,0_4
93342,59580,test,6_3
87384,24825,train,5_1
98307,23832,train,6_1
22839,50643,val,1_3
103272,47664,test,6_3
72489,14895,val,4_0
16881,45678,val,1_3
9930,56601,train,0_3
58587,60573,test,3_4
29790,44685,val,1_2
99300,68517,test,6_4
31776,34755,val,2_2
74475,8937,val,4_0
95328,42699,val,6_2
8937,53622,train,0_3
86391,9930,train,5_0
49650,71496,test,3_4
36741,55608,train,2_3
45678,61566,test,3_4
91356,70503,test,6_4
87384,62559,test,5_4
33762,6951,train,2_0
10923,73482,train,0_4
33762,42699,val,2_2
104265,48657,test,6_3
98307,62559,test,6_4
71496,14895,val,4_0
95328,14895,train,6_0
29790,37734,val,1_2
8937,67524,train,0_4
8937,59580,train,0_3
2979,55608,train,0_3
17874,55608,val,1_3
12909,66531,train,0_4
6951,59580,train,0_3
993,62559,train,0_4
60573,33762,val,4_2
102279,52629,test,6_3
57594,26811,test,3_1
7944,57594,train,0_3
101286,10923,train,6_0
19860,58587,val,1_3
84405,69510,test,5_4
2979,62559,train,0_4
81426,70503,test,5_4
30783,43692,val,2_2
15888,42699,val,1_2
77454,73482,test,5_4
82419,11916,train,5_0
3972,53622,train,0_3
74475,30783,val,4_2
83412,25818,train,5_1
64545,65538,test,4_4
87384,8937,train,5_0
7944,55608,train,0_3
80433,24825,train,5_1
4965,64545,train,0_4
11916,66531,train,0_4
66531,7944,val,4_0
19860,48657,val,1_3
2979,60573,train,0_4
0,58587,train,0_3
87384,13902,train,5_0
5958,63552,train,0_4
55608,45678,val,3_3
13902,63552,train,0_4
83412,12909,train,5_0
88377,7944,train,5_0
92349,23832,train,6_1
103272,67524,test,6_4
