row_off,col_off,split,block
3584,1024,train,1_0
5888,2560,val,2_1
768,8448,train,0_3
3072,3584,val,1_1
10240,8448,train,4_3
8704,4096,val,3_1
3584,4096,val,1_1
5888,4864,val,2_1
0,512,test,0_0
0,6912,train,0_2
2560,7936,train,1_3
11520,5888,test,4_2
1792,2304,test,0_0
13568,3072,val,5_1
8192,6144,train,3_2
9984,8704,train,3_3
512,7936,train,0_3
5120,7936,test,2_3
3840,6656,train,1_2
11008,256,test,4_0
7424,4608,val,2_1
8960,5888,train,3_2
6656,7680,test,2_3
5888,7680,test,2_3
10752,6400,test,4_2
14592,6400,train,5_2
2304,6912,train,0_2
512,3584,val,0_1
9728,4352,val,3_1
14592,4608,val,5_1
3328,6656,train,1_2
11776,8448,train,4_3
4096,7680,train,1_3
5376,8192,test,2_3
2048,7680,train,0_3
12544,3840,val,5_1
14336,8192,train,5_3
14336,1536,train,5_0
512,6144,train,0_2
6656,8960,test,2_3
512,8704,train,0_3
6656,6400,train,2_2
13568,4864,val,5_1
9216,6400,train,3_2
13568,512,train,5_0
11264,2304,test,4_0
3840,5888,train,1_2
1024,2304,test,0_0
3584,768,train,1_0
3072,6144,train,1_2
14592,1280,train,5_0
13568,8192,train,5_3
10496,6656,test,4_2
12288,2048,test,4_0
12288,256,test,4_0
2304,512,test,0_0
4608,2560,val,1_1
256,8704,train,0_3
8704,2048,train,3_0
3584,6400,train,1_2
14080,7936,train,5_3
9984,2560,val,3_1
14336,3072,val,5_1
3072,6656,train,1_2
8960,512,train,3_0
1536,7680,train,0_3
256,1536,test,0_0
13312,1536,train,5_0
13312,0,train,5_0
256,7936,train,0_3
512,0,test,0_0
4096,7936,train,1_3
7424,1280,test,2_0
8704,7936,train,3_3
14592,7936,train,5_3
5888,2816,val,2_1
1280,4352,val,0_1
10496,5888,test,4_2
5120,8192,test,2_3
10496,1792,test,4_0
13568,8960,train,5_3
14592,4096,val,5_1
14592,6656,train,5_2
8192,4864,val,3_1
7424,2048,test,2_0
7424,512,test,2_0
0,8960,train,0_3
11008,3328,train,4_1
12800,2816,val,5_1
4608,4096,val,1_1
1792,3584,val,0_1
11008,8704,train,4_3
5120,2048,test,2_0
2304,7936,train,0_3
12288,1792,test,4_0
13312,8448,train,5_3
12288,7168,test,4_2
7424,3072,val,2_1
8448,512,train,3_0
3328,7936,train,1_3
14080,6656,train,5_2
9216,4608,val,3_1
11520,2048,test,4_0
9216,8960,train,3_3
3840,7680,train,1_3
512,8448,train,0_3
8448,256,train,3_0
4352,2816,val,1_1
0,1536,test,0_0
0,8448,train,0_3
5632,7680,test,2_3
4096,4096,val,1_1
8704,7424,train,3_2
1536,3328,val,0_1
2304,2048,test,0_0
2560,6656,train,1_2
10752,5632,test,4_2
1280,2304,test,0_0
768,256,test,0_0
3840,2560,val,1_1
4352,3584,val,1_1
7680,4096,val,3_1
11008,1536,test,4_0
8704,6400,train,3_2
3584,4608,val,1_1
2560,8192,train,1_3
6912,1792,test,2_0
10496,1024,test,4_0
11264,512,test,4_0
4864,4864,val,1_1
6144,8192,test,2_3
9216,4096,val,3_1
14848,7168,train,5_2
2304,1536,test,0_0
8960,1024,train,3_0
10752,8448,train,4_3
9984,3328,val,3_1
1792,7680,train,0_3
11264,1536,test,4_0
1536,6400,train,0_2
10240,1536,test,4_0
14848,7936,train,5_3
11008,6400,test,4_2
14592,2816,val,5_1
5888,8960,test,2_3
4096,3072,val,1_1
1280,7680,train,0_3
7168,8192,test,2_3
13312,3072,val,5_1
0,8192,train,0_3
13312,6656,train,5_2
1792,1280,test,0_0
9984,4352,val,3_1
2560,7168,train,1_2
5888,8704,test,2_3
0,0,test,0_0
8960,4608,val,3_1
3840,4864,val,1_1
3328,7680,train,1_3
1536,1024,test,0_0
2816,6144,train,1_2
12800,3584,val,5_1
7680,6144,train,3_2
6656,2560,val,2_1
8192,8704,train,3_3
5376,1792,test,2_0
5120,4352,val,2_1
