row_off,col_off,split,block
99300,60573,val,6_4
12909,64545,train,0_4
91356,32769,test,6_2
56601,63552,val,3_4
33762,70503,val,2_4
11916,19860,val,0_1
29790,17874,test,1_1
88377,30783,val,5_2
42699,5958,val,2_0
4965,59580,train,0_3
7944,59580,train,0_3
75468,22839,test,5_1
2979,57594,train,0_3
100293,19860,train,6_1
46671,38727,val,3_2
48657,43692,val,3_2
96321,26811,train,6_1
39720,3972,val,2_0
4965,68517,train,0_4
33762,27804,val,2_1
68517,71496,train,4_4
88377,35748,val,5_2
70503,8937,train,4_0
31776,37734,train,2_2
81426,28797,test,5_1
90363,37734,test,6_2
44685,66531,val,2_4
14895,66531,train,0_4
87384,48657,test,5_3
67524,23832,val,4_1
77454,9930,train,5_0
80433,15888,test,5_1
84405,34755,val,5_2
46671,65538,val,3_4
5958,59580,train,0_3
35748,36741,train,2_2
34755,73482,val,2_4
91356,33762,test,6_2
69510,38727,train,4_2
19860,48657,test,1_3
8937,53622,train,0_3
69510,37734,train,4_2
96321,35748,test,6_2
26811,22839,test,1_1
5958,56601,train,0_3
81426,70503,test,5_4
81426,22839,test,5_1
4965,57594,train,0_3
17874,27804,test,1_1
84405,38727,val,5_2
77454,54615,test,5_3
2979,40713,train,0_2
39720,19860,val,2_1
79440,54615,test,5_3
66531,1986,train,4_0
2979,47664,train,0_3
4965,49650,train,0_3
36741,47664,train,2_3
67524,72489,train,4_4
35748,69510,val,2_4
92349,40713,test,6_2
101286,33762,test,6_2
84405,15888,test,5_1
82419,17874,test,5_1
21846,64545,train,1_4
28797,19860,test,1_1
29790,45678,test,1_3
54615,24825,train,3_1
13902,67524,train,0_4
81426,33762,val,5_2
29790,39720,train,1_2
1986,51636,train,0_3
10923,62559,train,0_4
1986,57594,train,0_3
13902,66531,train,0_4
16881,39720,train,1_2
49650,44685,val,3_2
81426,69510,test,5_4
97314,13902,train,6_0
86391,26811,test,5_1
92349,11916,train,6_0
7944,60573,train,0_4
65538,22839,val,4_1
6951,56601,train,0_3
27804,47664,test,1_3
101286,24825,train,6_1
89370,32769,val,5_2
9930,62559,train,0_4
69510,47664,train,4_3
13902,27804,val,0_1
85398,39720,val,5_2
98307,49650,train,6_3
87384,25818,test,5_1
19860,46671,test,1_3
16881,23832,test,1_1
13902,70503,train,0_4
93342,9930,train,6_0
71496,20853,val,4_1
80433,60573,test,5_4
39720,64545,val,2_4
86391,62559,test,5_4
36741,4965,val,2_0
14895,71496,train,0_4
49650,46671,val,3_3
83412,50643,test,5_3
48657,64545,val,3_4
78447,18867,test,5_1
3972,56601,train,0_3
19860,52629,test,1_3
87384,31776,val,5_2
26811,39720,train,1_2
43692,69510,val,2_4
86391,69510,test,5_4
17874,70503,train,1_4
47664,64545,val,3_4
63552,52629,train,4_3
0,56601,train,0_3
91356,8937,train,6_0
82419,52629,test,5_3
84405,48657,test,5_3
73482,17874,val,4_1
58587,42699,val,3_2
8937,64545,train,0_4
83412,17874,test,5_1
97314,16881,train,6_1
57594,27804,train,3_1
84405,41706,val,5_2
30783,15888,val,2_1
53622,19860,train,3_1
75468,57594,test,5_3
18867,49650,test,1_3
9930,57594,train,0_3
60573,8937,train,4_0
85398,17874,test,5_1
35748,52629,train,2_3
87384,32769,val,5_2
39720,51636,train,2_3
0,69510,train,0_4
41706,1986,val,2_0
15888,65538,train,1_4
28797,45678,test,1_3
87384,9930,train,5_0
78447,63552,test,5_4
46671,46671,val,3_3
80433,22839,test,5_1
56601,42699,val,3_2
29790,29790,test,1_1
84405,17874,test,5_1
15888,64545,train,1_4
62559,4965,train,4_0
64545,59580,train,4_3
11916,66531,train,0_4
25818,53622,test,1_3
66531,50643,train,4_3
6951,42699,train,0_2
87384,26811,test,5_1
35748,1986,val,2_0
100293,37734,test,6_2
5958,52629,train,0_3
8937,54615,train,0_3
13902,65538,train,0_4
100293,66531,val,6_4
97314,20853,train,6_1
75468,72489,test,5_4
69510,16881,val,4_1
38727,27804,val,2_1
96321,69510,val,6_4
20853,71496,train,1_4
20853,19860,test,1_1
57594,65538,val,3_4
78447,35748,val,5_2
98307,61566,val,6_4
72489,27804,val,4_1
19860,26811,test,1_1
76461,19860,test,5_1
79440,61566,test,5_4
95328,66531,val,6_4
18867,21846,test,1_1
31776,60573,val,2_4
10923,61566,train,0_4
37734,43692,train,2_2
3972,54615,train,0_3
88377,28797,test,5_1
54615,2979,test,3_0
74475,17874,val,4_1
96321,25818,train,6_1
81426,16881,test,5_1
51636,43692,val,3_2
64545,55608,train,4_3
89370,23832,test,5_1
9930,56601,train,0_3
52629,46671,val,3_3
92349,9930,train,6_0
78447,58587,test,5_3
58587,63552,val,3_4
80433,16881,test,5_1
38727,41706,train,2_2
101286,34755,test,6_2
18867,26811,test,1_1
83412,29790,test,5_1
37734,42699,train,2_2
94335,64545,val,6_4
10923,60573,train,0_4
14895,36741,train,0_2
11916,68517,train,0_4
46671,72489,val,3_4
66531,58587,train,4_3
37734,21846,val,2_1
19860,68517,train,1_4
81426,9930,train,5_0
22839,54615,test,1_3
85398,30783,val,5_2
6951,71496,train,0_4
37734,27804,val,2_1
45678,43692,val,3_2
81426,39720,val,5_2
34755,63552,val,2_4
86391,72489,test,5_4
52629,37734,val,3_2
74475,18867,val,4_1
105258,52629,test,7_3
4965,53622,train,0_3
38727,0,val,2_0
66531,56601,train,4_3
75468,23832,test,5_1
45678,10923,test,3_0
1986,59580,train,0_3
70503,23832,val,4_1
98307,71496,val,6_4
76461,6951,train,5_0
93342,40713,test,6_2
56601,53622,val,3_3
