row_off,col_off,split,block
19303,8317,val,3_1
17383,9342,val,3_1
20494,15444,val,4_3
18151,9213,val,3_1
19983,14933,val,4_3
18959,12373,train,3_2
17766,8190,val,3_1
12804,14680,test,2_2
19430,8574,val,3_1
20623,12885,train,4_2
20879,12884,train,4_2
11651,15449,test,2_3
13699,13784,test,2_2
21007,12500,train,4_2
20239,15188,val,4_3
12035,14425,test,2_2
12932,14040,test,2_2
17127,8317,val,3_1
20111,15316,val,4_3
14212,15704,test,2_3
19558,9597,val,3_1
20494,14932,val,4_3
18918,9341,val,3_1
17638,8958,val,3_1
19559,8702,val,3_1
13956,15576,test,2_3
13059,14041,test,2_2
18535,8829,val,3_1
11908,15832,test,2_3
17126,8830,val,3_1
13828,14296,test,2_2
18407,9470,val,3_1
18319,12501,train,3_2
18663,8318,val,3_1
11908,15192,test,2_3
17639,8574,val,3_1
19854,12373,train,4_2
19599,12757,train,3_2
21134,15444,val,4_3
19559,8317,val,3_1
11651,13913,test,2_2
12931,14809,test,2_3
12804,14424,test,2_2
17639,8445,val,3_1
18447,12628,train,3_2
11652,15576,test,2_3
18919,8573,val,3_1
12163,15064,test,2_3
20110,12373,train,4_2
13188,15192,test,2_3
18919,8446,val,3_1
13699,14680,test,2_2
12420,15832,test,2_3
18063,12500,train,3_2
17255,8702,val,3_1
21263,15572,val,4_3
12419,13144,test,2_2
21262,12629,train,4_2
18535,8318,val,3_1
18663,8446,val,3_1
19558,9725,val,3_1
13699,15704,test,2_3
20110,15061,val,4_3
11908,14297,test,2_2
11908,14040,test,2_2
11651,14680,test,2_2
19175,8189,val,3_1
13443,14040,test,2_2
17767,9342,val,3_1
20238,12628,train,4_2
12804,14297,test,2_2
13956,14936,test,2_3
19303,9086,val,3_1
13571,15576,test,2_3
13316,15576,test,2_3
21390,15573,val,4_3
20879,12756,train,4_2
18662,9469,val,3_1
12675,13912,test,2_2
14083,15192,test,2_3
18663,8958,val,3_1
20367,12116,train,4_2
13444,13273,test,2_2
19174,8958,val,3_1
18575,12245,train,3_2
17638,9086,val,3_1
21519,12628,train,4_2
19982,15189,val,4_3
14211,14808,test,2_3
18022,9214,val,3_1
11524,14168,test,2_2
17895,8830,val,3_1
11523,15193,test,2_3
21519,15189,val,4_3
13059,13657,test,2_2
19559,8061,val,3_1
19430,8957,val,3_1
12548,15705,test,2_3
11651,14553,test,2_2
18150,8574,val,3_1
20494,12116,train,4_2
19303,8574,val,3_1
18575,12885,train,3_2
12547,14937,test,2_3
20750,13012,train,4_2
17638,8317,val,3_1
20494,14804,val,4_3
13188,14424,test,2_2
21135,12245,train,4_2
19086,12244,train,3_2
12291,13401,test,2_2
21007,12885,train,4_2
21006,15189,val,4_3
19430,8189,val,3_1
13188,14040,test,2_2
14083,13784,test,2_2
13699,15193,test,2_3
12036,13272,test,2_2
17127,9470,val,3_1
13828,13784,test,2_2
12036,14937,test,2_3
12548,15192,test,2_3
12547,13528,test,2_2
19727,15444,val,4_3
21390,12244,train,4_2
12035,15705,test,2_3
11523,15064,test,2_3
20623,12372,train,4_2
12164,15832,test,2_3
12931,13273,test,2_2
19214,13013,train,3_2
14083,13145,test,2_2
12292,13144,test,2_2
21519,12244,train,4_2
12804,14169,test,2_2
18919,8702,val,3_1
18702,12756,train,3_2
20111,12245,train,4_2
18279,8830,val,3_1
13188,13656,test,2_2
19175,8062,val,3_1
17895,8574,val,3_1
12419,14425,test,2_2
13828,15321,test,2_3
18191,12756,train,3_2
12291,13656,test,2_2
20878,12116,train,4_2
12548,14169,test,2_2
19086,12757,train,3_2
12803,14936,test,2_3
13443,13912,test,2_2
21518,15444,val,4_3
13187,15448,test,2_3
18535,8958,val,3_1
13955,13400,test,2_2
18534,9725,val,3_1
11651,14169,test,2_2
12675,15320,test,2_3
12931,14680,test,2_2
11779,14297,test,2_2
20878,14805,val,4_3
18022,8317,val,3_1
11780,15449,test,2_3
18919,9725,val,3_1
12804,14808,test,2_3
13828,13528,test,2_2
13187,13400,test,2_2
19343,12884,train,3_2
17511,8317,val,3_1
12292,15705,test,2_3
18447,12116,train,3_2
19215,12756,train,3_2
18022,8445,val,3_1
21007,14804,val,4_3
12932,13912,test,2_2
18959,13013,train,3_2
19727,12500,train,4_2
19727,14804,val,4_3
13444,14809,test,2_3
18190,12116,train,3_2
13316,13272,test,2_2
19983,14805,val,4_3
17382,9726,val,3_1
19855,12756,train,4_2
19303,8958,val,3_1
18406,9726,val,3_1
13828,14168,test,2_2
19303,9598,val,3_1
