row_off,col_off,split,block
2331,10323,train,0_2
6327,20979,val,1_4
13653,22977,test,2_4
21978,17316,train,4_3
4662,18981,train,0_3
34299,7992,test,6_1
4662,17649,train,0_3
26307,23310,train,5_4
1998,23310,train,0_4
31635,11322,train,6_2
15984,8991,val,3_1
12987,10656,train,2_2
5328,22644,val,1_4
16317,13986,val,3_2
26973,22644,train,5_4
10656,15984,val,2_3
28971,11655,test,5_2
13653,22311,test,2_4
31968,24309,test,6_4
25974,3996,test,5_0
1665,18315,train,0_3
2997,21312,train,0_4
30636,16650,val,6_3
14319,18648,val,2_3
17982,12987,val,3_2
29637,17316,val,6_3
4995,22644,val,1_4
14652,24309,test,2_4
21978,9990,train,4_2
26640,3996,test,5_0
22644,2997,val,4_0
2664,23643,train,0_4
32967,17649,val,6_3
3663,17982,train,0_3
2664,19647,train,0_3
10989,15984,val,2_3
2664,17649,train,0_3
2331,20313,train,0_4
9657,12987,test,1_2
25641,3663,test,5_0
2331,21645,train,0_4
30636,22977,test,6_4
9657,11988,test,1_2
29970,20313,test,6_4
19647,24309,train,3_4
14652,16983,val,2_3
11322,16983,val,2_3
16317,17982,val,3_3
25641,4329,test,5_0
9657,21978,val,1_4
17649,22977,train,3_4
15984,12321,val,3_2
23643,23976,train,4_4
6327,333,test,1_0
7992,1332,test,1_0
23310,999,val,4_0
32301,24309,test,6_4
10656,19647,val,2_3
30969,17316,val,6_3
4995,13986,test,1_2
4329,8991,train,0_1
19647,15984,val,3_3
9990,14985,val,2_3
11988,24309,test,2_4
31302,24309,test,6_4
14652,22977,test,2_4
6993,22644,val,1_4
16317,17316,val,3_3
22644,2331,val,4_0
19314,22977,train,3_4
4995,22977,val,1_4
27972,18981,test,5_3
26307,23976,train,5_4
1332,20646,train,0_4
34299,0,train,6_0
26307,21312,train,5_4
333,20313,train,0_4
18981,9657,val,3_1
666,19980,train,0_4
32967,24309,test,6_4
23643,24309,train,4_4
19647,22977,train,3_4
29304,2997,test,5_0
6660,16983,train,1_3
11988,23976,test,2_4
7326,21645,val,1_4
27639,23643,train,5_4
4995,21645,val,1_4
18315,22311,train,3_4
666,23643,train,0_4
27639,3996,test,5_0
2331,20646,train,0_4
7659,16650,train,1_3
29970,18981,val,6_3
13653,22644,test,2_4
26307,7659,train,5_1
8658,13653,test,1_2
25641,10323,test,5_2
33633,333,train,6_0
33300,8991,test,6_1
1998,17649,train,0_3
19647,14985,val,3_3
28638,11322,test,5_2
1665,18648,train,0_3
28638,14985,test,5_3
12321,19314,val,2_3
6660,17649,train,1_3
13320,22977,test,2_4
5994,14652,test,1_2
32634,24309,test,6_4
29970,5661,test,6_1
18981,24309,train,3_4
12321,18315,val,2_3
2997,23976,train,0_4
999,20646,train,0_4
1998,20646,train,0_4
13320,22644,test,2_4
26973,15318,test,5_3
32967,14985,val,6_3
10989,23643,test,2_4
26640,10989,test,5_2
19647,20313,train,3_4
16650,21312,train,3_4
33300,18315,val,6_3
1332,19980,train,0_4
24975,12321,test,5_2
26307,3663,test,5_0
33633,7659,test,6_1
1998,18981,train,0_3
31968,21978,test,6_4
1332,19647,train,0_3
30969,14985,val,6_3
7326,17982,train,1_3
24642,23976,train,5_4
31302,10989,train,6_2
2664,21312,train,0_4
13320,19314,val,2_3
9324,13320,test,1_2
11655,6993,train,2_1
5994,17316,train,1_3
29637,17649,val,6_3
18315,14319,val,3_2
1998,21312,train,0_4
32967,22644,test,6_4
33300,19647,val,6_3
1332,17649,train,0_3
4995,22311,val,1_4
27972,9990,test,5_2
8325,20313,val,1_4
10989,15318,val,2_3
15318,10323,val,3_2
16650,11988,val,3_2
1998,17982,train,0_3
18981,10323,val,3_2
26307,2997,test,5_0
2331,19980,train,0_4
26973,21312,train,5_4
30303,17316,val,6_3
20313,3330,val,4_0
19314,16650,val,3_3
11322,21978,test,2_4
25308,9990,test,5_2
15984,11988,val,3_2
30303,21645,test,6_4
19647,10656,val,3_2
9990,16317,val,2_3
1998,20313,train,0_4
19980,20313,train,4_4
