row_off,col_off,split,block
81426,7944,train,5_0
78447,45678,test,5_3
0,60573,train,0_4
5958,56601,train,0_3
70503,23832,val,4_1
50643,67524,test,3_4
41706,13902,val,2_0
93342,71496,val,6_4
2979,69510,train,0_4
94335,15888,test,6_1
77454,49650,test,5_3
4965,64545,train,0_4
35748,47664,train,2_3
20853,70503,train,1_4
27804,47664,test,1_3
13902,65538,train,0_4
67524,69510,train,4_4
7944,66531,train,0_4
28797,33762,val,1_2
14895,65538,train,0_4
91356,4965,train,6_0
67524,67524,train,4_4
0,66531,train,0_4
0,56601,train,0_3
84405,35748,test,5_2
21846,43692,val,1_2
29790,42699,val,1_2
90363,68517,val,6_4
53622,47664,val,3_3
25818,46671,test,1_3
80433,71496,train,5_4
1986,73482,train,0_4
77454,28797,test,5_1
79440,45678,test,5_3
12909,16881,val,0_1
53622,23832,train,3_1
29790,37734,val,1_2
23832,51636,test,1_3
6951,63552,train,0_4
85398,42699,test,5_2
74475,8937,train,4_0
84405,51636,test,5_3
67524,59580,train,4_3
68517,19860,val,4_1
99300,29790,test,6_1
88377,32769,test,5_2
84405,58587,test,5_3
56601,53622,val,3_3
52629,2979,test,3_0
71496,3972,train,4_0
49650,42699,val,3_2
37734,44685,train,2_2
97314,6951,train,6_0
84405,4965,train,5_0
36741,7944,val,2_0
42699,73482,val,2_4
48657,38727,val,3_2
104265,45678,val,6_3
78447,18867,test,5_1
68517,54615,train,4_3
72489,15888,val,4_1
59580,54615,val,3_3
72489,16881,val,4_1
82419,24825,test,5_1
74475,73482,train,4_4
57594,4965,test,3_0
11916,62559,train,0_4
69510,55608,train,4_3
95328,48657,val,6_3
92349,26811,test,6_1
8937,63552,train,0_4
98307,56601,val,6_3
21846,64545,train,1_4
55608,53622,val,3_3
9930,53622,train,0_3
19860,68517,train,1_4
29790,38727,val,1_2
68517,46671,train,4_3
69510,47664,train,4_3
38727,27804,val,2_1
11916,66531,train,0_4
25818,35748,val,1_2
23832,57594,test,1_3
76461,27804,test,5_1
2979,59580,train,0_3
19860,52629,test,1_3
29790,57594,test,1_3
21846,25818,test,1_1
78447,40713,test,5_2
87384,9930,train,5_0
90363,8937,train,6_0
94335,46671,val,6_3
46671,34755,val,3_2
10923,63552,train,0_4
104265,36741,train,6_2
4965,60573,train,0_4
36741,33762,train,2_2
75468,22839,test,5_1
8937,64545,train,0_4
6951,56601,train,0_3
29790,40713,val,1_2
59580,67524,test,3_4
99300,48657,val,6_3
55608,34755,val,3_2
28797,59580,test,1_3
29790,45678,test,1_3
54615,35748,val,3_2
26811,39720,val,1_2
30783,64545,val,2_4
85398,47664,test,5_3
65538,73482,train,4_4
44685,71496,val,2_4
93342,28797,test,6_1
48657,20853,train,3_1
27804,52629,test,1_3
59580,72489,test,3_4
86391,22839,test,5_1
20853,71496,train,1_4
86391,40713,test,5_2
72489,65538,train,4_4
8937,71496,train,0_4
77454,54615,test,5_3
100293,51636,val,6_3
10923,61566,train,0_4
38727,43692,train,2_2
72489,8937,train,4_0
104265,22839,test,6_1
78447,55608,test,5_3
101286,22839,test,6_1
88377,33762,test,5_2
4965,49650,train,0_3
20853,48657,test,1_3
20853,55608,test,1_3
92349,46671,val,6_3
25818,52629,test,1_3
97314,50643,val,6_3
28797,40713,val,1_2
8937,62559,train,0_4
17874,57594,test,1_3
7944,59580,train,0_3
84405,48657,test,5_3
101286,61566,val,6_4
24825,37734,val,1_2
25818,44685,val,1_2
75468,23832,test,5_1
39720,61566,val,2_4
38727,67524,val,2_4
56601,48657,val,3_3
59580,60573,test,3_4
98307,24825,test,6_1
2979,57594,train,0_3
76461,21846,test,5_1
27804,39720,val,1_2
47664,46671,val,3_3
22839,18867,test,1_1
8937,70503,train,0_4
46671,41706,val,3_2
52629,19860,train,3_1
40713,13902,val,2_0
28797,45678,test,1_3
9930,60573,train,0_4
80433,68517,train,5_4
38727,61566,val,2_4
66531,20853,val,4_1
95328,15888,test,6_1
28797,38727,val,1_2
6951,52629,train,0_3
55608,71496,test,3_4
71496,63552,train,4_4
2979,55608,train,0_3
993,67524,train,0_4
69510,6951,train,4_0
84405,70503,train,5_4
70503,19860,val,4_1
45678,69510,test,3_4
4965,59580,train,0_3
49650,73482,test,3_4
2979,73482,train,0_4
46671,58587,val,3_3
105258,33762,train,7_2
99300,71496,val,6_4
10923,58587,train,0_3
57594,42699,val,3_2
37734,69510,val,2_4
39720,65538,val,2_4
4965,57594,train,0_3
55608,993,test,3_0
71496,16881,val,4_1
98307,0,train,6_0
83412,40713,test,5_2
14895,73482,train,0_4
78447,22839,test,5_1
6951,62559,train,0_4
87384,26811,test,5_1
17874,50643,test,1_3
26811,44685,val,1_2
78447,17874,test,5_1
10923,62559,train,0_4
8937,54615,train,0_3
92349,63552,val,6_4
14895,72489,train,0_4
58587,69510,test,3_4
37734,46671,train,2_3
71496,20853,val,4_1
59580,33762,val,3_2
77454,64545,train,5_4
104265,68517,val,6_4
89370,36741,test,5_2
993,63552,train,0_4
4965,70503,train,0_4
55608,42699,val,3_2
56601,9930,test,3_0
27804,44685,val,1_2
68517,42699,train,4_2
5958,62559,train,0_4
102279,72489,val,6_4
56601,73482,test,3_4
91356,46671,val,6_3
100293,47664,val,6_3
8937,60573,train,0_4
26811,34755,val,1_2
74475,27804,val,4_1
90363,52629,val,6_3
66531,15888,val,4_1
86391,993,train,5_0
87384,25818,test,5_1
80433,18867,test,5_1
36741,34755,train,2_2
21846,26811,test,1_1
9930,57594,train,0_3
76461,16881,test,5_1
71496,7944,train,4_0
86391,24825,test,5_1
73482,26811,val,4_1
88377,9930,train,5_0
49650,24825,train,3_1
98307,9930,train,6_0
77454,42699,test,5_2
94335,58587,val,6_3
1986,59580,train,0_3
91356,24825,test,6_1
66531,2979,train,4_0
90363,54615,val,6_3
70503,22839,val,4_1
97314,26811,test,6_1
