row_off,col_off,split,block
8939,5325,train,3_2
8949,6571,train,3_2
8959,7816,train,3_3
8964,8439,train,3_3
8969,9061,train,3_3
8975,9684,train,3_3
8991,11552,val,3_4
8996,12175,val,3_4
9028,15911,train,3_6
9034,16533,train,3_6
9040,17156,train,3_6
9563,5320,train,3_2
9573,6565,train,3_2
9578,7188,train,3_2
9610,10924,val,3_4
9615,11547,val,3_4
9620,12169,val,3_4
9642,14660,val,3_5
9659,16528,train,3_6
10173,3447,val,4_1
10178,4070,val,4_1
10193,5938,train,4_2
10198,6560,train,4_2
10203,7183,train,4_2
10213,8428,val,4_3
10224,9673,val,4_3
10256,13409,train,4_5
10278,15900,train,4_6
10283,16522,train,4_6
10289,17145,train,4_6
10797,3442,val,4_1
10807,4687,val,4_1
10822,6555,train,4_2
10828,7178,train,4_2
10848,9668,val,4_3
10859,10913,train,4_4
10864,11536,train,4_4
10869,12159,train,4_4
10875,12781,train,4_5
10902,15894,train,4_6
10913,17139,train,4_6
11422,3437,val,4_1
11442,5928,train,4_2
11462,8418,val,4_3
11468,9040,val,4_3
11489,11531,train,4_4
11499,12776,train,4_5
11505,13398,train,4_5
11527,15889,train,4_6
11532,16511,train,4_6
12046,3432,val,4_1
12051,4055,val,4_1
12071,6545,train,4_2
12082,7790,val,4_3
12087,8413,val,4_3
12097,9658,val,4_3
12113,11525,train,4_4
12145,15261,train,4_6
12151,15883,train,4_6
12156,16506,train,4_6
12162,17128,train,4_6
12646,315,test,5_0
12656,1560,test,5_0
12661,2182,test,5_0
12666,2805,val,5_1
12671,3427,val,5_1
12681,4672,val,5_1
12696,6540,train,5_2
12722,9653,val,5_3
12737,11520,train,5_4
12743,12143,train,5_4
12759,14010,val,5_5
12775,15878,train,5_6
12781,16500,train,5_6
13270,310,test,5_0
13275,932,test,5_0
13280,1555,test,5_0
13300,4045,val,5_1
13305,4667,val,5_1
13315,5912,train,5_2
13320,6535,train,5_2
13330,7780,val,5_3
13341,9025,val,5_3
13357,10892,train,5_4
13389,14627,val,5_5
13405,16495,train,5_6
13411,17117,train,5_6
13895,305,test,5_0
13900,928,test,5_0
13905,1550,test,5_0
13909,2172,test,5_0
13919,3417,val,5_1
13929,4662,val,5_1
13955,7775,val,5_3
13970,9642,val,5_3
13981,10887,train,5_4
13997,12754,val,5_5
14002,13377,val,5_5
14008,13999,val,5_5
14013,14622,val,5_5
14030,16489,train,5_6
14519,300,test,5_0
14524,923,test,5_0
14529,1545,test,5_0
14539,2790,val,5_1
14544,3412,val,5_1
14549,4035,val,5_1
14554,4657,val,5_1
14564,5902,train,5_2
14579,7770,val,5_3
14584,8392,val,5_3
14590,9014,val,5_3
14595,9637,val,5_3
