row_off,col_off,split,block
136965,101235,train,4_3
35730,97265,val,1_3
184605,15880,test,6_0
37715,105205,val,1_3
168725,47640,test,5_1
0,63520,train,0_2
129025,39700,train,4_1
3970,91310,train,0_3
131010,73445,train,4_2
79400,109175,test,2_3
168725,71460,val,5_2
204455,39700,train,6_1
85355,105205,test,2_3
25805,131010,test,0_4
182620,134980,train,6_4
156815,1985,train,5_0
43670,115130,val,1_3
85355,109175,test,2_3
134980,61535,train,4_2
57565,93295,val,1_3
105205,73445,val,3_2
101235,107190,train,3_3
180635,93295,test,6_3
172695,0,train,5_0
3970,109175,train,0_3
69475,27790,train,2_0
75430,5955,train,2_0
53595,59550,test,1_1
140935,23820,train,4_0
45655,111160,val,1_3
162770,49625,test,5_1
136965,45655,train,4_1
164755,67490,val,5_2
53595,91310,val,1_3
27790,125055,test,0_4
178650,134980,train,5_4
49625,5955,train,1_0
13895,123070,test,0_4
71460,83370,val,2_2
198500,49625,train,6_1
29775,125055,test,0_4
178650,81385,val,5_2
93295,69475,val,3_2
192545,51610,train,6_1
142920,121085,val,4_4
81385,101235,test,2_3
55580,103220,val,1_3
158800,33745,test,5_1
7940,144905,test,0_4
57565,97265,val,1_3
150860,51610,test,5_1
174680,53595,test,5_1
105205,13895,val,3_0
166740,73445,val,5_2
160785,19850,train,5_0
95280,23820,val,3_0
158800,67490,val,5_2
51610,47640,test,1_1
29775,81385,train,0_2
186590,138950,train,6_4
188575,23820,test,6_0
85355,77415,val,2_2
198500,107190,test,6_3
65505,85355,val,2_2
29775,17865,train,0_0
190560,23820,test,6_0
47640,115130,val,1_3
7940,125055,test,0_4
136965,31760,train,4_1
17865,29775,train,0_0
43670,5955,train,1_0
174680,59550,test,5_1
37715,69475,train,1_2
136965,29775,train,4_0
132995,33745,train,4_1
7940,103220,train,0_3
196515,0,test,6_0
132995,21835,train,4_0
81385,29775,train,2_0
19850,49625,train,0_1
5955,103220,train,0_3
190560,109175,test,6_3
27790,136965,test,0_4
194530,95280,test,6_3
69475,89325,val,2_2
166740,113145,train,5_3
127040,132995,val,4_4
7940,127040,test,0_4
123070,129025,val,4_4
115130,57565,val,3_1
136965,125055,val,4_4
27790,134980,test,0_4
3970,31760,train,0_1
21835,140935,test,0_4
184605,140935,train,6_4
19850,142920,test,0_4
125055,121085,val,4_4
168725,59550,test,5_1
67490,101235,test,2_3
194530,134980,train,6_4
91310,67490,val,3_2
113145,69475,val,3_2
61535,105205,test,2_3
146890,103220,train,4_3
196515,57565,train,6_1
85355,136965,train,2_4
144905,19850,train,4_0
11910,61535,train,0_2
83370,21835,train,2_0
131010,27790,train,4_0
99250,7940,val,3_0
202470,115130,test,6_3
204455,103220,test,6_3
37715,37715,test,1_1
71460,136965,train,2_4
39700,107190,val,1_3
69475,85355,val,2_2
15880,127040,test,0_4
158800,131010,train,5_4
47640,136965,train,1_4
35730,75430,train,1_2
136965,105205,train,4_3
158800,75430,val,5_2
81385,146890,train,2_4
131010,93295,train,4_3
119100,65505,val,3_2
79400,105205,test,2_3
77415,85355,val,2_2
77415,101235,test,2_3
200485,41685,train,6_1
131010,55580,train,4_1
174680,33745,test,5_1
27790,131010,test,0_4
61535,89325,val,2_2
176665,41685,test,5_1
107190,146890,train,3_4
9925,1985,train,0_0
210410,131010,train,7_4
9925,79400,train,0_2
172695,35730,test,5_1
129025,103220,train,4_3
152845,75430,val,5_2
5955,65505,train,0_2
160785,7940,train,5_0
158800,103220,train,5_3
200485,111160,test,6_3
47640,138950,train,1_4
113145,83370,val,3_2
158800,115130,train,5_3
9925,25805,train,0_0
21835,127040,test,0_4
103220,33745,val,3_1
146890,13895,train,4_0
89325,131010,train,2_4
129025,17865,train,4_0
95280,73445,val,3_2
29775,3970,train,0_0
138950,39700,train,4_1
117115,81385,val,3_2
132995,59550,train,4_1
148875,17865,train,4_0
57565,95280,val,1_3
81385,107190,test,2_3
69475,93295,test,2_3
117115,35730,val,3_1
115130,101235,train,3_3
154830,123070,train,5_4
134980,144905,val,4_4
13895,144905,test,0_4
59550,119100,val,1_3
49625,21835,train,1_0
45655,144905,train,1_4
144905,1985,train,4_0
17865,129025,test,0_4
37715,7940,train,1_0
99250,111160,train,3_3
15880,125055,test,0_4
65505,146890,train,2_4
168725,129025,train,5_4
59550,99250,val,1_3
186590,17865,test,6_0
45655,129025,train,1_4
93295,132995,train,3_4
39700,81385,train,1_2
29775,129025,test,0_4
99250,69475,val,3_2
158800,61535,val,5_2
53595,93295,val,1_3
17865,27790,train,0_0
23820,142920,test,0_4
9925,7940,train,0_0
61535,97265,test,2_3
99250,65505,val,3_2
152845,33745,test,5_1
168725,75430,val,5_2
178650,121085,train,5_4
198500,142920,train,6_4
7940,109175,train,0_3
83370,99250,test,2_3
101235,0,val,3_0
184605,144905,train,6_4
190560,13895,test,6_0
99250,43670,val,3_1
43670,51610,test,1_1
105205,71460,val,3_2
125055,101235,train,4_3
113145,107190,train,3_3
105205,121085,train,3_4
168725,33745,test,5_1
192545,71460,train,6_2
79400,85355,val,2_2
0,27790,train,0_0
57565,3970,train,1_0
33745,51610,test,1_1
109175,119100,train,3_3
158800,63520,val,5_2
109175,89325,val,3_2
174680,43670,test,5_1
162770,41685,test,5_1
103220,113145,train,3_3
192545,117115,test,6_3
140935,99250,train,4_3
23820,127040,test,0_4
43670,47640,test,1_1
25805,35730,train,0_1
71460,7940,train,2_0
190560,25805,test,6_0
210410,67490,test,7_2
109175,55580,val,3_1
31760,21835,train,1_0
63520,103220,test,2_3
85355,79400,val,2_2
105205,119100,train,3_3
156815,77415,val,5_2
164755,79400,val,5_2
202470,99250,test,6_3
134980,101235,train,4_3
55580,99250,val,1_3
172695,75430,val,5_2
11910,107190,train,0_3
71460,105205,test,2_3
33745,101235,val,1_3
25805,129025,test,0_4
93295,138950,train,3_4
101235,123070,train,3_4
117115,77415,val,3_2
79400,69475,val,2_2
73445,61535,val,2_2
156815,119100,train,5_3
160785,35730,test,5_1
198500,71460,train,6_2
134980,21835,train,4_0
59550,95280,val,1_3
172695,45655,test,5_1
51610,101235,val,1_3
69475,23820,train,2_0
154830,61535,val,5_2
152845,0,train,5_0
83370,140935,train,2_4
85355,49625,train,2_1
154830,63520,val,5_2
164755,33745,test,5_1
156815,19850,train,5_0
65505,138950,train,2_4
132995,89325,train,4_2
0,121085,test,0_4
148875,9925,train,4_0
91310,69475,val,3_2
5955,121085,test,0_4
138950,25805,train,4_0
152845,61535,val,5_2
136965,91310,train,4_3
140935,93295,train,4_3
204455,25805,test,6_0
63520,111160,test,2_3
204455,91310,test,6_3
103220,111160,train,3_3
