row_off,col_off,split,block
158800,142920,train,5_4
75430,79400,train,2_2
132995,11910,train,4_0
89325,138950,val,2_4
93295,95280,val,3_3
93295,71460,test,3_2
166740,97265,test,5_3
23820,111160,val,0_3
103220,71460,test,3_2
39700,138950,train,1_4
83370,45655,test,2_1
138950,9925,train,4_0
27790,115130,val,0_3
85355,144905,val,2_4
152845,33745,val,5_1
196515,73445,train,6_2
138950,97265,test,4_3
45655,123070,train,1_4
101235,87340,test,3_2
154830,37715,val,5_1
87340,146890,val,2_4
0,142920,train,0_4
71460,1985,test,2_0
170710,144905,train,5_4
166740,35730,val,5_1
152845,91310,test,5_3
182620,9925,train,6_0
194530,47640,train,6_1
148875,19850,train,4_0
25805,55580,val,0_1
129025,142920,train,4_4
160785,37715,val,5_1
25805,101235,val,0_3
136965,13895,train,4_0
117115,23820,val,3_0
23820,138950,train,0_4
43670,121085,train,1_4
43670,109175,train,1_3
178650,79400,train,5_2
21835,109175,val,0_3
71460,105205,val,2_3
164755,136965,train,5_4
196515,107190,test,6_3
129025,73445,train,4_2
184605,91310,test,6_3
85355,105205,val,2_3
168725,55580,val,5_1
127040,113145,test,4_3
123070,111160,test,4_3
107190,132995,test,3_4
150860,134980,train,5_4
73445,69475,train,2_2
170710,45655,val,5_1
57565,81385,val,1_2
47640,119100,train,1_3
172695,71460,train,5_2
19850,107190,val,0_3
198500,93295,test,6_3
174680,45655,val,5_1
29775,140935,train,0_4
168725,77415,train,5_2
196515,15880,train,6_0
47640,89325,val,1_2
31760,73445,val,1_2
194530,19850,train,6_0
140935,11910,train,4_0
184605,23820,train,6_0
33745,55580,val,1_1
125055,101235,test,4_3
109175,115130,val,3_3
160785,57565,val,5_1
172695,140935,train,5_4
202470,134980,train,6_4
170710,131010,train,5_4
25805,142920,train,0_4
25805,140935,train,0_4
164755,33745,val,5_1
15880,113145,val,0_3
152845,142920,train,5_4
178650,117115,test,5_3
144905,37715,test,4_1
174680,99250,test,5_3
67490,95280,val,2_3
162770,93295,test,5_3
132995,47640,test,4_1
105205,43670,train,3_1
73445,121085,val,2_4
160785,138950,train,5_4
125055,103220,test,4_3
184605,105205,test,6_3
55580,31760,val,1_1
49625,109175,train,1_3
160785,71460,train,5_2
77415,121085,val,2_4
59550,77415,val,1_2
79400,91310,val,2_3
176665,71460,train,5_2
180635,136965,train,6_4
152845,53595,val,5_1
131010,37715,test,4_1
206440,103220,test,6_3
73445,132995,val,2_4
174680,136965,train,5_4
160785,49625,val,5_1
125055,111160,test,4_3
206440,125055,train,6_4
59550,81385,val,1_2
162770,140935,train,5_4
166740,49625,val,5_1
3970,119100,val,0_3
164755,37715,val,5_1
168725,33745,val,5_1
204455,81385,train,6_2
57565,87340,val,1_2
21835,119100,val,0_3
148875,115130,test,4_3
45655,131010,train,1_4
27790,111160,val,0_3
196515,63520,train,6_2
123070,109175,test,4_3
200485,95280,test,6_3
109175,41685,train,3_1
164755,119100,test,5_3
95280,121085,test,3_4
170710,101235,test,5_3
192545,119100,test,6_3
61535,115130,val,2_3
198500,61535,train,6_2
154830,0,train,5_0
204455,1985,train,6_0
198500,9925,train,6_0
97265,47640,train,3_1
129025,109175,test,4_3
15880,146890,train,0_4
170710,49625,val,5_1
176665,15880,train,5_0
27790,140935,train,0_4
111160,111160,val,3_3
174680,93295,test,5_3
13895,109175,val,0_3
148875,136965,train,4_4
168725,71460,train,5_2
101235,132995,test,3_4
174680,115130,test,5_3
45655,109175,train,1_3
55580,77415,val,1_2
144905,131010,train,4_4
148875,99250,test,4_3
192545,35730,train,6_1
29775,51610,val,0_1
59550,35730,val,1_1
55580,83370,val,1_2
7940,107190,val,0_3
43670,115130,train,1_3
103220,131010,test,3_4
202470,45655,train,6_1
117115,65505,test,3_2
63520,63520,train,2_2
43670,37715,val,1_1
73445,75430,train,2_2
152845,47640,val,5_1
188575,31760,train,6_1
134980,9925,train,4_0
142920,142920,train,4_4
0,113145,val,0_3
144905,55580,test,4_1
146890,93295,test,4_3
148875,5955,train,4_0
190560,29775,train,6_0
138950,33745,test,4_1
196515,93295,test,6_3
119100,27790,val,3_0
158800,51610,val,5_1
156815,105205,test,5_3
144905,31760,test,4_1
93295,103220,val,3_3
146890,53595,test,4_1
29775,134980,train,0_4
154830,51610,val,5_1
93295,136965,test,3_4
47640,109175,train,1_3
17865,140935,train,0_4
43670,125055,train,1_4
154830,31760,val,5_1
132995,117115,test,4_3
206440,107190,test,6_3
190560,115130,test,6_3
129025,35730,test,4_1
29775,113145,val,0_3
188575,140935,train,6_4
97265,142920,test,3_4
140935,132995,train,4_4
196515,105205,test,6_3
142920,11910,train,4_0
158800,49625,val,5_1
190560,69475,train,6_2
180635,19850,train,6_0
117115,67490,test,3_2
134980,119100,test,4_3
111160,23820,val,3_0
176665,19850,train,5_0
13895,113145,val,0_3
196515,81385,train,6_2
11910,103220,val,0_3
19850,119100,val,0_3
93295,125055,test,3_4
71460,95280,val,2_3
107190,146890,test,3_4
1985,142920,train,0_4
158800,101235,test,5_3
134980,45655,test,4_1
93295,115130,val,3_3
101235,131010,test,3_4
125055,51610,test,4_1
166740,81385,train,5_2
138950,117115,test,4_3
119100,107190,val,3_3
200485,105205,test,6_3
131010,53595,test,4_1
61535,119100,val,2_3
200485,31760,train,6_1
7940,113145,val,0_3
29775,138950,train,0_4
166740,45655,val,5_1
160785,47640,val,5_1
142920,117115,test,4_3
188575,67490,train,6_2
101235,41685,train,3_1
29775,131010,train,0_4
160785,33745,val,5_1
180635,140935,train,6_4
107190,144905,test,3_4
105205,136965,test,3_4
154830,109175,test,5_3
27790,51610,val,0_1
148875,11910,train,4_0
25805,69475,val,0_2
21835,111160,val,0_3
105205,97265,val,3_3
168725,119100,test,5_3
182620,7940,train,6_0
188575,115130,test,6_3
69475,101235,val,2_3
178650,47640,val,5_1
41685,35730,val,1_1
47640,85355,val,1_2
113145,129025,test,3_4
61535,144905,val,2_4
9925,107190,val,0_3
111160,83370,test,3_2
142920,31760,test,4_1
129025,146890,train,4_4
174680,49625,val,5_1
87340,144905,val,2_4
166740,115130,test,5_3
154830,144905,train,5_4
202470,109175,test,6_3
129025,85355,train,4_2
174680,117115,test,5_3
71460,71460,train,2_2
59550,33745,val,1_1
109175,73445,test,3_2
132995,31760,test,4_1
1985,119100,val,0_3
198500,107190,test,6_3
184605,15880,train,6_0
77415,127040,val,2_4
25805,47640,val,0_1
134980,75430,train,4_2
101235,47640,train,3_1
81385,121085,val,2_4
188575,134980,train,6_4
190560,97265,test,6_3
111160,97265,val,3_3
