row_off,col_off,split,block
34299,0,test,6_0
26307,10323,val,5_2
28305,5661,test,5_1
31968,16650,test,6_3
2664,20979,test,0_4
18981,14319,val,3_2
34299,3996,test,6_0
19314,666,val,3_0
24975,6660,test,5_1
28638,13320,val,5_2
2997,20646,test,0_4
12987,17316,test,2_3
2664,11655,train,0_2
2997,17982,train,0_3
1998,7326,train,0_1
34299,13320,train,6_2
31635,7992,train,6_1
1998,17649,train,0_3
1998,17982,train,0_3
24975,999,train,5_0
8991,15651,val,1_3
26640,5994,test,5_1
25641,5661,test,5_1
16317,22311,train,3_4
25308,4995,test,5_1
13986,22977,train,2_4
15651,23310,train,3_4
12654,7992,train,2_1
24642,1332,train,5_0
26640,20313,train,5_4
28305,6993,test,5_1
13986,18315,test,2_3
29970,23310,train,6_4
2331,20646,test,0_4
13653,6660,train,2_1
11322,5994,train,2_1
24642,7992,test,5_1
0,10989,train,0_2
23976,20646,val,4_4
4329,20979,test,0_4
2997,19980,test,0_4
8658,15318,val,1_3
30303,4662,test,6_0
1665,20646,test,0_4
24309,666,train,4_0
15984,7326,val,3_1
0,10323,train,0_2
13320,6327,train,2_1
1332,19980,test,0_4
1665,2997,train,0_0
6993,1665,train,1_0
7326,21645,train,1_4
8325,5661,val,1_1
1998,19980,test,0_4
8658,1332,train,1_0
24642,1665,train,5_0
16983,5661,val,3_1
4995,10989,train,1_2
3330,21645,test,0_4
18315,5328,val,3_1
14985,10989,val,3_2
19314,14319,val,3_2
5661,17316,val,1_3
8991,3330,train,1_0
31302,1665,test,6_0
2331,9990,train,0_2
22311,9990,train,4_2
13320,2331,train,2_0
333,20313,test,0_4
7992,22311,train,1_4
19647,13653,val,3_2
18648,1332,val,3_0
1998,20646,test,0_4
11655,333,train,2_0
32634,16983,test,6_3
34299,12654,train,6_2
19647,4995,val,3_1
2997,16317,train,0_3
4662,22977,test,0_4
14985,13320,val,3_2
4662,23310,test,0_4
28305,9324,test,5_1
8991,21978,train,1_4
2997,23976,test,0_4
18315,4995,val,3_1
13986,17982,test,2_3
27639,20646,train,5_4
29970,15318,test,6_3
15651,22311,train,3_4
4662,20979,test,0_4
4329,21645,test,0_4
18981,13986,val,3_2
10656,11322,val,2_2
30969,16983,test,6_3
2331,17649,train,0_3
20313,23643,val,4_4
9657,21978,train,1_4
10989,23643,train,2_4
13320,16983,test,2_3
31968,22311,train,6_4
32301,16650,test,6_3
22311,3663,train,4_0
29970,17316,test,6_3
19314,11988,val,3_2
15984,21978,train,3_4
26640,24309,train,5_4
21645,18315,train,4_3
18315,12654,val,3_2
4995,16983,val,1_3
2664,19980,test,0_4
7659,18648,val,1_3
15984,14319,val,3_2
24642,4995,test,5_1
18648,13986,val,3_2
15651,21978,train,3_4
2664,21978,test,0_4
9657,14985,val,1_3
12321,18315,test,2_3
6993,6327,val,1_1
17649,16650,train,3_3
999,19980,test,0_4
21645,12654,train,4_2
6993,21978,train,1_4
8658,16650,val,1_3
14319,22977,train,2_4
2331,20979,test,0_4
5661,2997,train,1_0
666,19980,test,0_4
18648,0,val,3_0
3663,20979,test,0_4
1665,20979,test,0_4
22311,3330,train,4_0
26307,20313,train,5_4
2997,20313,test,0_4
9657,16650,val,1_3
5661,18981,val,1_3
21312,21978,val,4_4
10989,2997,train,2_0
29304,11655,val,5_2
31302,14985,test,6_3
19647,8325,val,3_1
9990,14985,test,2_3
6660,13986,train,1_2
2664,23643,test,0_4
13986,17649,test,2_3
30303,3663,test,6_0
1998,20979,test,0_4
26973,11988,val,5_2
4329,22644,test,0_4
9324,14985,val,1_3
9990,13653,val,2_2
14652,11655,val,2_2
6660,23643,train,1_4
30303,2331,test,6_0
9990,15318,test,2_3
27639,2664,train,5_0
10656,10656,val,2_2
13986,23976,train,2_4
19647,10656,val,3_2
1332,20313,test,0_4
24642,15984,train,5_3
9990,15651,test,2_3
7992,18981,val,1_3
9657,15651,val,1_3
14985,11655,val,3_2
13320,14985,test,2_3
34632,5661,test,7_1
2997,21312,test,0_4
14652,15651,test,2_3
14985,10656,val,3_2
15651,11655,val,3_2
33633,19647,test,6_3
15318,22311,train,3_4
15984,6993,val,3_1
19314,14652,val,3_2
3996,22977,test,0_4
7326,18648,val,1_3
10989,16983,test,2_3
9990,14652,val,2_2
13320,3330,train,2_0
11655,14652,val,2_2
2997,11655,train,0_2
2997,2997,train,0_0
25641,12654,val,5_2
27639,9657,test,5_1
10989,17316,test,2_3
17982,14319,val,3_2
4662,21978,test,0_4
8658,0,train,1_0
1998,2664,train,0_0
24309,23643,val,4_4
3663,22644,test,0_4
2997,3996,train,0_0
10989,17649,test,2_3
10323,17982,test,2_3
27972,5994,test,5_1
10656,19647,test,2_3
