run_id,year,run_tag,step,label,seconds,bytes,mb_per_s,log_file
,2009,nodec_s2024,inference,stage 2009_king_rgb.tif,164.5,3000263130,18.24,phase4_semantic_finetune_inference_2009_2026-08-29T16-04.log
,2006s,sectors_v1,tile,stage 2006_snoh_1m_rgb.tif,1.4,218544136,156.10,phase4_semantic_finetune_tile_2006s_2026-08-25T05-48.log
,2006s,sectors_v1,tile,stage edmonds_canopy_mask_2020.tif,3.3,287816390,87.22,phase4_semantic_finetune_tile_2006s_2026-08-25T05-48.log
,2011s,t1_2011s_base_s3,train,stage tiles 2011s,246.1,,,phase4_semantic_finetune_train_2011s_2026-09-02T12-38.log
,2011s,t1_2011s_base_s3,train,copy sem_best_2011s_t1_2011s_base_s3.pt,1.8,1113211481,618.45,phase4_semantic_finetune_train_2011s_2026-09-02T12-38.log
,2011s,t1_2011s_base_s3,train,copy sem_best_2011s_t1_2011s_base_s3.pt,1.8,1113211481,618.45,phase4_semantic_finetune_train_2011s_2026-09-02T12-38.log
,2011s,t1_2011s_base_s3,train,copy sem_best_2011s_t1_2011s_base_s3.pt,1.9,1113211481,585.90,phase4_semantic_finetune_train_2011s_2026-09-02T12-38.log
,2011s,t1_2011s_base_s3,train,copy sem_best_2011s_t1_2011s_base_s3.pt,1.8,1113211481,618.45,phase4_semantic_finetune_train_2011s_2026-09-02T12-38.log
,2011s,t1_2011s_base_s3,train,copy sem_latest_2011s_t1_2011s_base_s3.pt,1.8,1113214609,618.45,phase4_semantic_finetune_train_2011s_2026-09-02T12-38.log
,2011s,t1_2011s_base_s3,train,copy sem_best_2011s_t1_2011s_base_s3.pt,1.7,1113211481,654.83,phase4_semantic_finetune_train_2011s_2026-09-02T12-38.log
,2011s,t1_2011s_base_s3,train,copy sem_best_2011s_t1_2011s_base_s3.pt,1.7,1113211481,654.83,phase4_semantic_finetune_train_2011s_2026-09-02T12-38.log
,2011s,t1_2011s_base_s3,train,copy sem_latest_2011s_t1_2011s_base_s3.pt,1.8,1113214609,618.45,phase4_semantic_finetune_train_2011s_2026-09-02T12-38.log
,2011s,t1_2011s_base_s3,train,copy sem_best_2011s_t1_2011s_base_s3.pt,1.9,1113211481,585.90,phase4_semantic_finetune_train_2011s_2026-09-02T12-38.log
,2011s,t1_2011s_base_s3,train,copy sem_best_2011s_t1_2011s_base_s3.pt,1.5,1113211481,742.14,phase4_semantic_finetune_train_2011s_2026-09-02T12-38.log
