job,year,tag,step,state,exit,minutes,detail,ts
2019n,2019n,p2nir,labels,INTERRUPTED,sigint,0.3,,2026-08-18 14:29:26
2019n,2019n,p2nir,labels,OK,0,0.9,,2026-08-18 14:36:46
2019n,2019n,p2nir,tile,OK,0,2.9,,2026-08-18 14:37:41
2019n,2019n,p2nir,train,OK,0,45.0,,2026-08-18 14:40:34
2019n,2019n,p2nir,evaluate,OK,0,2.7,,2026-08-18 15:25:55
2019n,2019n,p2nir,inference,OK,0,2.2,,2026-08-18 15:28:36
2019n,2019n,p2nir,VERIFY,OK,,,66MB valid=100.0% maxprob=0.949,2026-08-18 15:30:51
2021s,2021s,p2nir,labels,OK,0,0.1,,2026-08-18 15:30:51
2021s,2021s,p2nir,tile,OK,0,12.3,,2026-08-18 15:30:56
2021s,2021s,p2nir,train,OK,0,47.4,,2026-08-18 15:43:16
2021s,2021s,p2nir,evaluate,OK,0,3.9,,2026-08-18 16:30:42
2021s,2021s,p2nir,inference,OK,0,19.6,,2026-08-18 16:34:37
2021s,2021s,p2nir,VERIFY,OK,,,439MB valid=100.0% maxprob=0.957,2026-08-18 16:54:14
2016c,2016,corrected,labels,OK,0,0.2,,2026-08-18 16:54:14
2016c,2016,corrected,tile,OK,0,13.3,,2026-08-18 16:54:27
2016c,2016,corrected,train,OK,0,59.8,,2026-08-18 17:07:42
2016c,2016,corrected,evaluate,OK,0,3.9,,2026-08-18 18:07:33
2016c,2016,corrected,inference,OK,0,19.6,,2026-08-18 18:11:25
2016c,2016,corrected,VERIFY,OK,,,586MB valid=96.1% maxprob=0.980,2026-08-18 18:31:00
2005,2005,citywide_rgb,labels,OK,0,0.1,,2026-08-19 05:12:23
2005,2005,citywide_rgb,tile,OK,0,5.4,,2026-08-19 05:12:28
2005,2005,citywide_rgb,train,OK,0,28.4,,2026-08-19 05:17:50
2005,2005,citywide_rgb,evaluate,OK,0,4.9,,2026-08-19 05:46:11
2005,2005,citywide_rgb,inference,OK,0,24.7,,2026-08-19 05:51:05
2005,2005,citywide_rgb,VERIFY,OK,,,522MB valid=100.0% maxprob=0.843,2026-08-19 06:15:46
2007,2007,citywide_rgb,labels,OK,0,0.2,,2026-08-19 06:15:47
2007,2007,citywide_rgb,tile,OK,0,6.4,,2026-08-19 06:16:00
2007,2007,citywide_rgb,train,OK,0,23.5,,2026-08-19 06:22:22
2007,2007,citywide_rgb,evaluate,OK,0,4.8,,2026-08-19 06:45:52
2007,2007,citywide_rgb,inference,OK,0,24.5,,2026-08-19 06:50:43
2007,2007,citywide_rgb,VERIFY,OK,,,496MB valid=100.0% maxprob=0.882,2026-08-19 07:15:14
2009,2009,citywide_rgb,labels,OK,0,0.2,,2026-08-19 07:15:14
2009,2009,citywide_rgb,tile,OK,0,6.8,,2026-08-19 07:15:27
2009,2009,citywide_rgb,train,OK,0,36.9,,2026-08-19 07:22:14
2009,2009,citywide_rgb,evaluate,OK,0,5.3,,2026-08-19 07:59:09
2009,2009,citywide_rgb,inference,OK,0,24.8,,2026-08-19 08:04:27
2009,2009,citywide_rgb,VERIFY,OK,,,514MB valid=94.8% maxprob=0.874,2026-08-19 08:29:15
2021k,2021,citywide_rgb,labels,OK,0,0.2,,2026-08-19 08:29:15
2021k,2021,citywide_rgb,tile,OK,0,12.3,,2026-08-19 08:29:29
2021k,2021,citywide_rgb,train,OK,0,33.8,,2026-08-19 08:41:45
2021k,2021,citywide_rgb,evaluate,OK,0,4.3,,2026-08-19 09:15:34
2021k,2021,citywide_rgb,inference,OK,0,99.1,,2026-08-19 09:19:53
2021k,2021,citywide_rgb,VERIFY,OK,,,2281MB valid=89.6% maxprob=0.925,2026-08-19 10:58:58
2023,2023,citywide_rgb,labels,OK,0,0.7,,2026-08-19 10:58:59
2023,2023,citywide_rgb,tile,OK,0,12.8,,2026-08-19 10:59:44
2023,2023,citywide_rgb,train,OK,0,35.9,,2026-08-19 11:12:34
2023,2023,citywide_rgb,evaluate,OK,0,5.4,,2026-08-19 11:48:28
2023,2023,citywide_rgb,inference,RUNNING,,,,2026-08-19 11:53:53
