job,year,tag,step,state,exit,minutes,detail,ts
2019,2019,citywide_rgb,inference,FAIL,-6,0.2,,2026-08-22 17:55:43
2022,2022,citywide_rgb,labels,OK,0,0.8,,2026-08-22 17:55:55
2022,2022,citywide_rgb,VERIFY:labels,OK,,,citywide: labels step is skipped by design,2026-08-22 17:56:44
2022,2022,citywide_rgb,tile,OK,0,18.8,,2026-08-22 17:56:44
2022,2022,citywide_rgb,VERIFY:tile,OK,,,"566 tiles indexed; probed 20 paths, 0 missing",2026-08-22 18:15:30
2022,2022,citywide_rgb,train,OK,0,33.7,,2026-08-22 18:15:30
2022,2022,citywide_rgb,VERIFY:train,OK,,,"1113MB, zip magic ok",2026-08-22 18:49:12
2022,2022,citywide_rgb,evaluate,OK,0,1.3,,2026-08-22 18:49:12
2022,2022,citywide_rgb,VERIFY:evaluate,OK,,,4 rows for year 2022 in semantic_eval_report.csv,2026-08-22 18:50:28
2022,2022,citywide_rgb,inference,OK,0,68.3,,2026-08-22 18:50:28
2022,2022,citywide_rgb,VERIFY:inference,WEAK_CALIBRATION,,,3927MB valid=74.7% maxprob=0.728,2026-08-22 19:58:50
2022,2022,citywide_rgb,VERIFY,WEAK_CALIBRATION,,,3927MB valid=74.7% maxprob=0.728,2026-08-22 19:58:50
2022,2022,citywide_rgb,VERIFY:inference,OK,recheck,,"re-checked 2026-08-22 20:05Z with the resolution-invariant sampler (fixed 4M-pixel budget instead of 1200 rows): maxprob 0.909, p99.9 0.665, valid 74.7%. The WEAK_CALIBRATION above was a DECIMATION ARTIFACT - a 5 cm citywide raster (211,968 rows) was sampled 1:177 and missed its rare high-confidence pixels; a full-raster pass gives true max 1.000. Raster is sound. NOTE for scoring: the upper tail really is thin (only 0.014% of valid pixels >0.7, 1,627 >0.9 of 23.5e9), so threshold search behaves differently from the 10 cm years.",2026-08-22 20:14:57
2022,2022,citywide_rgb,VERIFY,OK,recheck,,"re-checked 2026-08-22 20:05Z with the resolution-invariant sampler (fixed 4M-pixel budget instead of 1200 rows): maxprob 0.909, p99.9 0.665, valid 74.7%. The WEAK_CALIBRATION above was a DECIMATION ARTIFACT - a 5 cm citywide raster (211,968 rows) was sampled 1:177 and missed its rare high-confidence pixels; a full-raster pass gives true max 1.000. Raster is sound. NOTE for scoring: the upper tail really is thin (only 0.014% of valid pixels >0.7, 1,627 >0.9 of 23.5e9), so threshold search behaves differently from the 10 cm years.",2026-08-22 20:14:57
