cluster,area_ha,x,y
2316,0.41,547955.1,5298202.5
17581,0.39,546982.1,5292229.3
2048,0.38,548127.1,5298451.0
4254,0.38,548554.7,5297437.6
3302,0.36,548584.0,5297813.7
15770,0.33,549344.2,5292898.1
11858,0.3,545277.4,5294757.1
7233,0.28,546903.0,5296313.2
15191,0.25,547041.1,5293230.2
5168,0.23,548045.8,5297073.0
12290,0.23,547443.6,5294653.8
15246,0.22,548010.0,5293177.4
7050,0.21,548616.9,5296377.9
12150,0.2,547681.2,5294674.9
2782,0.19,547839.9,5298033.4
6553,0.18,546743.5,5296580.1
13249,0.17,548470.0,5294366.4
8529,0.16,549421.6,5295886.7
11321,0.16,547056.5,5294913.7
14614,0.16,546692.7,5293643.8
2178,0.14,548075.4,5298368.7
6452,0.14,546765.9,5296647.8
12228,0.14,545172.8,5294661.2
1828,0.13,548273.9,5298657.8
3494,0.13,548419.5,5297753.6
7668,0.13,548990.5,5296180.0
76,0.12,550037.2,5300594.3
742,0.12,549930.2,5299437.5
2332,0.12,549722.7,5298256.9
3075,0.12,549233.3,5297948.2
4843,0.12,547801.3,5297201.2
8625,0.12,546208.0,5295864.5
17606,0.12,546825.9,5292229.0
7360,0.11,548550.3,5296283.5
2655,0.1,549933.4,5298135.5
