row_id,ref,ref_scheme,mode,source,state,reason,attempts_written,wall_seconds,traceback,started_at,message
L001,10.1101/357798,doi,measure,register,measured,measured,27,234.36,0,2026-09-24T08:30:52Z,"[[""eartharxiv"", ""no-oa-copy""], [""publisher-url"", ""skipped""], [""open_access"", ""measured""], [""opencitations"", ""no-oa-copy""], [""crossref-link"", ""no-oa-copy""], [""openalex"", ""measured""], [""doaj"", ""unresolved""], [""openaire"", ""blocked""], [""hal"", ""unresolved""], [""osf"", ""skipped""], [""datacite"", ""skipped""], [""zenodo"", ""skipped""], [""figshare"", ""skipped""], [""ncbi-idconv"", ""no-oa-copy""], [""s2"", ""unresolved""], "
L002,10.1145/3534678.3539043,doi,hunt,register;pending-recording;bad-file;blocked;crosswalk,bound-unextracted,fresh-bound,17,5.14,0,2026-09-24T08:34:47Z,
L003,10.1201/9781315374321,doi,hunt,register;pending-recording;no-oa-copy;blocked;bban;crosswalk,blocked,challenge,25,112.66,0,2026-09-24T08:34:52Z,
L005,10.1007/978-3-030-32248-9_57,doi,hunt,pending-recording;free-pdf;no-oa-copy;blocked;bban;crosswalk,held,duplicate-held,17,2.62,0,2026-09-24T08:36:45Z,
L006,10.17863/cam.133934,doi,hunt,pending-recording;no-oa-copy;blocked,blocked,challenge,26,240.67,0,2026-09-24T08:36:48Z,
L007,10.5067/doc/ceoswgcv/lpv/lc.001,doi,hunt,ruled;wayback;no-oa-copy;blocked,blocked,challenge,25,289.27,0,2026-09-24T08:40:49Z,
L010,1906.02530,arxiv,hunt,ruled-registry-transient,api-error,registry-transient,0,0.61,0,2026-09-24T08:45:38Z,"the registry answered arxiv 406 for 1906.02530 — a transient answer, not a verdict on the record. Nothing was admitted and nothing was written; hunt the reference again."
L011,2501.15377,arxiv,hunt,ruled-registry-transient,api-error,registry-transient,0,0.42,0,2026-09-24T08:45:39Z,"the registry answered arxiv 406 for 2501.15377 — a transient answer, not a verdict on the record. Nothing was admitted and nothing was written; hunt the reference again."
L012,2505.24038,arxiv,hunt,ruled-registry-transient,api-error,registry-transient,0,0.28,0,2026-09-24T08:45:39Z,"the registry answered arxiv 406 for 2505.24038 — a transient answer, not a verdict on the record. Nothing was admitted and nothing was written; hunt the reference again."
L013,2506.03114,arxiv,hunt,ruled-registry-transient,api-error,registry-transient,0,0.41,0,2026-09-24T08:45:40Z,"the registry answered arxiv 406 for 2506.03114 — a transient answer, not a verdict on the record. Nothing was admitted and nothing was written; hunt the reference again."
L014,2507.00170,arxiv,hunt,ruled-registry-transient,api-error,registry-transient,0,0.33,0,2026-09-24T08:45:40Z,"the registry answered arxiv 406 for 2507.00170 — a transient answer, not a verdict on the record. Nothing was admitted and nothing was written; hunt the reference again."
L015,2601.02126,arxiv,hunt,ruled-registry-transient,api-error,registry-transient,0,0.31,0,2026-09-24T08:45:41Z,"the registry answered arxiv 406 for 2601.02126 — a transient answer, not a verdict on the record. Nothing was admitted and nothing was written; hunt the reference again."
L016,2602.06503,arxiv,hunt,ruled-registry-transient,api-error,registry-transient,0,0.55,0,2026-09-24T08:45:41Z,"the registry answered arxiv 406 for 2602.06503 — a transient answer, not a verdict on the record. Nothing was admitted and nothing was written; hunt the reference again."
L017,2606.13896,arxiv,hunt,ruled-registry-transient,api-error,registry-transient,0,0.3,0,2026-09-24T08:45:42Z,"the registry answered arxiv 406 for 2606.13896 — a transient answer, not a verdict on the record. Nothing was admitted and nothing was written; hunt the reference again."
L018,10.1016/j.rse.2024.114101,doi,hunt,post-freeze-probe,blocked,403,24,642.33,0,2026-09-24T08:45:42Z,
L019,10.1109/igarss.2019.8898071,doi,measure,free-pdf;no-oa-copy,measured,measured,24,31.7,0,2026-09-24T10:17:05Z,"[[""eartharxiv"", ""no-oa-copy""], [""publisher-url"", ""skipped""], [""open_access"", ""no-oa-copy""], [""opencitations"", ""no-oa-copy""], [""crossref-link"", ""bad-file""], [""openalex"", ""no-oa-copy""], [""doaj"", ""unresolved""], [""openaire"", ""no-oa-copy""], [""hal"", ""bad-file""], [""osf"", ""skipped""], [""datacite"", ""skipped""], [""zenodo"", ""skipped""], [""figshare"", ""skipped""], [""ncbi-idconv"", ""no-oa-copy""], [""s2"", ""no-oa-copy"""
L020,10.1109/jcdl52503.2021.00029,doi,measure,free-pdf;no-oa-copy,measured,measured,25,126.34,0,2026-09-24T10:17:37Z,"[[""eartharxiv"", ""no-oa-copy""], [""publisher-url"", ""skipped""], [""open_access"", ""no-oa-copy""], [""opencitations"", ""no-oa-copy""], [""crossref-link"", ""bad-file""], [""openalex"", ""no-oa-copy""], [""doaj"", ""unresolved""], [""openaire"", ""no-oa-copy""], [""hal"", ""unresolved""], [""osf"", ""skipped""], [""datacite"", ""skipped""], [""zenodo"", ""skipped""], [""figshare"", ""skipped""], [""ncbi-idconv"", ""api-error""], [""ncbi-idconv"", ""n"
L021,10.1142/s2382626615500057,doi,measure,free-pdf;no-oa-copy,measured,measured,24,61.06,0,2026-09-24T10:19:43Z,"[[""eartharxiv"", ""no-oa-copy""], [""publisher-url"", ""skipped""], [""open_access"", ""no-oa-copy""], [""opencitations"", ""no-oa-copy""], [""crossref-link"", ""blocked""], [""openalex"", ""no-oa-copy""], [""doaj"", ""unresolved""], [""openaire"", ""no-oa-copy""], [""hal"", ""no-oa-copy""], [""osf"", ""skipped""], [""datacite"", ""skipped""], [""zenodo"", ""skipped""], [""figshare"", ""skipped""], [""ncbi-idconv"", ""no-oa-copy""], [""s2"", ""no-oa-copy"
L022,10.1002/wics.1317,doi,measure,wayback;no-oa-copy,measured,measured,24,61.14,0,2026-09-24T10:20:44Z,"[[""eartharxiv"", ""no-oa-copy""], [""publisher-url"", ""skipped""], [""open_access"", ""no-oa-copy""], [""opencitations"", ""no-oa-copy""], [""crossref-link"", ""blocked""], [""openalex"", ""no-oa-copy""], [""doaj"", ""unresolved""], [""openaire"", ""no-oa-copy""], [""hal"", ""unresolved""], [""osf"", ""skipped""], [""datacite"", ""skipped""], [""zenodo"", ""skipped""], [""figshare"", ""skipped""], [""ncbi-idconv"", ""no-oa-copy""], [""s2"", ""blocked""],"
L023,10.1016/j.isprsjprs.2018.06.002,doi,measure,bronze-landing;no-oa-copy,measured,measured,24,71.48,0,2026-09-24T10:21:46Z,"[[""eartharxiv"", ""no-oa-copy""], [""publisher-url"", ""skipped""], [""open_access"", ""bad-file""], [""opencitations"", ""no-oa-copy""], [""crossref-link"", ""no-oa-copy""], [""openalex"", ""no-oa-copy""], [""doaj"", ""unresolved""], [""openaire"", ""no-oa-copy""], [""hal"", ""unresolved""], [""osf"", ""skipped""], [""datacite"", ""skipped""], [""zenodo"", ""skipped""], [""figshare"", ""skipped""], [""ncbi-idconv"", ""no-oa-copy""], [""s2"", ""no-oa-cop"
L024,10.1016/j.rse.2019.111261,doi,measure,bronze-landing;no-oa-copy,measured,measured,24,84.67,0,2026-09-24T10:22:57Z,"[[""eartharxiv"", ""no-oa-copy""], [""publisher-url"", ""skipped""], [""open_access"", ""bad-file""], [""opencitations"", ""no-oa-copy""], [""crossref-link"", ""no-oa-copy""], [""openalex"", ""no-oa-copy""], [""doaj"", ""unresolved""], [""openaire"", ""no-oa-copy""], [""hal"", ""unresolved""], [""osf"", ""skipped""], [""datacite"", ""skipped""], [""zenodo"", ""skipped""], [""figshare"", ""skipped""], [""ncbi-idconv"", ""no-oa-copy""], [""s2"", ""no-oa-cop"
L025,10.1016/j.rse.2021.112806,doi,hunt,bronze-landing;no-oa-copy;blocked,blocked,403,24,75.91,0,2026-09-24T10:24:22Z,
L026,10.1016/j.ufug.2018.03.006,doi,measure,bronze-landing;no-oa-copy,measured,measured,24,56.67,0,2026-09-24T10:25:38Z,"[[""eartharxiv"", ""no-oa-copy""], [""publisher-url"", ""skipped""], [""open_access"", ""bad-file""], [""opencitations"", ""no-oa-copy""], [""crossref-link"", ""no-oa-copy""], [""openalex"", ""no-oa-copy""], [""doaj"", ""unresolved""], [""openaire"", ""no-oa-copy""], [""hal"", ""unresolved""], [""osf"", ""skipped""], [""datacite"", ""skipped""], [""zenodo"", ""skipped""], [""figshare"", ""skipped""], [""ncbi-idconv"", ""no-oa-copy""], [""s2"", ""no-oa-cop"
L027,10.1007/0-387-69505-2_13,doi,hunt,no-oa-copy;bban;crosswalk,blocked,challenge,25,115.45,0,2026-09-24T10:26:35Z,
L028,10.1007/978-3-031-43849-3_5,doi,measure,no-oa-copy,measured,measured,24,8.17,0,2026-09-24T10:28:30Z,"[[""eartharxiv"", ""no-oa-copy""], [""publisher-url"", ""skipped""], [""crossref-link"", ""skipped""], [""open_access"", ""no-oa-copy""], [""opencitations"", ""no-oa-copy""], [""openalex"", ""no-oa-copy""], [""doaj"", ""unresolved""], [""openaire"", ""no-oa-copy""], [""hal"", ""unresolved""], [""osf"", ""skipped""], [""datacite"", ""skipped""], [""zenodo"", ""skipped""], [""figshare"", ""skipped""], [""ncbi-idconv"", ""no-oa-copy""], [""s2"", ""no-oa-copy"
L029,10.1007/bf00531768,doi,hunt,no-oa-copy;bban,held,duplicate-held,20,25.0,0,2026-09-24T10:28:39Z,
L030,10.1007/s00267-023-01934-6,doi,hunt,no-oa-copy;blocked,blocked,challenge,24,50.19,0,2026-09-24T10:29:04Z,
L031,10.1007/s10980-012-9719-2,doi,measure,no-oa-copy,measured,measured,24,149.19,0,2026-09-24T10:29:54Z,"[[""eartharxiv"", ""no-oa-copy""], [""publisher-url"", ""skipped""], [""open_access"", ""no-oa-copy""], [""opencitations"", ""no-oa-copy""], [""crossref-link"", ""blocked""], [""openalex"", ""no-oa-copy""], [""doaj"", ""unresolved""], [""openaire"", ""no-oa-copy""], [""hal"", ""unresolved""], [""osf"", ""skipped""], [""datacite"", ""skipped""], [""zenodo"", ""skipped""], [""figshare"", ""skipped""], [""ncbi-idconv"", ""no-oa-copy""], [""s2"", ""no-oa-copy"
L032,10.1016/j.agrformet.2023.109809,doi,hunt,no-oa-copy;blocked,blocked,403,24,58.23,0,2026-09-24T10:32:23Z,
L033,10.1016/j.isprsjprs.2013.10.007,doi,measure,no-oa-copy,measured,measured,25,180.0,0,2026-09-24T10:33:22Z,"[[""eartharxiv"", ""no-oa-copy""], [""publisher-url"", ""skipped""], [""open_access"", ""no-oa-copy""], [""opencitations"", ""no-oa-copy""], [""crossref-link"", ""no-oa-copy""], [""openalex"", ""no-oa-copy""], [""doaj"", ""unresolved""], [""openaire"", ""no-oa-copy""], [""hal"", ""unresolved""], [""osf"", ""skipped""], [""datacite"", ""skipped""], [""zenodo"", ""skipped""], [""figshare"", ""skipped""], [""ncbi-idconv"", ""no-oa-copy""], [""s2"", ""no-oa-c"
L034,10.1016/j.rse.2010.07.008,doi,measure,no-oa-copy,measured,measured,25,31.94,0,2026-09-24T10:36:22Z,"[[""eartharxiv"", ""no-oa-copy""], [""publisher-url"", ""skipped""], [""open_access"", ""no-oa-copy""], [""opencitations"", ""no-oa-copy""], [""crossref-link"", ""no-oa-copy""], [""openalex"", ""no-oa-copy""], [""doaj"", ""unresolved""], [""openaire"", ""no-oa-copy""], [""hal"", ""unresolved""], [""osf"", ""skipped""], [""datacite"", ""skipped""], [""zenodo"", ""skipped""], [""figshare"", ""skipped""], [""ncbi-idconv"", ""no-oa-copy""], [""s2"", ""no-oa-c"
L035,10.1016/j.rse.2010.07.010,doi,measure,no-oa-copy,measured,measured,25,37.8,0,2026-09-24T10:36:54Z,"[[""eartharxiv"", ""no-oa-copy""], [""publisher-url"", ""skipped""], [""open_access"", ""no-oa-copy""], [""opencitations"", ""no-oa-copy""], [""crossref-link"", ""no-oa-copy""], [""openalex"", ""no-oa-copy""], [""doaj"", ""unresolved""], [""openaire"", ""no-oa-copy""], [""hal"", ""unresolved""], [""osf"", ""skipped""], [""datacite"", ""skipped""], [""zenodo"", ""skipped""], [""figshare"", ""skipped""], [""ncbi-idconv"", ""no-oa-copy""], [""s2"", ""no-oa-c"
L036,10.1016/s0034-4257(98)00010-8,doi,hunt,no-oa-copy;bban,blocked,403,26,73.91,0,2026-09-24T10:37:32Z,
L037,10.1017/s0003055418000783,doi,hunt,no-oa-copy;bban,blocked,challenge,24,145.75,0,2026-09-24T10:38:46Z,
L038,10.1023/a:1003403601725,doi,measure,no-oa-copy,measured,measured,24,157.09,0,2026-09-24T10:41:12Z,"[[""eartharxiv"", ""no-oa-copy""], [""publisher-url"", ""skipped""], [""open_access"", ""no-oa-copy""], [""opencitations"", ""no-oa-copy""], [""crossref-link"", ""blocked""], [""openalex"", ""no-oa-copy""], [""doaj"", ""unresolved""], [""openaire"", ""no-oa-copy""], [""hal"", ""unresolved""], [""osf"", ""skipped""], [""datacite"", ""skipped""], [""zenodo"", ""skipped""], [""figshare"", ""skipped""], [""ncbi-idconv"", ""no-oa-copy""], [""s2"", ""no-oa-copy"
