key,doi,openalex_status,openalex,pmid,pmcid,mag,oa_type,issn_l,s2_status,s2_corpus,s2_arxiv,s2_pmid,s2_pmcid,s2_mag,s2_dblp,s2_acl,cr_status,cr_type,cr_isbn,cr_issn,cr_alt_id,cr_relation_types,cr_has_link
Abellera_2005_impervious-surface-detection-satellite,10.1061/40794(179)45,200,W2325285515,,,2325285515,conference-paper,,200,130762330,,,,2325285515,,,200,proceedings-article,,,10.1061/40794(179)45;10.1061/9780784407943,,1
Abercrombie_2016_improving-consistency-multitemporal-land,10.1109/tgrs.2015.2463689,200,W2244457783,,,2244457783,article,0196-2892,200,23085967,,,,2244457783,journals/tgrs/AbercrombieF16,,200,journal-article,,0196-2892;1558-0644,,,1
Ahishali_2025_ada-net-attention-guided,10.48550/arxiv.2504.04271,200,W4416125870,,,,preprint,2331-8422,200,277621494,2504.04271,,,,journals/corr/abs-2504-04271,,404,,,,,,
Allard_2007_total-variation-regularization-image,10.1137/060662617,200,W2163345036,,,2163345036,article,0036-1410,404,,,,,,,,200,journal-article,,0036-1410;1095-7154,10.1137/060662617,,1
AllenMatthew_2026_manual-labelling-artificially-inflates,10.17863/cam.133934,200,W7208739208,,,,article,,404,,,,,,,,404,,,,,,
Allred_2025_canopy-height-model-naip,10.1038/s41597-025-04655-z,200,W4407858860,39987162,,,data-paper,2052-4463,200,275042532,,39987162,11846907,,,,200,journal-article,,2052-4463,4655,has-preprint,1
Almon_1965_distributed-lag-capital-appropriations,10.2307/1911894,200,W2157448961,,,2157448961,article,0012-9682,200,154917062,,,,2157448961,,,200,journal-article,,0012-9682,,,
Alwan_1988_time-series-modeling-statistical,10.1080/07350015.1988.10509640,200,W2090272684,,,2090272684,article,0735-0015,200,154724241,,,,2090272684,,,200,journal-article,,0735-0015;1537-2707,10.1080/07350015.1988.10509640,,1
Anderson_1957_statistical-inference-about-markov,10.1214/aoms/1177707039,200,W2056859449,,,2056859449,article,0003-4851,200,121291157,,,,2056859449,,,200,journal-article,,0003-4851,,,1
Angelopoulos_2022_conformal-risk-control,10.48550/arxiv.2208.02814,200,W4290055968,,,,preprint,2331-8422,200,251320513,2208.02814,,,,journals/corr/abs-2208-02814,,404,,,,,,
Angelopoulos_2023_conformal-prediction-gentle-introduction,10.1561/2200000101,200,W4361012985,,,,article,1935-8237,200,257796886,,,,,journals/ftml/AngelopoulosB23,,200,journal-article,,1935-8237;1935-8245,,,1
Appel_2024_efficient-data-driven-gap,10.1175/aies-d-22-0055.1,200,W4392762674,,,,article,2769-7525,404,,,,,,,,200,journal-article,,2769-7525,,,1
Arazo_2020_pseudo-labeling-confirmation-bias,10.1109/ijcnn48605.2020.9207304,200,W2964677000,,,2964677000,conference-paper,,200,199501839,1908.02983,,,2964677000,conf/ijcnn/ArazoOAOM20,,200,proceedings-article,,,,,1
Averkov_2009_confirmation-matheron-s-conjecture,10.4171/jems/179,200,W2121738047,,,2121738047,article,1435-9855,200,7225007,0711.0572,,,2121738047,,,200,journal-article,,1435-9855;1435-9863,,,1
Bacry_2015_hawkes-processes-finance,10.1142/s2382626615500057,200,W1594866779,,,1594866779,article,2382-6266,200,18220241,1502.04592,,,1594866779,,,200,journal-article,,2382-6266;2424-8037,10.1142/S2382626615500057,,1
Baddeley_2005_spatstat-r-package-analyzing,10.18637/jss.v012.i06,200,W1818937361,,,1818937361,article,1548-7660,200,15863916,,,,1818937361,,,200,journal-article,,1548-7660,10.18637/jss.v012.i06,,
Baek_2022_agreement-line-predicting-performance,10.52202/068431-1401,200,W7133232556,,,,conference-paper,,404,,,,,,,,200,proceedings-article,,,,,
Ball_2023_accurate-delineation-individual-tree,10.1002/rse2.332,200,W4376503660,,,,article,2056-3485,200,250533961,,,,,,,200,journal-article,,2056-3485;2056-3485,10.1002/rse2.332,has-preprint,1
Barber_2023_conformal-prediction-beyond-exchangeability,10.1214/23-aos2276,200,W4380490520,,,,article,0090-5364,200,247158820,2202.13415,,,,,,200,journal-article,,0090-5364,,,
Barker_2022_effects-crown-scorch-post,10.3390/fire5010021,200,W4210617698,,,,article,2571-6255,200,246576779,,,,,,,200,journal-article,,2571-6255,fire5010021,,1
Bast_2017_benchmark-evaluation-text-extraction,10.1109/jcdl.2017.7991564,200,W4238015202,,,,conference-paper,,200,4910532,,,,2740245131,conf/jcdl/BastK17,,200,proceedings-article,,,,,1
Begg_1983_assessment-diagnostic-tests-when,10.2307/2530820,200,W1982890131,6871349,,1982890131,article,0006-341X,200,1484049,,6871349,,1982890131,,,200,journal-article,,0006-341X,,,
Bell_1977_markov-analysis-land-use,10.1016/0038-0121(77)90041-6,200,W2073840512,,,2073840512,article,0038-0121,200,154329135,,,,2073840512,,,200,journal-article,,0038-0121,0038012177900416,,1
Bellettini_2002_total-variation-flow-rn,10.1006/jdeq.2001.4150,200,W2089231054,,,2089231054,article,0022-0396,200,221291312,,,,2089231054,,,200,journal-article,,0022-0396,S0022039601941506,,1
Benedek_2009_change-detection-optical-aerial,10.1109/tgrs.2009.2022633,200,W2154451793,,,2154451793,article,0196-2892,200,6030404,,,,2154451793,journals/tgrs/BenedekS09,,200,journal-article,,0196-2892;1558-0644,,,1
Benedek_2015_multilayer-markov-random-field,10.1016/j.isprsjprs.2015.02.006,200,W1972562196,,,1972562196,article,0924-2716,200,55243980,,,,1972562196,,,200,journal-article,,0924-2716,S0924271615000416,,1
Benjamini_1995_controlling-false-discovery-rate,10.1111/j.2517-6161.1995.tb02031.x,200,W2110065044,,,2110065044,article,1369-7412,200,45174121,,,,2110065044,,,200,journal-article,,1369-7412;1467-9868,,,1
Berra_2020_individual-tree-crown-detection,10.1117/1.jrs.14.034501,200,W3040286127,,,3040286127,article,1931-3195,200,222069290,,,,3040286127,,,200,journal-article,,1931-3195,,,1
Besag_1974_spatial-interaction-statistical-analysis,10.1111/j.2517-6161.1974.tb00999.x,200,W2114220616,,,2114220616,article,1369-7412,200,42087677,,,,2114220616,,,200,journal-article,,1369-7412;1467-9868,,,1
Blackman_2020_detecting-long-term-urban,10.3390/rs12111820,200,W3033662209,,,3033662209,article,2072-4292,200,219711018,,,,3033662209,journals/remotesensing/BlackmanY20,,200,journal-article,,2072-4292,rs12111820,,1
Blakemore_1984_part-4-mathematical-algorithmic,10.3138/1005-13mg-2627-2552,200,W2057721985,,,2057721985,article,0317-7173,200,58191500,,,,2057721985,,,200,journal-article,,0317-7173;1911-9925,10.3138/1005-13MG-2627-2552,,1
Bloch_2012_mathematical-morphology-bipolar-fuzzy,10.1016/j.ijar.2012.05.003,200,W2011594829,,,2011594829,article,0888-613X,200,16262539,,,,2011594829,journals/ijar/Bloch12,,200,journal-article,,0888-613X,S0888613X12000709,,1
Bloch_2023_preprintresolver-improving-citation-quality,10.1007/978-3-031-43849-3_5,200,W4386919265,,,,conference-paper,0302-9743,200,261530690,2309.01373,,,,journals/corr/abs-2309-01373,,200,book-chapter,9783031438486;9783031438493,0302-9743;1611-3349,,,1
Bo_2026_saru-shadow-aware-removal,10.1016/j.isprsjprs.2026.05.022,200,W7163414842,,,,article,0924-2716,200,287831650,2604.25432,,,,journals/corr/abs-2604-25432,,200,journal-article,,0924-2716,S0924271626002637,,1
Bogaert_2022_hidden-markov-models-annual,10.1109/tgrs.2021.3123738,200,W3210833048,,,3210833048,article,0196-2892,200,240123232,,,,,journals/tgrs/BogaertLD22,,200,journal-article,,0196-2892;1558-0644,,,1
Boykov_2002_interactive-graph-cuts-optimal,10.1109/iccv.2001.937505,200,W2169551590,,,2169551590,conference-paper,,200,2245438,,,,2169551590,conf/iccv/BoykovJ01,,200,proceedings-article,,,,,1
Boykov_2003_computing-geodesics-minimal-surfaces,10.1109/iccv.2003.1238310,200,W2105365768,,,2105365768,conference-paper,,200,3096531,,,,2105365768,conf/iccv/BoykovK03,,200,proceedings-article,,,,,1
Branch_2022_biasing-influence-mental-shortcuts,10.3390/diagnostics12010105,200,W4205981336,35054272,,,article,2075-4418,200,246078621,,35054272,8774943,,,,200,journal-article,,2075-4418,diagnostics12010105,,1
Brandt_2020_unexpectedly-large-count-trees,10.1038/s41586-020-2824-5,200,W3092811956,33057199,,3092811956,article,0028-0836,200,256822117,,,,,,,200,journal-article,,0028-0836;1476-4687,2824,,1
Brigato_2021_tune-it-don-t,10.1109/iccvw54120.2021.00125,200,W3198676386,,,3198676386,conference-paper,,200,237257605,2108.13122,,,,journals/corr/abs-2108-13122,,200,proceedings-article,,,,,1
Broaddus_2020_removing-structured-noise-self,10.1109/isbi45749.2020.9098336,200,W3027106914,,,3027106914,conference-paper,,200,218894622,,,,3027106914,conf/isbi/BroaddusKWSM20,,200,proceedings-article,,,,,1
Brook_1972_approach-probability-distribution-cusum,10.1093/biomet/59.3.539,200,W2056821499,,,2056821499,article,0006-3444,200,121888402,,,,2056821499,,,200,journal-article,,0006-3444;1464-3510,,,1
Brown_2022_automated-aerial-animal-detection,10.1016/j.compag.2022.106689,200,W3201753961,,,3201753961,article,0168-1699,200,238259003,2110.01329,,,,journals/cea/BrownQCLRS22,,200,journal-article,,0168-1699,S0168169922000060,,1
Browning_2021_simple-discrete-time-self,10.1371/journal.pone.0250015,200,W3140098005,33836020,,3140098005,article,1932-6203,200,263698096,,33836020,8034752,3097928131,,,200,journal-article,,1932-6203,,has-preprint,1
Bureau_2003_applications-continuous-time-hidden,10.1002/sim.1270,200,W1974953517,12529874,,1974953517,article,0277-6715,200,24297588,,12529874,,1974953517,,,200,journal-article,,0277-6715;1097-0258,10.1002/sim.1270,,1
Burgert_2025_imagenet-trained-cnns-not,10.52202/085713-2033,200,W7196926948,,,,conference-paper,,404,,,,,,,,200,proceedings-article,,,,,
Burmeister_2025_fine-tuning-deepforest-forest,10.5194/isprs-archives-xlviii-4-w15-2025-39-2025,200,W4414314780,,,,article,1682-1750,200,281402293,,,,,,,200,journal-article,,2194-9034,,,1
